bearing_id,transh_object_id,case_id,bearing_name,raw_label,default_fault_type,default_fault_position,default_fault_severity,diagnosis_confidence,rca_confidence,true_reason_id,true_reason_type,true_stage,design_id,material_batch_id,manufacturing_batch_id,assembly_id,inspection_id,operation_id,has_design,has_material,has_manufacturing,has_assembly,has_inspection,has_operation,lifecycle_complete,display_label,remark
BRG-00001,BRG-00001,BFB-00001,BRG-00001,OR014,outer_race_fault,outer_race,medium,0.6635,0.6369,BASM-00001,AssemblyRecord,assembly,BDES-00407,BMAT-00415,BMAN-00361,BASM-00001,BINSP-00001,BOPR-00001,1,1,1,1,1,1,1,BRG-00001 | outer_race_fault | outer_race | medium,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00021,BRG-00021,BFB-00021,BRG-00021,B007,rolling_element_fault,rolling_element,slight,0.654,0.6458,BASM-00021,AssemblyRecord,assembly,BDES-00231,BMAT-00125,BMAN-00040,BASM-00021,BINSP-00021,BOPR-00021,1,1,1,1,1,1,1,BRG-00021 | rolling_element_fault | rolling_element | slight,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00022,BRG-00022,BFB-00022,BRG-00022,B014,rolling_element_fault,rolling_element,medium,0.7104,0.6645,BINSP-00022,InspectionRecord,inspection,BDES-00363,BMAT-00402,BMAN-00930,BASM-00022,BINSP-00022,BOPR-00022,1,1,1,1,1,1,1,BRG-00022 | rolling_element_fault | rolling_element | medium,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00023,BRG-00023,BFB-00023,BRG-00023,IR014,inner_race_fault,inner_race,medium,0.7756,0.7153,BMAN-00893,ManufacturingBatch,manufacturing,BDES-00122,BMAT-00035,BMAN-00893,BASM-00023,BINSP-00023,BOPR-00023,1,1,1,1,1,1,1,BRG-00023 | inner_race_fault | inner_race | medium,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00024,BRG-00024,BFB-00024,BRG-00024,OR007,outer_race_fault,outer_race,slight,0.6527,0.7263,BDES-00058,BearingDesignSpec,design,BDES-00058,BMAT-00212,BMAN-00796,BASM-00024,BINSP-00024,BOPR-00024,1,1,1,1,1,1,1,BRG-00024 | outer_race_fault | outer_race | slight,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00025,BRG-00025,BFB-00025,BRG-00025,B014,rolling_element_fault,rolling_element,medium,0.7039,0.6683,BASM-00025,AssemblyRecord,assembly,BDES-00520,BMAT-00298,BMAN-00206,BASM-00025,BINSP-00025,BOPR-00025,1,1,1,1,1,1,1,BRG-00025 | rolling_element_fault | rolling_element | medium,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00026,BRG-00026,BFB-00026,BRG-00026,IR014,inner_race_fault,inner_race,medium,0.6379,0.6733,BMAN-00319,ManufacturingBatch,manufacturing,BDES-00318,BMAT-00479,BMAN-00319,BASM-00026,BINSP-00026,BOPR-00026,1,1,1,1,1,1,1,BRG-00026 | inner_race_fault | inner_race | medium,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00027,BRG-00027,BFB-00027,BRG-00027,OR014,outer_race_fault,outer_race,medium,0.6889,0.7098,BOPR-00027,MaintenanceRecord,operation,BDES-00549,BMAT-00011,BMAN-00863,BASM-00027,BINSP-00027,BOPR-00027,1,1,1,1,1,1,1,BRG-00027 | outer_race_fault | outer_race | medium,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00028,BRG-00028,BFB-00028,BRG-00028,OR007,outer_race_fault,outer_race,slight,0.6379,0.5854,BASM-00028,AssemblyRecord,assembly,BDES-00245,BMAT-00048,BMAN-01019,BASM-00028,BINSP-00028,BOPR-00028,1,1,1,1,1,1,1,BRG-00028 | outer_race_fault | outer_race | slight,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00029,BRG-00029,BFB-00029,BRG-00029,OR021,outer_race_fault,outer_race,severe,0.6791,0.7865,BMAN-00663,ManufacturingBatch,manufacturing,BDES-00222,BMAT-00437,BMAN-00663,BASM-00029,BINSP-00029,BOPR-00029,1,1,1,1,1,1,1,BRG-00029 | outer_race_fault | outer_race | severe,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00030,BRG-00030,BFB-00030,BRG-00030,OR014,outer_race_fault,outer_race,medium,0.6897,0.786,BASM-00030,AssemblyRecord,assembly,BDES-00117,BMAT-00362,BMAN-00429,BASM-00030,BINSP-00030,BOPR-00030,1,1,1,1,1,1,1,BRG-00030 | outer_race_fault | outer_race | medium,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00031,BRG-00031,BFB-00031,BRG-00031,B007,rolling_element_fault,rolling_element,slight,0.6916,0.6737,BMAT-00075,MaterialBatch,material,BDES-00623,BMAT-00075,BMAN-00217,BASM-00031,BINSP-00031,BOPR-00031,1,1,1,1,1,1,1,BRG-00031 | rolling_element_fault | rolling_element | slight,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00032,BRG-00032,BFB-00032,BRG-00032,OR014,outer_race_fault,outer_race,medium,0.6841,0.7078,BASM-00032,AssemblyRecord,assembly,BDES-00067,BMAT-00170,BMAN-01051,BASM-00032,BINSP-00032,BOPR-00032,1,1,1,1,1,1,1,BRG-00032 | outer_race_fault | outer_race | medium,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00033,BRG-00033,BFB-00033,BRG-00033,IR021,inner_race_fault,inner_race,severe,0.7584,0.7296,BMAT-00210,MaterialBatch,material,BDES-00078,BMAT-00210,BMAN-00284,BASM-00033,BINSP-00033,BOPR-00033,1,1,1,1,1,1,1,BRG-00033 | inner_race_fault | inner_race | severe,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00034,BRG-00034,BFB-00034,BRG-00034,IR021,inner_race_fault,inner_race,severe,0.6737,0.7126,BASM-00034,AssemblyRecord,assembly,BDES-00027,BMAT-00284,BMAN-00581,BASM-00034,BINSP-00034,BOPR-00034,1,1,1,1,1,1,1,BRG-00034 | inner_race_fault | inner_race | severe,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00035,BRG-00035,BFB-00035,BRG-00035,IR007,inner_race_fault,inner_race,slight,0.6828,0.6466,BOPR-00035,MaintenanceRecord,operation,BDES-00513,BMAT-00149,BMAN-00554,BASM-00035,BINSP-00035,BOPR-00035,1,1,1,1,1,1,1,BRG-00035 | inner_race_fault | inner_race | slight,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00036,BRG-00036,BFB-00036,BRG-00036,Normal,normal,none,normal,0.8973,0.8829,NORMAL_BASELINE,QualityFeedback,feedback,BDES-00589,BMAT-00431,BMAN-01200,BASM-00036,BINSP-00036,BOPR-00036,1,1,1,1,1,1,1,BRG-00036 | normal | none | normal,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00037,BRG-00037,BFB-00037,BRG-00037,IR007,inner_race_fault,inner_race,slight,0.6942,0.6603,BMAT-00378,MaterialBatch,material,BDES-00370,BMAT-00378,BMAN-00005,BASM-00037,BINSP-00037,BOPR-00037,1,1,1,1,1,1,1,BRG-00037 | inner_race_fault | inner_race | slight,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00038,BRG-00038,BFB-00038,BRG-00038,Normal,normal,none,normal,0.9574,0.8137,NORMAL_BASELINE,QualityFeedback,feedback,BDES-00307,BMAT-00293,BMAN-01020,BASM-00038,BINSP-00038,BOPR-00038,1,1,1,1,1,1,1,BRG-00038 | normal | none | normal,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00039,BRG-00039,BFB-00039,BRG-00039,OR014,outer_race_fault,outer_race,medium,0.7655,0.7318,BOPR-00039,MaintenanceRecord,operation,BDES-00471,BMAT-00039,BMAN-00698,BASM-00039,BINSP-00039,BOPR-00039,1,1,1,1,1,1,1,BRG-00039 | outer_race_fault | outer_race | medium,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00040,BRG-00040,BFB-00040,BRG-00040,OR014,outer_race_fault,outer_race,medium,0.6896,0.7056,BDES-00019,BearingDesignSpec,design,BDES-00019,BMAT-00469,BMAN-00925,BASM-00040,BINSP-00040,BOPR-00040,1,1,1,1,1,1,1,BRG-00040 | outer_race_fault | outer_race | medium,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00041,BRG-00041,BFB-00041,BRG-00041,IR007,inner_race_fault,inner_race,slight,0.7389,0.6862,BMAN-01046,ManufacturingBatch,manufacturing,BDES-00197,BMAT-00355,BMAN-01046,BASM-00041,BINSP-00041,BOPR-00041,1,1,1,1,1,1,1,BRG-00041 | inner_race_fault | inner_race | slight,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00042,BRG-00042,BFB-00042,BRG-00042,OR021,outer_race_fault,outer_race,severe,0.7356,0.6938,BASM-00042,AssemblyRecord,assembly,BDES-00473,BMAT-00350,BMAN-00435,BASM-00042,BINSP-00042,BOPR-00042,1,1,1,1,1,1,1,BRG-00042 | outer_race_fault | outer_race | severe,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00043,BRG-00043,BFB-00043,BRG-00043,B007,rolling_element_fault,rolling_element,slight,0.6237,0.5859,BMAT-00119,MaterialBatch,material,BDES-00529,BMAT-00119,BMAN-00243,BASM-00043,BINSP-00043,BOPR-00043,1,1,1,1,1,1,1,BRG-00043 | rolling_element_fault | rolling_element | slight,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00044,BRG-00044,BFB-00044,BRG-00044,IR014,inner_race_fault,inner_race,medium,0.7344,0.6462,BDES-00028,BearingDesignSpec,design,BDES-00028,BMAT-00184,BMAN-01006,BASM-00044,BINSP-00044,BOPR-00044,1,1,1,1,1,1,1,BRG-00044 | inner_race_fault | inner_race | medium,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00045,BRG-00045,BFB-00045,BRG-00045,OR014,outer_race_fault,outer_race,medium,0.6452,0.693,BMAN-00704,ManufacturingBatch,manufacturing,BDES-00638,BMAT-00239,BMAN-00704,BASM-00045,BINSP-00045,BOPR-00045,1,1,1,1,1,1,1,BRG-00045 | outer_race_fault | outer_race | medium,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00046,BRG-00046,BFB-00046,BRG-00046,IR007,inner_race_fault,inner_race,slight,0.7339,0.6237,BMAN-01185,ManufacturingBatch,manufacturing,BDES-00447,BMAT-00103,BMAN-01185,BASM-00046,BINSP-00046,BOPR-00046,1,1,1,1,1,1,1,BRG-00046 | inner_race_fault | inner_race | slight,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00047,BRG-00047,BFB-00047,BRG-00047,B007,rolling_element_fault,rolling_element,slight,0.6724,0.634,BASM-00047,AssemblyRecord,assembly,BDES-00173,BMAT-00128,BMAN-01092,BASM-00047,BINSP-00047,BOPR-00047,1,1,1,1,1,1,1,BRG-00047 | rolling_element_fault | rolling_element | slight,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00048,BRG-00048,BFB-00048,BRG-00048,IR007,inner_race_fault,inner_race,slight,0.6847,0.6258,BMAN-00652,ManufacturingBatch,manufacturing,BDES-00174,BMAT-00231,BMAN-00652,BASM-00048,BINSP-00048,BOPR-00048,1,1,1,1,1,1,1,BRG-00048 | inner_race_fault | inner_race | slight,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00049,BRG-00049,BFB-00049,BRG-00049,IR014,inner_race_fault,inner_race,medium,0.7236,0.6141,BMAN-00836,ManufacturingBatch,manufacturing,BDES-00100,BMAT-00331,BMAN-00836,BASM-00049,BINSP-00049,BOPR-00049,1,1,1,1,1,1,1,BRG-00049 | inner_race_fault | inner_race | medium,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00050,BRG-00050,BFB-00050,BRG-00050,B014,rolling_element_fault,rolling_element,medium,0.6857,0.7154,BMAN-00138,ManufacturingBatch,manufacturing,BDES-00684,BMAT-00317,BMAN-00138,BASM-00050,BINSP-00050,BOPR-00050,1,1,1,1,1,1,1,BRG-00050 | rolling_element_fault | rolling_element | medium,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00051,BRG-00051,BFB-00051,BRG-00051,B021,rolling_element_fault,rolling_element,severe,0.7502,0.6121,BDES-00641,BearingDesignSpec,design,BDES-00641,BMAT-00048,BMAN-00253,BASM-00051,BINSP-00051,BOPR-00051,1,1,1,1,1,1,1,BRG-00051 | rolling_element_fault | rolling_element | severe,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00052,BRG-00052,BFB-00052,BRG-00052,IR021,inner_race_fault,inner_race,severe,0.7278,0.7262,BASM-00052,AssemblyRecord,assembly,BDES-00196,BMAT-00164,BMAN-00526,BASM-00052,BINSP-00052,BOPR-00052,1,1,1,1,1,1,1,BRG-00052 | inner_race_fault | inner_race | severe,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00053,BRG-00053,BFB-00053,BRG-00053,IR021,inner_race_fault,inner_race,severe,0.7004,0.6463,BMAT-00218,MaterialBatch,material,BDES-00710,BMAT-00218,BMAN-00475,BASM-00053,BINSP-00053,BOPR-00053,1,1,1,1,1,1,1,BRG-00053 | inner_race_fault | inner_race | severe,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00054,BRG-00054,BFB-00054,BRG-00054,IR014,inner_race_fault,inner_race,medium,0.7051,0.7544,BMAN-00615,ManufacturingBatch,manufacturing,BDES-00257,BMAT-00395,BMAN-00615,BASM-00054,BINSP-00054,BOPR-00054,1,1,1,1,1,1,1,BRG-00054 | inner_race_fault | inner_race | medium,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00055,BRG-00055,BFB-00055,BRG-00055,IR014,inner_race_fault,inner_race,medium,0.7039,0.7411,BASM-00055,AssemblyRecord,assembly,BDES-00544,BMAT-00368,BMAN-01104,BASM-00055,BINSP-00055,BOPR-00055,1,1,1,1,1,1,1,BRG-00055 | inner_race_fault | inner_race | medium,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00056,BRG-00056,BFB-00056,BRG-00056,OR014,outer_race_fault,outer_race,medium,0.6681,0.6994,BMAN-00471,ManufacturingBatch,manufacturing,BDES-00563,BMAT-00199,BMAN-00471,BASM-00056,BINSP-00056,BOPR-00056,1,1,1,1,1,1,1,BRG-00056 | outer_race_fault | outer_race | medium,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00057,BRG-00057,BFB-00057,BRG-00057,IR007,inner_race_fault,inner_race,slight,0.6512,0.6327,BMAT-00052,MaterialBatch,material,BDES-00210,BMAT-00052,BMAN-00736,BASM-00057,BINSP-00057,BOPR-00057,1,1,1,1,1,1,1,BRG-00057 | inner_race_fault | inner_race | slight,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00058,BRG-00058,BFB-00058,BRG-00058,IR014,inner_race_fault,inner_race,medium,0.7326,0.6989,BDES-00059,BearingDesignSpec,design,BDES-00059,BMAT-00446,BMAN-00243,BASM-00058,BINSP-00058,BOPR-00058,1,1,1,1,1,1,1,BRG-00058 | inner_race_fault | inner_race | medium,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00059,BRG-00059,BFB-00059,BRG-00059,B007,rolling_element_fault,rolling_element,slight,0.6727,0.6773,BOPR-00059,MaintenanceRecord,operation,BDES-00385,BMAT-00141,BMAN-00371,BASM-00059,BINSP-00059,BOPR-00059,1,1,1,1,1,1,1,BRG-00059 | rolling_element_fault | rolling_element | slight,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00060,BRG-00060,BFB-00060,BRG-00060,OR021,outer_race_fault,outer_race,severe,0.7147,0.7411,BDES-00291,BearingDesignSpec,design,BDES-00291,BMAT-00301,BMAN-00441,BASM-00060,BINSP-00060,BOPR-00060,1,1,1,1,1,1,1,BRG-00060 | outer_race_fault | outer_race | severe,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00061,BRG-00061,BFB-00061,BRG-00061,B021,rolling_element_fault,rolling_element,severe,0.7222,0.6685,BOPR-00061,MaintenanceRecord,operation,BDES-00200,BMAT-00159,BMAN-00726,BASM-00061,BINSP-00061,BOPR-00061,1,1,1,1,1,1,1,BRG-00061 | rolling_element_fault | rolling_element | severe,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00062,BRG-00062,BFB-00062,BRG-00062,OR007,outer_race_fault,outer_race,slight,0.6651,0.6871,BASM-00062,AssemblyRecord,assembly,BDES-00408,BMAT-00081,BMAN-00790,BASM-00062,BINSP-00062,BOPR-00062,1,1,1,1,1,1,1,BRG-00062 | outer_race_fault | outer_race | slight,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
BRG-00063,BRG-00063,BFB-00063,BRG-00063,B021,rolling_element_fault,rolling_element,severe,0.7196,0.7728,BMAN-00457,ManufacturingBatch,manufacturing,BDES-00001,BMAT-00162,BMAN-00457,BASM-00063,BINSP-00063,BOPR-00063,1,1,1,1,1,1,1,BRG-00063 | rolling_element_fault | rolling_element | severe,从bearing_feedback.csv与bearing_triples.csv自动生成；供上游轴承诊断模型选择并回传bearing_id。
