feedback_id,bearing_id,raw_label,fault_type,fault_position,fault_severity,diagnosis_confidence,rca_text,fault_evolution_text,rca_confidence,true_reason_id,true_reason_type,true_stage
BFB-00018,BRG-00018,B014,rolling_element_fault,rolling_element,medium,0.7714,该样本的生命周期风险在装配阶段较突出，能够解释当前中等滚动体故障的主要失效模式。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为中等滚动体故障。,0.6535,BASM-00018,AssemblyRecord,assembly
BFB-00019,BRG-00019,IR014,inner_race_fault,inner_race,medium,0.6966,诊断结果显示轴承出现中等内圈故障，根因更可能来自材料阶段实体 BMAT-00309 的风险累积。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.7147,BMAT-00309,MaterialBatch,material
BFB-00020,BRG-00020,Normal,normal,none,normal,0.9015,该轴承样本生命周期风险较低，未形成明确故障追溯链。,运行状态平稳，检测指标未呈现持续恶化趋势。,0.8386,NORMAL_BASELINE,QualityFeedback,feedback
BFB-00021,BRG-00021,B007,rolling_element_fault,rolling_element,slight,0.654,该样本的生命周期风险在装配阶段较突出，能够解释当前轻微滚动体故障的主要失效模式。,风险首先在装配阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.6458,BASM-00021,AssemblyRecord,assembly
BFB-00022,BRG-00022,B014,rolling_element_fault,rolling_element,medium,0.7104,结合振动、峭度和温升特征，滚动体故障与检测阶段异常高度一致，优先追溯到 BINSP-00022。,风险首先在检测阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.6645,BINSP-00022,InspectionRecord,inspection
BFB-00023,BRG-00023,IR014,inner_race_fault,inner_race,medium,0.7756,该样本的生命周期风险在制造阶段较突出，能够解释当前中等内圈故障的主要失效模式。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为中等内圈故障。,0.7153,BMAN-00893,ManufacturingBatch,manufacturing
BFB-00024,BRG-00024,OR007,outer_race_fault,outer_race,slight,0.6527,该样本的生命周期风险在设计阶段较突出，能够解释当前轻微外圈故障的主要失效模式。,风险首先在设计阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.7263,BDES-00058,BearingDesignSpec,design
BFB-00025,BRG-00025,B014,rolling_element_fault,rolling_element,medium,0.7039,诊断结果显示轴承出现中等滚动体故障，根因更可能来自装配阶段实体 BASM-00025 的风险累积。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为中等滚动体故障。,0.6683,BASM-00025,AssemblyRecord,assembly
BFB-00026,BRG-00026,IR014,inner_race_fault,inner_race,medium,0.6379,诊断结果显示轴承出现中等内圈故障，根因更可能来自制造阶段实体 BMAN-00319 的风险累积。,风险首先在制造阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.6733,BMAN-00319,ManufacturingBatch,manufacturing
BFB-00027,BRG-00027,OR014,outer_race_fault,outer_race,medium,0.6889,诊断结果显示轴承出现中等外圈故障，根因更可能来自运维阶段实体 BOPR-00027 的风险累积。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为中等外圈故障。,0.7098,BOPR-00027,MaintenanceRecord,operation
BFB-00028,BRG-00028,OR007,outer_race_fault,outer_race,slight,0.6379,该样本的生命周期风险在装配阶段较突出，能够解释当前轻微外圈故障的主要失效模式。,风险首先在装配阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.5854,BASM-00028,AssemblyRecord,assembly
BFB-00029,BRG-00029,OR021,outer_race_fault,outer_race,severe,0.6791,结合振动、峭度和温升特征，外圈故障与制造阶段异常高度一致，优先追溯到 BMAN-00663。,风险首先在制造阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.7865,BMAN-00663,ManufacturingBatch,manufacturing
BFB-00030,BRG-00030,OR014,outer_race_fault,outer_race,medium,0.6897,诊断结果显示轴承出现中等外圈故障，根因更可能来自装配阶段实体 BASM-00030 的风险累积。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.786,BASM-00030,AssemblyRecord,assembly
BFB-00031,BRG-00031,B007,rolling_element_fault,rolling_element,slight,0.6916,该样本的生命周期风险在材料阶段较突出，能够解释当前轻微滚动体故障的主要失效模式。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为轻微滚动体故障。,0.6737,BMAT-00075,MaterialBatch,material
BFB-00032,BRG-00032,OR014,outer_race_fault,outer_race,medium,0.6841,该样本的生命周期风险在装配阶段较突出，能够解释当前中等外圈故障的主要失效模式。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为中等外圈故障。,0.7078,BASM-00032,AssemblyRecord,assembly
BFB-00033,BRG-00033,IR021,inner_race_fault,inner_race,severe,0.7584,该样本的生命周期风险在材料阶段较突出，能够解释当前严重内圈故障的主要失效模式。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.7296,BMAT-00210,MaterialBatch,material
BFB-00034,BRG-00034,IR021,inner_race_fault,inner_race,severe,0.6737,结合振动、峭度和温升特征，内圈故障与装配阶段异常高度一致，优先追溯到 BASM-00034。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.7126,BASM-00034,AssemblyRecord,assembly
BFB-00035,BRG-00035,IR007,inner_race_fault,inner_race,slight,0.6828,该样本的生命周期风险在运维阶段较突出，能够解释当前轻微内圈故障的主要失效模式。,风险首先在运维阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.6466,BOPR-00035,MaintenanceRecord,operation
BFB-00036,BRG-00036,Normal,normal,none,normal,0.8973,该轴承样本生命周期风险较低，未形成明确故障追溯链。,运行状态平稳，检测指标未呈现持续恶化趋势。,0.8829,NORMAL_BASELINE,QualityFeedback,feedback
BFB-00037,BRG-00037,IR007,inner_race_fault,inner_race,slight,0.6942,诊断结果显示轴承出现轻微内圈故障，根因更可能来自材料阶段实体 BMAT-00378 的风险累积。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.6603,BMAT-00378,MaterialBatch,material
BFB-00038,BRG-00038,Normal,normal,none,normal,0.9574,该轴承样本生命周期风险较低，未形成明确故障追溯链。,运行状态平稳，检测指标未呈现持续恶化趋势。,0.8137,NORMAL_BASELINE,QualityFeedback,feedback
BFB-00039,BRG-00039,OR014,outer_race_fault,outer_race,medium,0.7655,诊断结果显示轴承出现中等外圈故障，根因更可能来自运维阶段实体 BOPR-00039 的风险累积。,风险首先在运维阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.7318,BOPR-00039,MaintenanceRecord,operation
BFB-00040,BRG-00040,OR014,outer_race_fault,outer_race,medium,0.6896,结合振动、峭度和温升特征，外圈故障与设计阶段异常高度一致，优先追溯到 BDES-00019。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为中等外圈故障。,0.7056,BDES-00019,BearingDesignSpec,design
BFB-00041,BRG-00041,IR007,inner_race_fault,inner_race,slight,0.7389,诊断结果显示轴承出现轻微内圈故障，根因更可能来自制造阶段实体 BMAN-01046 的风险累积。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为轻微内圈故障。,0.6862,BMAN-01046,ManufacturingBatch,manufacturing
BFB-00042,BRG-00042,OR021,outer_race_fault,outer_race,severe,0.7356,该样本的生命周期风险在装配阶段较突出，能够解释当前严重外圈故障的主要失效模式。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.6938,BASM-00042,AssemblyRecord,assembly
BFB-00043,BRG-00043,B007,rolling_element_fault,rolling_element,slight,0.6237,结合振动、峭度和温升特征，滚动体故障与材料阶段异常高度一致，优先追溯到 BMAT-00119。,风险首先在材料阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.5859,BMAT-00119,MaterialBatch,material
BFB-00044,BRG-00044,IR014,inner_race_fault,inner_race,medium,0.7344,结合振动、峭度和温升特征，内圈故障与设计阶段异常高度一致，优先追溯到 BDES-00028。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为中等内圈故障。,0.6462,BDES-00028,BearingDesignSpec,design
BFB-00045,BRG-00045,OR014,outer_race_fault,outer_race,medium,0.6452,该样本的生命周期风险在制造阶段较突出，能够解释当前中等外圈故障的主要失效模式。,风险首先在制造阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.693,BMAN-00704,ManufacturingBatch,manufacturing
BFB-00046,BRG-00046,IR007,inner_race_fault,inner_race,slight,0.7339,该样本的生命周期风险在制造阶段较突出，能够解释当前轻微内圈故障的主要失效模式。,风险首先在制造阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.6237,BMAN-01185,ManufacturingBatch,manufacturing
BFB-00047,BRG-00047,B007,rolling_element_fault,rolling_element,slight,0.6724,该样本的生命周期风险在装配阶段较突出，能够解释当前轻微滚动体故障的主要失效模式。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.634,BASM-00047,AssemblyRecord,assembly
BFB-00048,BRG-00048,IR007,inner_race_fault,inner_race,slight,0.6847,该样本的生命周期风险在制造阶段较突出，能够解释当前轻微内圈故障的主要失效模式。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为轻微内圈故障。,0.6258,BMAN-00652,ManufacturingBatch,manufacturing
BFB-00049,BRG-00049,IR014,inner_race_fault,inner_race,medium,0.7236,结合振动、峭度和温升特征，内圈故障与制造阶段异常高度一致，优先追溯到 BMAN-00836。,风险首先在制造阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.6141,BMAN-00836,ManufacturingBatch,manufacturing
BFB-00050,BRG-00050,B014,rolling_element_fault,rolling_element,medium,0.6857,该样本的生命周期风险在制造阶段较突出，能够解释当前中等滚动体故障的主要失效模式。,风险首先在制造阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.7154,BMAN-00138,ManufacturingBatch,manufacturing
BFB-00051,BRG-00051,B021,rolling_element_fault,rolling_element,severe,0.7502,诊断结果显示轴承出现严重滚动体故障，根因更可能来自设计阶段实体 BDES-00641 的风险累积。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为严重滚动体故障。,0.6121,BDES-00641,BearingDesignSpec,design
BFB-00052,BRG-00052,IR021,inner_race_fault,inner_race,severe,0.7278,结合振动、峭度和温升特征，内圈故障与装配阶段异常高度一致，优先追溯到 BASM-00052。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为严重内圈故障。,0.7262,BASM-00052,AssemblyRecord,assembly
BFB-00053,BRG-00053,IR021,inner_race_fault,inner_race,severe,0.7004,结合振动、峭度和温升特征，内圈故障与材料阶段异常高度一致，优先追溯到 BMAT-00218。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.6463,BMAT-00218,MaterialBatch,material
BFB-00054,BRG-00054,IR014,inner_race_fault,inner_race,medium,0.7051,诊断结果显示轴承出现中等内圈故障，根因更可能来自制造阶段实体 BMAN-00615 的风险累积。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为中等内圈故障。,0.7544,BMAN-00615,ManufacturingBatch,manufacturing
BFB-00055,BRG-00055,IR014,inner_race_fault,inner_race,medium,0.7039,诊断结果显示轴承出现中等内圈故障，根因更可能来自装配阶段实体 BASM-00055 的风险累积。,风险首先在装配阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.7411,BASM-00055,AssemblyRecord,assembly
BFB-00056,BRG-00056,OR014,outer_race_fault,outer_race,medium,0.6681,结合振动、峭度和温升特征，外圈故障与制造阶段异常高度一致，优先追溯到 BMAN-00471。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.6994,BMAN-00471,ManufacturingBatch,manufacturing
BFB-00057,BRG-00057,IR007,inner_race_fault,inner_race,slight,0.6512,该样本的生命周期风险在材料阶段较突出，能够解释当前轻微内圈故障的主要失效模式。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.6327,BMAT-00052,MaterialBatch,material
BFB-00058,BRG-00058,IR014,inner_race_fault,inner_race,medium,0.7326,该样本的生命周期风险在设计阶段较突出，能够解释当前中等内圈故障的主要失效模式。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.6989,BDES-00059,BearingDesignSpec,design
BFB-00059,BRG-00059,B007,rolling_element_fault,rolling_element,slight,0.6727,结合振动、峭度和温升特征，滚动体故障与运维阶段异常高度一致，优先追溯到 BOPR-00059。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.6773,BOPR-00059,MaintenanceRecord,operation
BFB-00060,BRG-00060,OR021,outer_race_fault,outer_race,severe,0.7147,该样本的生命周期风险在设计阶段较突出，能够解释当前严重外圈故障的主要失效模式。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为严重外圈故障。,0.7411,BDES-00291,BearingDesignSpec,design
BFB-00061,BRG-00061,B021,rolling_element_fault,rolling_element,severe,0.7222,结合振动、峭度和温升特征，滚动体故障与运维阶段异常高度一致，优先追溯到 BOPR-00061。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.6685,BOPR-00061,MaintenanceRecord,operation
BFB-00062,BRG-00062,OR007,outer_race_fault,outer_race,slight,0.6651,该样本的生命周期风险在装配阶段较突出，能够解释当前轻微外圈故障的主要失效模式。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.6871,BASM-00062,AssemblyRecord,assembly
BFB-00063,BRG-00063,B021,rolling_element_fault,rolling_element,severe,0.7196,诊断结果显示轴承出现严重滚动体故障，根因更可能来自制造阶段实体 BMAN-00457 的风险累积。,风险首先在制造阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.7728,BMAN-00457,ManufacturingBatch,manufacturing
BFB-00064,BRG-00064,B014,rolling_element_fault,rolling_element,medium,0.7299,该样本的生命周期风险在制造阶段较突出，能够解释当前中等滚动体故障的主要失效模式。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.7293,BMAN-00283,ManufacturingBatch,manufacturing
BFB-00065,BRG-00065,OR014,outer_race_fault,outer_race,medium,0.6353,结合振动、峭度和温升特征，外圈故障与装配阶段异常高度一致，优先追溯到 BASM-00065。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.6124,BASM-00065,AssemblyRecord,assembly
BFB-00066,BRG-00066,IR021,inner_race_fault,inner_race,severe,0.7304,诊断结果显示轴承出现严重内圈故障，根因更可能来自设计阶段实体 BDES-00624 的风险累积。,风险首先在设计阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.6314,BDES-00624,BearingDesignSpec,design
BFB-00067,BRG-00067,OR014,outer_race_fault,outer_race,medium,0.6883,结合振动、峭度和温升特征，外圈故障与制造阶段异常高度一致，优先追溯到 BMAN-00647。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.5977,BMAN-00647,ManufacturingBatch,manufacturing
BFB-00068,BRG-00068,Normal,normal,none,normal,0.8961,该轴承样本生命周期风险较低，未形成明确故障追溯链。,运行状态平稳，检测指标未呈现持续恶化趋势。,0.8447,NORMAL_BASELINE,QualityFeedback,feedback
BFB-00069,BRG-00069,B014,rolling_element_fault,rolling_element,medium,0.6126,该样本的生命周期风险在装配阶段较突出，能够解释当前中等滚动体故障的主要失效模式。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.623,BASM-00069,AssemblyRecord,assembly
BFB-00070,BRG-00070,B007,rolling_element_fault,rolling_element,slight,0.6871,诊断结果显示轴承出现轻微滚动体故障，根因更可能来自材料阶段实体 BMAT-00088 的风险累积。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.6772,BMAT-00088,MaterialBatch,material
BFB-00071,BRG-00071,IR014,inner_race_fault,inner_race,medium,0.6837,诊断结果显示轴承出现中等内圈故障，根因更可能来自材料阶段实体 BMAT-00403 的风险累积。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.6677,BMAT-00403,MaterialBatch,material
BFB-00072,BRG-00072,OR021,outer_race_fault,outer_race,severe,0.7146,该样本的生命周期风险在制造阶段较突出，能够解释当前严重外圈故障的主要失效模式。,风险首先在制造阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.6766,BMAN-00951,ManufacturingBatch,manufacturing
BFB-00073,BRG-00073,B021,rolling_element_fault,rolling_element,severe,0.6674,结合振动、峭度和温升特征，滚动体故障与材料阶段异常高度一致，优先追溯到 BMAT-00469。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.7104,BMAT-00469,MaterialBatch,material
BFB-00074,BRG-00074,Normal,normal,none,normal,0.8878,该轴承样本生命周期风险较低，未形成明确故障追溯链。,运行状态平稳，检测指标未呈现持续恶化趋势。,0.8606,NORMAL_BASELINE,QualityFeedback,feedback
BFB-00075,BRG-00075,OR021,outer_race_fault,outer_race,severe,0.7057,诊断结果显示轴承出现严重外圈故障，根因更可能来自装配阶段实体 BASM-00075 的风险累积。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为严重外圈故障。,0.6247,BASM-00075,AssemblyRecord,assembly
BFB-00076,BRG-00076,IR014,inner_race_fault,inner_race,medium,0.7018,结合振动、峭度和温升特征，内圈故障与装配阶段异常高度一致，优先追溯到 BASM-00076。,风险首先在装配阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.67,BASM-00076,AssemblyRecord,assembly
BFB-00077,BRG-00077,B021,rolling_element_fault,rolling_element,severe,0.7282,诊断结果显示轴承出现严重滚动体故障，根因更可能来自装配阶段实体 BASM-00077 的风险累积。,风险首先在装配阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.7088,BASM-00077,AssemblyRecord,assembly
BFB-00078,BRG-00078,B014,rolling_element_fault,rolling_element,medium,0.685,诊断结果显示轴承出现中等滚动体故障，根因更可能来自制造阶段实体 BMAN-00063 的风险累积。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为中等滚动体故障。,0.6837,BMAN-00063,ManufacturingBatch,manufacturing
BFB-00079,BRG-00079,OR014,outer_race_fault,outer_race,medium,0.7342,该样本的生命周期风险在装配阶段较突出，能够解释当前中等外圈故障的主要失效模式。,风险首先在装配阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.7125,BASM-00079,AssemblyRecord,assembly
BFB-00080,BRG-00080,B007,rolling_element_fault,rolling_element,slight,0.7453,该样本的生命周期风险在设计阶段较突出，能够解释当前轻微滚动体故障的主要失效模式。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.719,BDES-00378,BearingDesignSpec,design
BFB-00081,BRG-00081,IR007,inner_race_fault,inner_race,slight,0.7209,结合振动、峭度和温升特征，内圈故障与制造阶段异常高度一致，优先追溯到 BMAN-01184。,风险首先在制造阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.5844,BMAN-01184,ManufacturingBatch,manufacturing
BFB-00082,BRG-00082,Normal,normal,none,normal,0.8669,该轴承样本生命周期风险较低，未形成明确故障追溯链。,运行状态平稳，检测指标未呈现持续恶化趋势。,0.893,NORMAL_BASELINE,QualityFeedback,feedback
BFB-00083,BRG-00083,OR014,outer_race_fault,outer_race,medium,0.6988,诊断结果显示轴承出现中等外圈故障，根因更可能来自制造阶段实体 BMAN-00572 的风险累积。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.6593,BMAN-00572,ManufacturingBatch,manufacturing
BFB-00084,BRG-00084,OR021,outer_race_fault,outer_race,severe,0.7164,该样本的生命周期风险在制造阶段较突出，能够解释当前严重外圈故障的主要失效模式。,风险首先在制造阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.6286,BMAN-00293,ManufacturingBatch,manufacturing
BFB-00085,BRG-00085,Normal,normal,none,normal,0.9294,该轴承样本生命周期风险较低，未形成明确故障追溯链。,运行状态平稳，检测指标未呈现持续恶化趋势。,0.7897,NORMAL_BASELINE,QualityFeedback,feedback
BFB-00086,BRG-00086,B021,rolling_element_fault,rolling_element,severe,0.7753,诊断结果显示轴承出现严重滚动体故障，根因更可能来自材料阶段实体 BMAT-00465 的风险累积。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为严重滚动体故障。,0.7412,BMAT-00465,MaterialBatch,material
BFB-00087,BRG-00087,B021,rolling_element_fault,rolling_element,severe,0.7013,诊断结果显示轴承出现严重滚动体故障，根因更可能来自材料阶段实体 BMAT-00090 的风险累积。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.6349,BMAT-00090,MaterialBatch,material
BFB-00088,BRG-00088,OR021,outer_race_fault,outer_race,severe,0.7872,诊断结果显示轴承出现严重外圈故障，根因更可能来自材料阶段实体 BMAT-00332 的风险累积。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为严重外圈故障。,0.6735,BMAT-00332,MaterialBatch,material
BFB-00089,BRG-00089,OR014,outer_race_fault,outer_race,medium,0.7141,该样本的生命周期风险在装配阶段较突出，能够解释当前中等外圈故障的主要失效模式。,风险首先在装配阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.6881,BASM-00089,AssemblyRecord,assembly
BFB-00090,BRG-00090,B007,rolling_element_fault,rolling_element,slight,0.6906,结合振动、峭度和温升特征，滚动体故障与制造阶段异常高度一致，优先追溯到 BMAN-00955。,风险首先在制造阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.6244,BMAN-00955,ManufacturingBatch,manufacturing
BFB-00091,BRG-00091,IR021,inner_race_fault,inner_race,severe,0.6753,结合振动、峭度和温升特征，内圈故障与材料阶段异常高度一致，优先追溯到 BMAT-00261。,风险首先在材料阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.8198,BMAT-00261,MaterialBatch,material
BFB-00092,BRG-00092,IR014,inner_race_fault,inner_race,medium,0.7072,结合振动、峭度和温升特征，内圈故障与装配阶段异常高度一致，优先追溯到 BASM-00092。,风险首先在装配阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.6754,BASM-00092,AssemblyRecord,assembly
BFB-00093,BRG-00093,Normal,normal,none,normal,0.9503,该轴承样本生命周期风险较低，未形成明确故障追溯链。,运行状态平稳，检测指标未呈现持续恶化趋势。,0.8659,NORMAL_BASELINE,QualityFeedback,feedback
BFB-00094,BRG-00094,B014,rolling_element_fault,rolling_element,medium,0.7253,诊断结果显示轴承出现中等滚动体故障，根因更可能来自设计阶段实体 BDES-00298 的风险累积。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为中等滚动体故障。,0.696,BDES-00298,BearingDesignSpec,design
