case_id,feedback_id,root_sensor,root_sensor_confidence,secondary_sensor,secondary_sensor_confidence,root_component_code,root_component_name,component_confidence,rca_confidence,rca_text,fault_evolution_text
HCASE-00022,HFB-00022,PS6,0.7536,TS1,0.5391,C011,管路总成,0.7795,0.6264,管路总成出现中度流量异常，生命周期风险集中在运维阶段，建议优先追溯 HOPR-00022。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为中度故障。
HCASE-00023,HFB-00023,PS2,0.9078,PS6,0.5922,C004,溢流阀,0.7931,0.5849,结合传感器能量和检测记录，溢流阀的泄漏异常与材料阶段高风险实体 HMAT-00115 一致。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
HCASE-00024,HFB-00024,PS4,0.7551,PS3,0.5613,C003,作动筒,0.7184,0.6064,该案例表现为轻微泄漏异常，根因更可能由运维阶段隐患累积触发。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
HCASE-00025,HFB-00025,PS1,0.688,PS2,0.5606,C012,卸荷阀,0.697,0.5748,结合传感器能量和检测记录，卸荷阀的阀芯卡滞与制造阶段高风险实体 HMAN-00196 一致。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
HCASE-00026,HFB-00026,PS6,0.8318,PS2,0.6674,C005,蓄能器,0.7424,0.6539,该案例表现为轻微泄漏异常，根因更可能由装配阶段隐患累积触发。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成泄漏异常。
HCASE-00027,HFB-00027,PS3,0.7481,PS2,0.7173,C009,单向阀,0.7208,0.6339,结合传感器能量和检测记录，单向阀的流量异常与制造阶段高风险实体 HMAN-00302 一致。,制造阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-00028,HFB-00028,TS3,0.7632,TS4,0.5413,C008,液压油箱,0.7443,0.593,液压油箱出现轻微阀芯卡滞，生命周期风险集中在材料阶段，建议优先追溯 HMAT-00191。,材料阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-00029,HFB-00029,PS3,0.7745,FS1,0.7829,C010,节流阀,0.7341,0.6112,过滤器出现轻微流量异常，生命周期风险集中在运维阶段，建议优先追溯 HOPR-00029。,运维阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-00030,HFB-00030,FS1,0.7871,TS3,0.5235,C007,过滤器,0.7119,0.5841,结合传感器能量和检测记录，过滤器的泄漏异常与材料阶段高风险实体 HMAT-00303 一致。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
HCASE-00031,HFB-00031,PS6,0.747,PS2,0.6585,C005,蓄能器,0.6854,0.5975,该案例表现为轻微阀芯卡滞，根因更可能由制造阶段隐患累积触发。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成阀芯卡滞。
HCASE-00032,HFB-00032,PS6,0.8168,PS6,0.7147,C011,管路总成,0.7748,0.6079,管路总成出现中度振动异常，生命周期风险集中在制造阶段，建议优先追溯 HMAN-01108。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成振动异常。
HCASE-00033,HFB-00033,PS2,0.7849,TS1,0.544,C011,管路总成,0.7582,0.5884,管路总成出现轻微压力异常，生命周期风险集中在检测阶段，建议优先追溯 HINSP-00033。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
HCASE-00034,HFB-00034,FS1,0.7576,TS3,0.7478,C008,液压油箱,0.751,0.5528,结合传感器能量和检测记录，液压油箱的流量异常与运维阶段高风险实体 HOPR-00034 一致。,运维阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-00035,HFB-00035,PS2,0.8641,PS2,0.7561,C004,溢流阀,0.7668,0.6258,结合传感器能量和检测记录，溢流阀的压力异常与运维阶段高风险实体 HOPR-00035 一致。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成压力异常。
HCASE-00036,HFB-00036,FS2,0.7451,PS3,0.5386,C003,作动筒,0.7088,0.5842,该案例表现为轻微流量异常，根因更可能由运维阶段隐患累积触发。,运维阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-00037,HFB-00037,PS3,0.8282,PS3,0.7246,C002,方向控制阀,0.7469,0.5896,结合传感器能量和检测记录，方向控制阀的温度异常与制造阶段高风险实体 HMAN-00953 一致。,制造阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-00038,HFB-00038,PS5,0.7259,PS2,0.5317,C010,节流阀,0.7362,0.6127,该案例表现为中度流量异常，根因更可能由运维阶段隐患累积触发。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为中度故障。
HCASE-00039,HFB-00039,PS4,0.8208,PS3,0.5736,C003,作动筒,0.7749,0.5865,该案例表现为轻微泄漏异常，根因更可能由设计阶段隐患累积触发。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成泄漏异常。
HCASE-00040,HFB-00040,VS1,0.9035,VS1,0.7905,C001,液压泵总成,0.8374,0.6487,结合传感器能量和检测记录，管路总成的压力异常与设计阶段高风险实体 HPIP-00009 一致。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为中度故障。
HCASE-00041,HFB-00041,TS2,0.7121,TS4,0.5263,C006,冷却器,0.6616,0.5323,该案例表现为轻微流量异常，根因更可能由材料阶段隐患累积触发。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
HCASE-00042,HFB-00042,PS3,0.8034,FS1,0.6552,C002,方向控制阀,0.715,0.5552,结合传感器能量和检测记录，方向控制阀的振动异常与运维阶段高风险实体 HOPR-00042 一致。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
HCASE-00043,HFB-00043,FS1,0.8733,PS5,0.5656,C002,方向控制阀,0.8027,0.6045,方向控制阀出现中度阀芯卡滞，生命周期风险集中在运维阶段，建议优先追溯 HOPR-00043。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成阀芯卡滞。
HCASE-00044,HFB-00044,FS1,0.8223,FS1,0.7195,C002,方向控制阀,0.7679,0.6136,方向控制阀出现轻微流量异常，生命周期风险集中在设计阶段，建议优先追溯 HDES-00762。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成流量异常。
HCASE-00045,HFB-00045,PS1,0.8796,PS1,0.7697,C011,管路总成,0.8364,0.6691,管路总成出现中度泄漏异常，生命周期风险集中在制造阶段，建议优先追溯 HMAN-00401。,制造阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-00046,HFB-00046,EPS1,0.6985,VS1,0.5484,C012,卸荷阀,0.7013,0.5496,该案例表现为轻微流量异常，根因更可能由制造阶段隐患累积触发。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成流量异常。
HCASE-00047,HFB-00047,PS6,0.96,PS6,0.84,C005,蓄能器,0.8432,0.6897,结合传感器能量和检测记录，溢流阀的泄漏异常与设计阶段高风险实体 HDES-00789 一致。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为中度故障。
HCASE-00048,HFB-00048,TS3,0.96,FS2,0.5566,C006,冷却器,0.8699,0.6633,结合传感器能量和检测记录，冷却器的温度异常与运维阶段高风险实体 HOPR-00048 一致。,运维阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-00049,HFB-00049,PS3,0.7129,PS5,0.5446,C002,方向控制阀,0.6936,0.5263,方向控制阀出现轻微温度异常，生命周期风险集中在运维阶段，建议优先追溯 HOPR-00049。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成温度异常。
HCASE-00050,HFB-00050,PS3,0.7657,PS3,0.67,C009,单向阀,0.7101,0.5522,单向阀出现轻微温度异常，生命周期风险集中在制造阶段，建议优先追溯 HMAN-00576。,制造阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-00051,HFB-00051,FS1,0.8757,FS1,0.7662,C009,单向阀,0.7967,0.59,该案例表现为轻微阀芯卡滞，根因更可能由运维阶段隐患累积触发。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
HCASE-00052,HFB-00052,PS2,0.7684,PS4,0.528,C011,管路总成,0.805,0.6213,该案例表现为中度振动异常，根因更可能由装配阶段隐患累积触发。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成振动异常。
HCASE-00053,HFB-00053,EPS1,0.7503,PS3,0.549,C004,溢流阀,0.7219,0.5611,该案例表现为轻微泄漏异常，根因更可能由装配阶段隐患累积触发。,装配阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-00054,HFB-00054,PS3,0.7573,FS1,0.6421,C009,单向阀,0.693,0.5984,该案例表现为轻微振动异常，根因更可能由材料阶段隐患累积触发。,材料阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-00055,HFB-00055,EPS1,0.8193,EPS1,0.7169,C012,卸荷阀,0.7694,0.6383,该案例表现为轻微压力异常，根因更可能由制造阶段隐患累积触发。,制造阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-00056,HFB-00056,PS2,0.7431,PS5,0.5509,C011,管路总成,0.7636,0.6135,该案例表现为中度泄漏异常，根因更可能由设计阶段隐患累积触发。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成泄漏异常。
HCASE-00057,HFB-00057,PS1,0.8456,PS1,0.7399,C001,液压泵总成,0.8204,0.6623,结合传感器能量和检测记录，管路总成的泄漏异常与制造阶段高风险实体 HMAN-01045 一致。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成泄漏异常。
HCASE-00058,HFB-00058,FS1,0.6509,PS2,0.806,C009,单向阀,0.6824,0.6017,单向阀出现轻微泄漏异常，生命周期风险集中在运维阶段，建议优先追溯 HOPR-00058。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成泄漏异常。
HCASE-00059,HFB-00059,FS1,0.8905,FS1,0.7792,C010,节流阀,0.8007,0.6154,结合传感器能量和检测记录，方向控制阀的阀芯卡滞与运维阶段高风险实体 HOPR-00059 一致。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
HCASE-00060,HFB-00060,PS2,0.7678,PS2,0.6718,C011,管路总成,0.7682,0.6057,管路总成出现中度振动异常，生命周期风险集中在材料阶段，建议优先追溯 HMAT-00038。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成振动异常。
HCASE-00061,HFB-00061,PS2,0.7838,PS1,0.5792,C004,溢流阀,0.7336,0.6009,该案例表现为轻微压力异常，根因更可能由装配阶段隐患累积触发。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
HCASE-00062,HFB-00062,PS2,0.7423,FS1,0.6576,C009,单向阀,0.6919,0.5562,该案例表现为轻微振动异常，根因更可能由设计阶段隐患累积触发。,设计阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-00063,HFB-00063,PS1,0.7504,PS6,0.7572,C011,管路总成,0.7667,0.5961,结合传感器能量和检测记录，管路总成的振动异常与装配阶段高风险实体 HASM-00063 一致。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为中度故障。
HCASE-00064,HFB-00064,PS1,0.7996,PS6,0.7936,C011,管路总成,0.7919,0.5885,管路总成出现中度泄漏异常，生命周期风险集中在制造阶段，建议优先追溯 HMAN-00078。,制造阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-00065,HFB-00065,PS6,0.96,PS2,0.7192,C005,蓄能器,0.8543,0.7072,该案例表现为中度压力异常，根因更可能由运维阶段隐患累积触发。,运维阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-00066,HFB-00066,FS1,0.6807,VS1,0.5844,C008,液压油箱,0.6817,0.5481,液压油箱出现轻微振动异常，生命周期风险集中在材料阶段，建议优先追溯 HMAT-00099。,材料阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-00067,HFB-00067,PS2,0.7957,PS1,0.5277,C005,蓄能器,0.7411,0.604,该案例表现为轻微压力异常，根因更可能由运维阶段隐患累积触发。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
HCASE-00068,HFB-00068,FS1,0.8028,PS1,0.5559,C008,液压油箱,0.7777,0.6308,该案例表现为中度流量异常，根因更可能由检测阶段隐患累积触发。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成流量异常。
HCASE-00069,HFB-00069,FS1,0.8474,FS2,0.7045,C008,液压油箱,0.8118,0.6746,结合传感器能量和检测记录，冷却器的温度异常与运维阶段高风险实体 HOPR-00069 一致。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成温度异常。
HCASE-00070,HFB-00070,PS2,0.8602,EPS1,0.5278,C005,蓄能器,0.772,0.5938,蓄能器出现轻微压力异常，生命周期风险集中在装配阶段，建议优先追溯 HASM-00070。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
HCASE-00071,HFB-00071,TS1,0.7426,PS6,0.597,C001,液压泵总成,0.7666,0.5727,结合传感器能量和检测记录，液压泵总成的压力异常与运维阶段高风险实体 HOPR-00071 一致。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成压力异常。
HCASE-00072,HFB-00072,FS1,0.8212,FS1,0.7185,C009,单向阀,0.7579,0.6085,结合传感器能量和检测记录，单向阀的压力异常与运维阶段高风险实体 HOPR-00072 一致。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成压力异常。
HCASE-00073,HFB-00073,TS1,0.6637,PS2,0.5185,C012,卸荷阀,0.6754,0.5173,结合传感器能量和检测记录，卸荷阀的振动异常与设计阶段高风险实体 HDES-00422 一致。,设计阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-00074,HFB-00074,VS1,0.6916,PS6,0.6747,C011,管路总成,0.677,0.5883,管路总成出现轻微阀芯卡滞，生命周期风险集中在装配阶段，建议优先追溯 HASM-00074。,装配阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-00075,HFB-00075,PS1,0.8596,PS1,0.7521,C012,卸荷阀,0.7864,0.6257,该案例表现为轻微泄漏异常，根因更可能由设计阶段隐患累积触发。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成泄漏异常。
HCASE-00076,HFB-00076,FS1,0.7461,PS3,0.7126,C002,方向控制阀,0.7141,0.5815,方向控制阀出现轻微泄漏异常，生命周期风险集中在装配阶段，建议优先追溯 HASM-00076。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
HCASE-00077,HFB-00077,TS2,0.9013,TS3,0.8258,C006,冷却器,0.8209,0.6484,液压油箱出现中度温度异常，生命周期风险集中在运维阶段，建议优先追溯 HOPR-00077。,运维阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-00078,HFB-00078,TS4,0.8155,PS5,0.5381,C007,过滤器,0.779,0.6337,结合传感器能量和检测记录，过滤器的流量异常与材料阶段高风险实体 HMAT-00064 一致。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为中度故障。
HCASE-00079,HFB-00079,TS4,0.7724,FS1,0.7806,C007,过滤器,0.7287,0.5812,结合传感器能量和检测记录，过滤器的压力异常与设计阶段高风险实体 HDES-01016 一致。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
HCASE-00080,HFB-00080,FS1,0.719,PS1,0.5137,C008,液压油箱,0.7065,0.5744,结合传感器能量和检测记录，液压油箱的振动异常与装配阶段高风险实体 HASM-00080 一致。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
HCASE-00081,HFB-00081,PS1,0.6959,PS3,0.5128,C012,卸荷阀,0.6985,0.5853,结合传感器能量和检测记录，卸荷阀的泄漏异常与制造阶段高风险实体 HMAN-00319 一致。,制造阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-00082,HFB-00082,VS1,0.7655,PS1,0.6724,C011,管路总成,0.7127,0.6009,结合传感器能量和检测记录，蓄能器的压力异常与运维阶段高风险实体 HOPR-00082 一致。,运维阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-00083,HFB-00083,TS3,0.8749,TS2,0.6189,C008,液压油箱,0.7836,0.6724,结合传感器能量和检测记录，液压油箱的温度异常与运维阶段高风险实体 HOPR-00083 一致。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
HCASE-00084,HFB-00084,TS1,0.8063,FS1,0.5155,C001,液压泵总成,0.7692,0.5721,液压泵总成出现中度振动异常，生命周期风险集中在制造阶段，建议优先追溯 HMAN-00607。,制造阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-00085,HFB-00085,TS4,0.7266,FS2,0.5214,C007,过滤器,0.7133,0.594,结合传感器能量和检测记录，过滤器的阀芯卡滞与材料阶段高风险实体 HMAT-00321 一致。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成阀芯卡滞。
HCASE-00086,HFB-00086,PS3,0.9262,PS5,0.5483,C002,方向控制阀,0.8105,0.6649,结合传感器能量和检测记录，方向控制阀的阀芯卡滞与运维阶段高风险实体 HOPR-00086 一致。,运维阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-00087,HFB-00087,PS2,0.844,PS2,0.7385,C011,管路总成,0.8122,0.6522,管路总成出现中度压力异常，生命周期风险集中在装配阶段，建议优先追溯 HASM-00087。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成压力异常。
HCASE-00088,HFB-00088,PS1,0.8491,VS1,0.7533,C011,管路总成,0.8,0.6522,结合传感器能量和检测记录，管路总成的压力异常与设计阶段高风险实体 HPIP-00019 一致。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为中度故障。
HCASE-00089,HFB-00089,FS1,0.8299,FS1,0.7261,C002,方向控制阀,0.777,0.6337,结合传感器能量和检测记录，作动筒的泄漏异常与检测阶段高风险实体 HINSP-00089 一致。,检测阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-00090,HFB-00090,FS1,0.7302,TS2,0.5654,C008,液压油箱,0.7056,0.55,液压油箱出现轻微泄漏异常，生命周期风险集中在设计阶段，建议优先追溯 HDES-00205。,设计阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-00091,HFB-00091,PS2,0.7015,PS3,0.7007,C009,单向阀,0.6813,0.5521,结合传感器能量和检测记录，单向阀的流量异常与运维阶段高风险实体 HOPR-00091 一致。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成流量异常。
HCASE-00092,HFB-00092,FS1,0.7243,VS1,0.5205,C008,液压油箱,0.7062,0.5951,结合传感器能量和检测记录，液压油箱的阀芯卡滞与设计阶段高风险实体 HDES-00341 一致。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成阀芯卡滞。
HCASE-00093,HFB-00093,TS4,0.8071,FS1,0.7753,C007,过滤器,0.7322,0.6673,节流阀出现轻微阀芯卡滞，生命周期风险集中在材料阶段，建议优先追溯 HMAT-00092。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
HCASE-00094,HFB-00094,PS1,0.8257,PS1,0.7225,C012,卸荷阀,0.7695,0.5925,结合传感器能量和检测记录，卸荷阀的阀芯卡滞与材料阶段高风险实体 HMAT-00318 一致。,材料阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-00095,HFB-00095,EPS1,0.8524,EPS1,0.7458,C004,溢流阀,0.7881,0.5646,结合传感器能量和检测记录，卸荷阀的阀芯卡滞与制造阶段高风险实体 HMAN-00314 一致。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
HCASE-00096,HFB-00096,TS4,0.766,FS1,0.695,C007,过滤器,0.7379,0.6196,过滤器出现轻微振动异常，生命周期风险集中在设计阶段，建议优先追溯 HDES-01133。,设计阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-00097,HFB-00097,PS1,0.7101,FS2,0.5523,C011,管路总成,0.7743,0.6195,管路总成出现中度振动异常，生命周期风险集中在材料阶段，建议优先追溯 HMAT-00199。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为中度故障。
HCASE-00098,HFB-00098,PS1,0.7404,PS4,0.5457,C011,管路总成,0.7923,0.6331,管路总成出现中度振动异常，生命周期风险集中在材料阶段，建议优先追溯 HMAT-00127。,材料阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-00099,HFB-00099,PS3,0.7569,PS2,0.8058,C009,单向阀,0.7571,0.6171,该案例表现为中度阀芯卡滞，根因更可能由设计阶段隐患累积触发。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成阀芯卡滞。
HCASE-00100,HFB-00100,PS4,0.6831,PS2,0.5541,C002,方向控制阀,0.6854,0.5342,结合传感器能量和检测记录，方向控制阀的压力异常与装配阶段高风险实体 HASM-00100 一致。,装配阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-00101,HFB-00101,TS4,0.7814,FS1,0.7442,C007,过滤器,0.7277,0.6462,该案例表现为轻微温度异常，根因更可能由制造阶段隐患累积触发。,制造阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-00102,HFB-00102,EPS1,0.7612,FS1,0.5884,C004,溢流阀,0.7398,0.6096,溢流阀出现轻微阀芯卡滞，生命周期风险集中在材料阶段，建议优先追溯 HMAT-00063。,材料阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-00103,HFB-00103,EPS1,0.7292,PS2,0.7879,C004,溢流阀,0.7344,0.5696,溢流阀出现轻微压力异常，生命周期风险集中在运维阶段，建议优先追溯 HOPR-00103。,运维阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
