evidence_id,feedback_id,evidence_type,evidence_text,confidence,domain
EVO_TEXT_HFB-00009,HFB-00009,fault_evolution_text,装配阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.5498,hydraulic
RCA_TEXT_HFB-00010,HFB-00010,rca_text,结合传感器能量和检测记录，单向阀的流量异常与运维阶段高风险实体 HOPR-00010 一致。,0.5782,hydraulic
EVO_TEXT_HFB-00010,HFB-00010,fault_evolution_text,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成流量异常。,0.5782,hydraulic
RCA_TEXT_HFB-00011,HFB-00011,rca_text,结合传感器能量和检测记录，方向控制阀的阀芯卡滞与材料阶段高风险实体 HMAT-00010 一致。,0.6081,hydraulic
EVO_TEXT_HFB-00011,HFB-00011,fault_evolution_text,材料阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.6081,hydraulic
RCA_TEXT_HFB-00012,HFB-00012,rca_text,作动筒出现轻微泄漏异常，生命周期风险集中在设计阶段，建议优先追溯 HDES-00094。,0.595,hydraulic
EVO_TEXT_HFB-00012,HFB-00012,fault_evolution_text,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成泄漏异常。,0.595,hydraulic
RCA_TEXT_HFB-00013,HFB-00013,rca_text,蓄能器出现轻微振动异常，生命周期风险集中在运维阶段，建议优先追溯 HOPR-00013。,0.5264,hydraulic
EVO_TEXT_HFB-00013,HFB-00013,fault_evolution_text,运维阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.5264,hydraulic
RCA_TEXT_HFB-00014,HFB-00014,rca_text,结合传感器能量和检测记录，过滤器的流量异常与制造阶段高风险实体 HMAN-01123 一致。,0.6222,hydraulic
EVO_TEXT_HFB-00014,HFB-00014,fault_evolution_text,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成流量异常。,0.6222,hydraulic
RCA_TEXT_HFB-00015,HFB-00015,rca_text,管路总成出现中度振动异常，生命周期风险集中在材料阶段，建议优先追溯 HMAT-00300。,0.7009,hydraulic
EVO_TEXT_HFB-00015,HFB-00015,fault_evolution_text,材料阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.7009,hydraulic
RCA_TEXT_HFB-00016,HFB-00016,rca_text,该案例表现为中度流量异常，根因更可能由运维阶段隐患累积触发。,0.5684,hydraulic
EVO_TEXT_HFB-00016,HFB-00016,fault_evolution_text,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成流量异常。,0.5684,hydraulic
RCA_TEXT_HFB-00017,HFB-00017,rca_text,该案例表现为轻微温度异常，根因更可能由运维阶段隐患累积触发。,0.6072,hydraulic
EVO_TEXT_HFB-00017,HFB-00017,fault_evolution_text,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成温度异常。,0.6072,hydraulic
RCA_TEXT_HFB-00018,HFB-00018,rca_text,结合传感器能量和检测记录，溢流阀的阀芯卡滞与制造阶段高风险实体 HMAN-00782 一致。,0.6439,hydraulic
EVO_TEXT_HFB-00018,HFB-00018,fault_evolution_text,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成阀芯卡滞。,0.6439,hydraulic
RCA_TEXT_HFB-00019,HFB-00019,rca_text,结合传感器能量和检测记录，单向阀的振动异常与检测阶段高风险实体 HINSP-00019 一致。,0.6073,hydraulic
EVO_TEXT_HFB-00019,HFB-00019,fault_evolution_text,检测阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.6073,hydraulic
RCA_TEXT_HFB-00020,HFB-00020,rca_text,该案例表现为轻微流量异常，根因更可能由运维阶段隐患累积触发。,0.5829,hydraulic
EVO_TEXT_HFB-00020,HFB-00020,fault_evolution_text,运维阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.5829,hydraulic
RCA_TEXT_HFB-00021,HFB-00021,rca_text,节流阀出现轻微温度异常，生命周期风险集中在运维阶段，建议优先追溯 HOPR-00021。,0.5397,hydraulic
EVO_TEXT_HFB-00021,HFB-00021,fault_evolution_text,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。,0.5397,hydraulic
RCA_TEXT_HFB-00022,HFB-00022,rca_text,管路总成出现中度流量异常，生命周期风险集中在运维阶段，建议优先追溯 HOPR-00022。,0.6264,hydraulic
EVO_TEXT_HFB-00022,HFB-00022,fault_evolution_text,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为中度故障。,0.6264,hydraulic
RCA_TEXT_HFB-00023,HFB-00023,rca_text,结合传感器能量和检测记录，溢流阀的泄漏异常与材料阶段高风险实体 HMAT-00115 一致。,0.5849,hydraulic
EVO_TEXT_HFB-00023,HFB-00023,fault_evolution_text,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。,0.5849,hydraulic
RCA_TEXT_HFB-00024,HFB-00024,rca_text,该案例表现为轻微泄漏异常，根因更可能由运维阶段隐患累积触发。,0.6064,hydraulic
EVO_TEXT_HFB-00024,HFB-00024,fault_evolution_text,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。,0.6064,hydraulic
RCA_TEXT_HFB-00025,HFB-00025,rca_text,结合传感器能量和检测记录，卸荷阀的阀芯卡滞与制造阶段高风险实体 HMAN-00196 一致。,0.5748,hydraulic
EVO_TEXT_HFB-00025,HFB-00025,fault_evolution_text,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。,0.5748,hydraulic
RCA_TEXT_HFB-00026,HFB-00026,rca_text,该案例表现为轻微泄漏异常，根因更可能由装配阶段隐患累积触发。,0.6539,hydraulic
EVO_TEXT_HFB-00026,HFB-00026,fault_evolution_text,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成泄漏异常。,0.6539,hydraulic
RCA_TEXT_HFB-00027,HFB-00027,rca_text,结合传感器能量和检测记录，单向阀的流量异常与制造阶段高风险实体 HMAN-00302 一致。,0.6339,hydraulic
EVO_TEXT_HFB-00027,HFB-00027,fault_evolution_text,制造阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.6339,hydraulic
RCA_TEXT_HFB-00028,HFB-00028,rca_text,液压油箱出现轻微阀芯卡滞，生命周期风险集中在材料阶段，建议优先追溯 HMAT-00191。,0.593,hydraulic
EVO_TEXT_HFB-00028,HFB-00028,fault_evolution_text,材料阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.593,hydraulic
RCA_TEXT_HFB-00029,HFB-00029,rca_text,过滤器出现轻微流量异常，生命周期风险集中在运维阶段，建议优先追溯 HOPR-00029。,0.6112,hydraulic
EVO_TEXT_HFB-00029,HFB-00029,fault_evolution_text,运维阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.6112,hydraulic
RCA_TEXT_HFB-00030,HFB-00030,rca_text,结合传感器能量和检测记录，过滤器的泄漏异常与材料阶段高风险实体 HMAT-00303 一致。,0.5841,hydraulic
EVO_TEXT_HFB-00030,HFB-00030,fault_evolution_text,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。,0.5841,hydraulic
RCA_TEXT_HFB-00031,HFB-00031,rca_text,该案例表现为轻微阀芯卡滞，根因更可能由制造阶段隐患累积触发。,0.5975,hydraulic
EVO_TEXT_HFB-00031,HFB-00031,fault_evolution_text,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成阀芯卡滞。,0.5975,hydraulic
RCA_TEXT_HFB-00032,HFB-00032,rca_text,管路总成出现中度振动异常，生命周期风险集中在制造阶段，建议优先追溯 HMAN-01108。,0.6079,hydraulic
EVO_TEXT_HFB-00032,HFB-00032,fault_evolution_text,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成振动异常。,0.6079,hydraulic
RCA_TEXT_HFB-00033,HFB-00033,rca_text,管路总成出现轻微压力异常，生命周期风险集中在检测阶段，建议优先追溯 HINSP-00033。,0.5884,hydraulic
EVO_TEXT_HFB-00033,HFB-00033,fault_evolution_text,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。,0.5884,hydraulic
RCA_TEXT_HFB-00034,HFB-00034,rca_text,结合传感器能量和检测记录，液压油箱的流量异常与运维阶段高风险实体 HOPR-00034 一致。,0.5528,hydraulic
EVO_TEXT_HFB-00034,HFB-00034,fault_evolution_text,运维阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.5528,hydraulic
RCA_TEXT_HFB-00035,HFB-00035,rca_text,结合传感器能量和检测记录，溢流阀的压力异常与运维阶段高风险实体 HOPR-00035 一致。,0.6258,hydraulic
EVO_TEXT_HFB-00035,HFB-00035,fault_evolution_text,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成压力异常。,0.6258,hydraulic
RCA_TEXT_HFB-00036,HFB-00036,rca_text,该案例表现为轻微流量异常，根因更可能由运维阶段隐患累积触发。,0.5842,hydraulic
EVO_TEXT_HFB-00036,HFB-00036,fault_evolution_text,运维阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.5842,hydraulic
RCA_TEXT_HFB-00037,HFB-00037,rca_text,结合传感器能量和检测记录，方向控制阀的温度异常与制造阶段高风险实体 HMAN-00953 一致。,0.5896,hydraulic
EVO_TEXT_HFB-00037,HFB-00037,fault_evolution_text,制造阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.5896,hydraulic
RCA_TEXT_HFB-00038,HFB-00038,rca_text,该案例表现为中度流量异常，根因更可能由运维阶段隐患累积触发。,0.6127,hydraulic
EVO_TEXT_HFB-00038,HFB-00038,fault_evolution_text,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为中度故障。,0.6127,hydraulic
RCA_TEXT_HFB-00039,HFB-00039,rca_text,该案例表现为轻微泄漏异常，根因更可能由设计阶段隐患累积触发。,0.5865,hydraulic
EVO_TEXT_HFB-00039,HFB-00039,fault_evolution_text,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成泄漏异常。,0.5865,hydraulic
RCA_TEXT_HFB-00040,HFB-00040,rca_text,结合传感器能量和检测记录，管路总成的压力异常与设计阶段高风险实体 HPIP-00009 一致。,0.6487,hydraulic
EVO_TEXT_HFB-00040,HFB-00040,fault_evolution_text,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为中度故障。,0.6487,hydraulic
RCA_TEXT_HFB-00041,HFB-00041,rca_text,该案例表现为轻微流量异常，根因更可能由材料阶段隐患累积触发。,0.5323,hydraulic
EVO_TEXT_HFB-00041,HFB-00041,fault_evolution_text,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。,0.5323,hydraulic
RCA_TEXT_HFB-00042,HFB-00042,rca_text,结合传感器能量和检测记录，方向控制阀的振动异常与运维阶段高风险实体 HOPR-00042 一致。,0.5552,hydraulic
EVO_TEXT_HFB-00042,HFB-00042,fault_evolution_text,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。,0.5552,hydraulic
RCA_TEXT_HFB-00043,HFB-00043,rca_text,方向控制阀出现中度阀芯卡滞，生命周期风险集中在运维阶段，建议优先追溯 HOPR-00043。,0.6045,hydraulic
EVO_TEXT_HFB-00043,HFB-00043,fault_evolution_text,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成阀芯卡滞。,0.6045,hydraulic
RCA_TEXT_HFB-00044,HFB-00044,rca_text,方向控制阀出现轻微流量异常，生命周期风险集中在设计阶段，建议优先追溯 HDES-00762。,0.6136,hydraulic
EVO_TEXT_HFB-00044,HFB-00044,fault_evolution_text,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成流量异常。,0.6136,hydraulic
RCA_TEXT_HFB-00045,HFB-00045,rca_text,管路总成出现中度泄漏异常，生命周期风险集中在制造阶段，建议优先追溯 HMAN-00401。,0.6691,hydraulic
EVO_TEXT_HFB-00045,HFB-00045,fault_evolution_text,制造阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.6691,hydraulic
RCA_TEXT_HFB-00046,HFB-00046,rca_text,该案例表现为轻微流量异常，根因更可能由制造阶段隐患累积触发。,0.5496,hydraulic
EVO_TEXT_HFB-00046,HFB-00046,fault_evolution_text,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成流量异常。,0.5496,hydraulic
RCA_TEXT_HFB-00047,HFB-00047,rca_text,结合传感器能量和检测记录，溢流阀的泄漏异常与设计阶段高风险实体 HDES-00789 一致。,0.6897,hydraulic
EVO_TEXT_HFB-00047,HFB-00047,fault_evolution_text,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为中度故障。,0.6897,hydraulic
RCA_TEXT_HFB-00048,HFB-00048,rca_text,结合传感器能量和检测记录，冷却器的温度异常与运维阶段高风险实体 HOPR-00048 一致。,0.6633,hydraulic
EVO_TEXT_HFB-00048,HFB-00048,fault_evolution_text,运维阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.6633,hydraulic
RCA_TEXT_HFB-00049,HFB-00049,rca_text,方向控制阀出现轻微温度异常，生命周期风险集中在运维阶段，建议优先追溯 HOPR-00049。,0.5263,hydraulic
EVO_TEXT_HFB-00049,HFB-00049,fault_evolution_text,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成温度异常。,0.5263,hydraulic
RCA_TEXT_HFB-00050,HFB-00050,rca_text,单向阀出现轻微温度异常，生命周期风险集中在制造阶段，建议优先追溯 HMAN-00576。,0.5522,hydraulic
EVO_TEXT_HFB-00050,HFB-00050,fault_evolution_text,制造阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.5522,hydraulic
RCA_TEXT_HFB-00051,HFB-00051,rca_text,该案例表现为轻微阀芯卡滞，根因更可能由运维阶段隐患累积触发。,0.59,hydraulic
EVO_TEXT_HFB-00051,HFB-00051,fault_evolution_text,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。,0.59,hydraulic
RCA_TEXT_HFB-00052,HFB-00052,rca_text,该案例表现为中度振动异常，根因更可能由装配阶段隐患累积触发。,0.6213,hydraulic
EVO_TEXT_HFB-00052,HFB-00052,fault_evolution_text,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成振动异常。,0.6213,hydraulic
RCA_TEXT_HFB-00053,HFB-00053,rca_text,该案例表现为轻微泄漏异常，根因更可能由装配阶段隐患累积触发。,0.5611,hydraulic
EVO_TEXT_HFB-00053,HFB-00053,fault_evolution_text,装配阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.5611,hydraulic
RCA_TEXT_HFB-00054,HFB-00054,rca_text,该案例表现为轻微振动异常，根因更可能由材料阶段隐患累积触发。,0.5984,hydraulic
EVO_TEXT_HFB-00054,HFB-00054,fault_evolution_text,材料阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.5984,hydraulic
RCA_TEXT_HFB-00055,HFB-00055,rca_text,该案例表现为轻微压力异常，根因更可能由制造阶段隐患累积触发。,0.6383,hydraulic
EVO_TEXT_HFB-00055,HFB-00055,fault_evolution_text,制造阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.6383,hydraulic
RCA_TEXT_HFB-00056,HFB-00056,rca_text,该案例表现为中度泄漏异常，根因更可能由设计阶段隐患累积触发。,0.6135,hydraulic
EVO_TEXT_HFB-00056,HFB-00056,fault_evolution_text,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成泄漏异常。,0.6135,hydraulic
RCA_TEXT_HFB-00057,HFB-00057,rca_text,结合传感器能量和检测记录，管路总成的泄漏异常与制造阶段高风险实体 HMAN-01045 一致。,0.6623,hydraulic
EVO_TEXT_HFB-00057,HFB-00057,fault_evolution_text,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成泄漏异常。,0.6623,hydraulic
RCA_TEXT_HFB-00058,HFB-00058,rca_text,单向阀出现轻微泄漏异常，生命周期风险集中在运维阶段，建议优先追溯 HOPR-00058。,0.6017,hydraulic
EVO_TEXT_HFB-00058,HFB-00058,fault_evolution_text,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成泄漏异常。,0.6017,hydraulic
RCA_TEXT_HFB-00059,HFB-00059,rca_text,结合传感器能量和检测记录，方向控制阀的阀芯卡滞与运维阶段高风险实体 HOPR-00059 一致。,0.6154,hydraulic
EVO_TEXT_HFB-00059,HFB-00059,fault_evolution_text,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。,0.6154,hydraulic
RCA_TEXT_HFB-00060,HFB-00060,rca_text,管路总成出现中度振动异常，生命周期风险集中在材料阶段，建议优先追溯 HMAT-00038。,0.6057,hydraulic
EVO_TEXT_HFB-00060,HFB-00060,fault_evolution_text,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成振动异常。,0.6057,hydraulic
RCA_TEXT_HFB-00061,HFB-00061,rca_text,该案例表现为轻微压力异常，根因更可能由装配阶段隐患累积触发。,0.6009,hydraulic
EVO_TEXT_HFB-00061,HFB-00061,fault_evolution_text,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。,0.6009,hydraulic
RCA_TEXT_HFB-00062,HFB-00062,rca_text,该案例表现为轻微振动异常，根因更可能由设计阶段隐患累积触发。,0.5562,hydraulic
EVO_TEXT_HFB-00062,HFB-00062,fault_evolution_text,设计阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.5562,hydraulic
RCA_TEXT_HFB-00063,HFB-00063,rca_text,结合传感器能量和检测记录，管路总成的振动异常与装配阶段高风险实体 HASM-00063 一致。,0.5961,hydraulic
EVO_TEXT_HFB-00063,HFB-00063,fault_evolution_text,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为中度故障。,0.5961,hydraulic
RCA_TEXT_HFB-00064,HFB-00064,rca_text,管路总成出现中度泄漏异常，生命周期风险集中在制造阶段，建议优先追溯 HMAN-00078。,0.5885,hydraulic
EVO_TEXT_HFB-00064,HFB-00064,fault_evolution_text,制造阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.5885,hydraulic
RCA_TEXT_HFB-00065,HFB-00065,rca_text,该案例表现为中度压力异常，根因更可能由运维阶段隐患累积触发。,0.7072,hydraulic
EVO_TEXT_HFB-00065,HFB-00065,fault_evolution_text,运维阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.7072,hydraulic
RCA_TEXT_HFB-00066,HFB-00066,rca_text,液压油箱出现轻微振动异常，生命周期风险集中在材料阶段，建议优先追溯 HMAT-00099。,0.5481,hydraulic
EVO_TEXT_HFB-00066,HFB-00066,fault_evolution_text,材料阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.5481,hydraulic
RCA_TEXT_HFB-00067,HFB-00067,rca_text,该案例表现为轻微压力异常，根因更可能由运维阶段隐患累积触发。,0.604,hydraulic
EVO_TEXT_HFB-00067,HFB-00067,fault_evolution_text,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。,0.604,hydraulic
RCA_TEXT_HFB-00068,HFB-00068,rca_text,该案例表现为中度流量异常，根因更可能由检测阶段隐患累积触发。,0.6308,hydraulic
EVO_TEXT_HFB-00068,HFB-00068,fault_evolution_text,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成流量异常。,0.6308,hydraulic
RCA_TEXT_HFB-00069,HFB-00069,rca_text,结合传感器能量和检测记录，冷却器的温度异常与运维阶段高风险实体 HOPR-00069 一致。,0.6746,hydraulic
EVO_TEXT_HFB-00069,HFB-00069,fault_evolution_text,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成温度异常。,0.6746,hydraulic
RCA_TEXT_HFB-00070,HFB-00070,rca_text,蓄能器出现轻微压力异常，生命周期风险集中在装配阶段，建议优先追溯 HASM-00070。,0.5938,hydraulic
EVO_TEXT_HFB-00070,HFB-00070,fault_evolution_text,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。,0.5938,hydraulic
RCA_TEXT_HFB-00071,HFB-00071,rca_text,结合传感器能量和检测记录，液压泵总成的压力异常与运维阶段高风险实体 HOPR-00071 一致。,0.5727,hydraulic
EVO_TEXT_HFB-00071,HFB-00071,fault_evolution_text,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成压力异常。,0.5727,hydraulic
RCA_TEXT_HFB-00072,HFB-00072,rca_text,结合传感器能量和检测记录，单向阀的压力异常与运维阶段高风险实体 HOPR-00072 一致。,0.6085,hydraulic
EVO_TEXT_HFB-00072,HFB-00072,fault_evolution_text,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成压力异常。,0.6085,hydraulic
RCA_TEXT_HFB-00073,HFB-00073,rca_text,结合传感器能量和检测记录，卸荷阀的振动异常与设计阶段高风险实体 HDES-00422 一致。,0.5173,hydraulic
EVO_TEXT_HFB-00073,HFB-00073,fault_evolution_text,设计阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.5173,hydraulic
RCA_TEXT_HFB-00074,HFB-00074,rca_text,管路总成出现轻微阀芯卡滞，生命周期风险集中在装配阶段，建议优先追溯 HASM-00074。,0.5883,hydraulic
EVO_TEXT_HFB-00074,HFB-00074,fault_evolution_text,装配阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.5883,hydraulic
RCA_TEXT_HFB-00075,HFB-00075,rca_text,该案例表现为轻微泄漏异常，根因更可能由设计阶段隐患累积触发。,0.6257,hydraulic
EVO_TEXT_HFB-00075,HFB-00075,fault_evolution_text,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成泄漏异常。,0.6257,hydraulic
RCA_TEXT_HFB-00076,HFB-00076,rca_text,方向控制阀出现轻微泄漏异常，生命周期风险集中在装配阶段，建议优先追溯 HASM-00076。,0.5815,hydraulic
EVO_TEXT_HFB-00076,HFB-00076,fault_evolution_text,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。,0.5815,hydraulic
RCA_TEXT_HFB-00077,HFB-00077,rca_text,液压油箱出现中度温度异常，生命周期风险集中在运维阶段，建议优先追溯 HOPR-00077。,0.6484,hydraulic
EVO_TEXT_HFB-00077,HFB-00077,fault_evolution_text,运维阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.6484,hydraulic
RCA_TEXT_HFB-00078,HFB-00078,rca_text,结合传感器能量和检测记录，过滤器的流量异常与材料阶段高风险实体 HMAT-00064 一致。,0.6337,hydraulic
EVO_TEXT_HFB-00078,HFB-00078,fault_evolution_text,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为中度故障。,0.6337,hydraulic
RCA_TEXT_HFB-00079,HFB-00079,rca_text,结合传感器能量和检测记录，过滤器的压力异常与设计阶段高风险实体 HDES-01016 一致。,0.5812,hydraulic
EVO_TEXT_HFB-00079,HFB-00079,fault_evolution_text,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。,0.5812,hydraulic
RCA_TEXT_HFB-00080,HFB-00080,rca_text,结合传感器能量和检测记录，液压油箱的振动异常与装配阶段高风险实体 HASM-00080 一致。,0.5744,hydraulic
EVO_TEXT_HFB-00080,HFB-00080,fault_evolution_text,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。,0.5744,hydraulic
RCA_TEXT_HFB-00081,HFB-00081,rca_text,结合传感器能量和检测记录，卸荷阀的泄漏异常与制造阶段高风险实体 HMAN-00319 一致。,0.5853,hydraulic
EVO_TEXT_HFB-00081,HFB-00081,fault_evolution_text,制造阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.5853,hydraulic
RCA_TEXT_HFB-00082,HFB-00082,rca_text,结合传感器能量和检测记录，蓄能器的压力异常与运维阶段高风险实体 HOPR-00082 一致。,0.6009,hydraulic
EVO_TEXT_HFB-00082,HFB-00082,fault_evolution_text,运维阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.6009,hydraulic
RCA_TEXT_HFB-00083,HFB-00083,rca_text,结合传感器能量和检测记录，液压油箱的温度异常与运维阶段高风险实体 HOPR-00083 一致。,0.6724,hydraulic
EVO_TEXT_HFB-00083,HFB-00083,fault_evolution_text,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。,0.6724,hydraulic
RCA_TEXT_HFB-00084,HFB-00084,rca_text,液压泵总成出现中度振动异常，生命周期风险集中在制造阶段，建议优先追溯 HMAN-00607。,0.5721,hydraulic
EVO_TEXT_HFB-00084,HFB-00084,fault_evolution_text,制造阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.5721,hydraulic
RCA_TEXT_HFB-00085,HFB-00085,rca_text,结合传感器能量和检测记录，过滤器的阀芯卡滞与材料阶段高风险实体 HMAT-00321 一致。,0.594,hydraulic
EVO_TEXT_HFB-00085,HFB-00085,fault_evolution_text,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成阀芯卡滞。,0.594,hydraulic
