feedback_id,case_id,component_uid,component_code,component_name,fault_type,fault_position,fault_severity,diagnosis_confidence,rca_text,fault_evolution_text,rca_confidence,true_reason_id,true_reason_type,true_stage
HFB-00011,HCASE-00011,HCU-00011,C002,方向控制阀,valve_stuck,方向控制阀,medium,0.7149,结合传感器能量和检测记录，方向控制阀的阀芯卡滞与材料阶段高风险实体 HMAT-00010 一致。,材料阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.6081,HMAT-00010,MaterialBatch,material
HFB-00012,HCASE-00012,HCU-00012,C003,作动筒,oil_leakage,作动筒,slight,0.6892,作动筒出现轻微泄漏异常，生命周期风险集中在设计阶段，建议优先追溯 HDES-00094。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成泄漏异常。,0.595,HDES-00094,DesignSpec,design
HFB-00013,HCASE-00013,HCU-00013,C005,蓄能器,vibration_abnormal,蓄能器,slight,0.713,蓄能器出现轻微振动异常，生命周期风险集中在运维阶段，建议优先追溯 HOPR-00013。,运维阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.5264,HOPR-00013,MaintenanceRecord,operation
HFB-00014,HCASE-00014,HCU-00014,C007,过滤器,flow_abnormal,过滤器,slight,0.6651,结合传感器能量和检测记录，过滤器的流量异常与制造阶段高风险实体 HMAN-01123 一致。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成流量异常。,0.6222,HMAN-01123,ManufacturingBatch,manufacturing
HFB-00015,HCASE-00015,HCU-00015,C011,管路总成,vibration_abnormal,管路总成,medium,0.6702,管路总成出现中度振动异常，生命周期风险集中在材料阶段，建议优先追溯 HMAT-00300。,材料阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.7009,HMAT-00300,MaterialBatch,material
HFB-00016,HCASE-00016,HCU-00016,C011,管路总成,flow_abnormal,管路总成,medium,0.7105,该案例表现为中度流量异常，根因更可能由运维阶段隐患累积触发。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成流量异常。,0.5684,HOPR-00016,MaintenanceRecord,operation
HFB-00017,HCASE-00017,HCU-00017,C009,单向阀,temperature_abnormal,单向阀,slight,0.6762,该案例表现为轻微温度异常，根因更可能由运维阶段隐患累积触发。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成温度异常。,0.6072,HOPR-00017,MaintenanceRecord,operation
HFB-00018,HCASE-00018,HCU-00018,C004,溢流阀,valve_stuck,溢流阀,slight,0.7217,结合传感器能量和检测记录，溢流阀的阀芯卡滞与制造阶段高风险实体 HMAN-00782 一致。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成阀芯卡滞。,0.6439,HMAN-00782,ManufacturingBatch,manufacturing
HFB-00019,HCASE-00019,HCU-00019,C009,单向阀,vibration_abnormal,单向阀,slight,0.6706,结合传感器能量和检测记录，单向阀的振动异常与检测阶段高风险实体 HINSP-00019 一致。,检测阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.6073,HINSP-00019,InspectionRecord,inspection
HFB-00020,HCASE-00020,HCU-00020,C001,液压泵总成,flow_abnormal,液压泵总成,slight,0.6861,该案例表现为轻微流量异常，根因更可能由运维阶段隐患累积触发。,运维阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.5829,HOPR-00020,MaintenanceRecord,operation
HFB-00021,HCASE-00021,HCU-00021,C010,节流阀,temperature_abnormal,节流阀,slight,0.559,节流阀出现轻微温度异常，生命周期风险集中在运维阶段，建议优先追溯 HOPR-00021。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。,0.5397,HOPR-00021,MaintenanceRecord,operation
HFB-00022,HCASE-00022,HCU-00022,C011,管路总成,flow_abnormal,管路总成,medium,0.6883,管路总成出现中度流量异常，生命周期风险集中在运维阶段，建议优先追溯 HOPR-00022。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为中度故障。,0.6264,HOPR-00022,MaintenanceRecord,operation
HFB-00023,HCASE-00023,HCU-00023,C004,溢流阀,oil_leakage,溢流阀,slight,0.7339,结合传感器能量和检测记录，溢流阀的泄漏异常与材料阶段高风险实体 HMAT-00115 一致。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。,0.5849,HMAT-00115,MaterialBatch,material
HFB-00024,HCASE-00024,HCU-00024,C003,作动筒,oil_leakage,作动筒,slight,0.6202,该案例表现为轻微泄漏异常，根因更可能由运维阶段隐患累积触发。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。,0.6064,HOPR-00024,MaintenanceRecord,operation
HFB-00025,HCASE-00025,HCU-00025,C012,卸荷阀,valve_stuck,卸荷阀,slight,0.6577,结合传感器能量和检测记录，卸荷阀的阀芯卡滞与制造阶段高风险实体 HMAN-00196 一致。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。,0.5748,HMAN-00196,ManufacturingBatch,manufacturing
HFB-00026,HCASE-00026,HCU-00026,C005,蓄能器,oil_leakage,蓄能器,slight,0.6597,该案例表现为轻微泄漏异常，根因更可能由装配阶段隐患累积触发。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成泄漏异常。,0.6539,HASM-00026,AssemblyRecord,assembly
HFB-00027,HCASE-00027,HCU-00027,C009,单向阀,flow_abnormal,单向阀,slight,0.6647,结合传感器能量和检测记录，单向阀的流量异常与制造阶段高风险实体 HMAN-00302 一致。,制造阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.6339,HMAN-00302,ManufacturingBatch,manufacturing
HFB-00028,HCASE-00028,HCU-00028,C008,液压油箱,valve_stuck,液压油箱,slight,0.6905,液压油箱出现轻微阀芯卡滞，生命周期风险集中在材料阶段，建议优先追溯 HMAT-00191。,材料阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.593,HMAT-00191,MaterialBatch,material
HFB-00029,HCASE-00029,HCU-00029,C007,过滤器,flow_abnormal,过滤器,slight,0.7068,过滤器出现轻微流量异常，生命周期风险集中在运维阶段，建议优先追溯 HOPR-00029。,运维阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.6112,HOPR-00029,MaintenanceRecord,operation
HFB-00030,HCASE-00030,HCU-00030,C007,过滤器,oil_leakage,过滤器,slight,0.6866,结合传感器能量和检测记录，过滤器的泄漏异常与材料阶段高风险实体 HMAT-00303 一致。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。,0.5841,HMAT-00303,MaterialBatch,material
HFB-00031,HCASE-00031,HCU-00031,C005,蓄能器,valve_stuck,蓄能器,slight,0.6795,该案例表现为轻微阀芯卡滞，根因更可能由制造阶段隐患累积触发。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成阀芯卡滞。,0.5975,HMAN-00414,ManufacturingBatch,manufacturing
HFB-00032,HCASE-00032,HCU-00032,C011,管路总成,vibration_abnormal,管路总成,medium,0.6447,管路总成出现中度振动异常，生命周期风险集中在制造阶段，建议优先追溯 HMAN-01108。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成振动异常。,0.6079,HMAN-01108,ManufacturingBatch,manufacturing
HFB-00033,HCASE-00033,HCU-00033,C011,管路总成,pressure_abnormal,管路总成,slight,0.6964,管路总成出现轻微压力异常，生命周期风险集中在检测阶段，建议优先追溯 HINSP-00033。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。,0.5884,HINSP-00033,InspectionRecord,inspection
HFB-00034,HCASE-00034,HCU-00034,C008,液压油箱,flow_abnormal,液压油箱,medium,0.6795,结合传感器能量和检测记录，液压油箱的流量异常与运维阶段高风险实体 HOPR-00034 一致。,运维阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.5528,HOPR-00034,MaintenanceRecord,operation
HFB-00035,HCASE-00035,HCU-00035,C004,溢流阀,pressure_abnormal,溢流阀,slight,0.6294,结合传感器能量和检测记录，溢流阀的压力异常与运维阶段高风险实体 HOPR-00035 一致。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成压力异常。,0.6258,HOPR-00035,MaintenanceRecord,operation
HFB-00036,HCASE-00036,HCU-00036,C003,作动筒,flow_abnormal,作动筒,slight,0.6598,该案例表现为轻微流量异常，根因更可能由运维阶段隐患累积触发。,运维阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.5842,HOPR-00036,MaintenanceRecord,operation
HFB-00037,HCASE-00037,HCU-00037,C002,方向控制阀,temperature_abnormal,方向控制阀,slight,0.6807,结合传感器能量和检测记录，方向控制阀的温度异常与制造阶段高风险实体 HMAN-00953 一致。,制造阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.5896,HMAN-00953,ManufacturingBatch,manufacturing
HFB-00038,HCASE-00038,HCU-00038,C010,节流阀,flow_abnormal,节流阀,medium,0.7201,该案例表现为中度流量异常，根因更可能由运维阶段隐患累积触发。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为中度故障。,0.6127,HOPR-00038,MaintenanceRecord,operation
HFB-00039,HCASE-00039,HCU-00039,C003,作动筒,oil_leakage,作动筒,slight,0.6729,该案例表现为轻微泄漏异常，根因更可能由设计阶段隐患累积触发。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成泄漏异常。,0.5865,HDES-00653,DesignSpec,design
HFB-00040,HCASE-00040,HCU-00040,C011,管路总成,pressure_abnormal,管路总成,medium,0.7307,结合传感器能量和检测记录，管路总成的压力异常与设计阶段高风险实体 HPIP-00009 一致。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为中度故障。,0.6487,HPIP-00009,PipeDesignParam,design
HFB-00041,HCASE-00041,HCU-00041,C006,冷却器,flow_abnormal,冷却器,slight,0.6151,该案例表现为轻微流量异常，根因更可能由材料阶段隐患累积触发。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。,0.5323,HMAT-00557,MaterialBatch,material
HFB-00042,HCASE-00042,HCU-00042,C002,方向控制阀,vibration_abnormal,方向控制阀,slight,0.6091,结合传感器能量和检测记录，方向控制阀的振动异常与运维阶段高风险实体 HOPR-00042 一致。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。,0.5552,HOPR-00042,MaintenanceRecord,operation
HFB-00043,HCASE-00043,HCU-00043,C002,方向控制阀,valve_stuck,方向控制阀,medium,0.6657,方向控制阀出现中度阀芯卡滞，生命周期风险集中在运维阶段，建议优先追溯 HOPR-00043。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成阀芯卡滞。,0.6045,HOPR-00043,MaintenanceRecord,operation
HFB-00044,HCASE-00044,HCU-00044,C002,方向控制阀,flow_abnormal,方向控制阀,slight,0.7467,方向控制阀出现轻微流量异常，生命周期风险集中在设计阶段，建议优先追溯 HDES-00762。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成流量异常。,0.6136,HDES-00762,DesignSpec,design
HFB-00045,HCASE-00045,HCU-00045,C011,管路总成,oil_leakage,管路总成,medium,0.7259,管路总成出现中度泄漏异常，生命周期风险集中在制造阶段，建议优先追溯 HMAN-00401。,制造阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.6691,HMAN-00401,ManufacturingBatch,manufacturing
HFB-00046,HCASE-00046,HCU-00046,C012,卸荷阀,flow_abnormal,卸荷阀,slight,0.7183,该案例表现为轻微流量异常，根因更可能由制造阶段隐患累积触发。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成流量异常。,0.5496,HMAN-01186,ManufacturingBatch,manufacturing
HFB-00047,HCASE-00047,HCU-00047,C004,溢流阀,oil_leakage,溢流阀,medium,0.7045,结合传感器能量和检测记录，溢流阀的泄漏异常与设计阶段高风险实体 HDES-00789 一致。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为中度故障。,0.6897,HDES-00789,DesignSpec,design
HFB-00048,HCASE-00048,HCU-00048,C006,冷却器,temperature_abnormal,冷却器,medium,0.7201,结合传感器能量和检测记录，冷却器的温度异常与运维阶段高风险实体 HOPR-00048 一致。,运维阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.6633,HOPR-00048,MaintenanceRecord,operation
HFB-00049,HCASE-00049,HCU-00049,C002,方向控制阀,temperature_abnormal,方向控制阀,slight,0.6059,方向控制阀出现轻微温度异常，生命周期风险集中在运维阶段，建议优先追溯 HOPR-00049。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成温度异常。,0.5263,HOPR-00049,MaintenanceRecord,operation
HFB-00050,HCASE-00050,HCU-00050,C009,单向阀,temperature_abnormal,单向阀,slight,0.6772,单向阀出现轻微温度异常，生命周期风险集中在制造阶段，建议优先追溯 HMAN-00576。,制造阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.5522,HMAN-00576,ManufacturingBatch,manufacturing
HFB-00051,HCASE-00051,HCU-00051,C009,单向阀,valve_stuck,单向阀,slight,0.6434,该案例表现为轻微阀芯卡滞，根因更可能由运维阶段隐患累积触发。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。,0.59,HOPR-00051,MaintenanceRecord,operation
HFB-00052,HCASE-00052,HCU-00052,C011,管路总成,vibration_abnormal,管路总成,medium,0.7207,该案例表现为中度振动异常，根因更可能由装配阶段隐患累积触发。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成振动异常。,0.6213,HASM-00052,AssemblyRecord,assembly
HFB-00053,HCASE-00053,HCU-00053,C004,溢流阀,oil_leakage,溢流阀,slight,0.6636,该案例表现为轻微泄漏异常，根因更可能由装配阶段隐患累积触发。,装配阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.5611,HASM-00053,AssemblyRecord,assembly
HFB-00054,HCASE-00054,HCU-00054,C009,单向阀,vibration_abnormal,单向阀,slight,0.6828,该案例表现为轻微振动异常，根因更可能由材料阶段隐患累积触发。,材料阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.5984,HMAT-00280,MaterialBatch,material
HFB-00055,HCASE-00055,HCU-00055,C012,卸荷阀,pressure_abnormal,卸荷阀,slight,0.738,该案例表现为轻微压力异常，根因更可能由制造阶段隐患累积触发。,制造阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.6383,HMAN-01139,ManufacturingBatch,manufacturing
HFB-00056,HCASE-00056,HCU-00056,C011,管路总成,oil_leakage,管路总成,medium,0.7247,该案例表现为中度泄漏异常，根因更可能由设计阶段隐患累积触发。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成泄漏异常。,0.6135,HPIP-00012,PipeDesignParam,design
HFB-00057,HCASE-00057,HCU-00057,C011,管路总成,oil_leakage,管路总成,medium,0.7168,结合传感器能量和检测记录，管路总成的泄漏异常与制造阶段高风险实体 HMAN-01045 一致。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成泄漏异常。,0.6623,HMAN-01045,ManufacturingBatch,manufacturing
HFB-00058,HCASE-00058,HCU-00058,C009,单向阀,oil_leakage,单向阀,slight,0.713,单向阀出现轻微泄漏异常，生命周期风险集中在运维阶段，建议优先追溯 HOPR-00058。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成泄漏异常。,0.6017,HOPR-00058,MaintenanceRecord,operation
HFB-00059,HCASE-00059,HCU-00059,C002,方向控制阀,valve_stuck,方向控制阀,slight,0.7567,结合传感器能量和检测记录，方向控制阀的阀芯卡滞与运维阶段高风险实体 HOPR-00059 一致。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。,0.6154,HOPR-00059,MaintenanceRecord,operation
HFB-00060,HCASE-00060,HCU-00060,C011,管路总成,vibration_abnormal,管路总成,medium,0.7437,管路总成出现中度振动异常，生命周期风险集中在材料阶段，建议优先追溯 HMAT-00038。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成振动异常。,0.6057,HMAT-00038,MaterialBatch,material
HFB-00061,HCASE-00061,HCU-00061,C004,溢流阀,pressure_abnormal,溢流阀,slight,0.7018,该案例表现为轻微压力异常，根因更可能由装配阶段隐患累积触发。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。,0.6009,HASM-00061,AssemblyRecord,assembly
HFB-00062,HCASE-00062,HCU-00062,C009,单向阀,vibration_abnormal,单向阀,slight,0.7095,该案例表现为轻微振动异常，根因更可能由设计阶段隐患累积触发。,设计阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.5562,HDES-00417,DesignSpec,design
HFB-00063,HCASE-00063,HCU-00063,C011,管路总成,vibration_abnormal,管路总成,medium,0.7437,结合传感器能量和检测记录，管路总成的振动异常与装配阶段高风险实体 HASM-00063 一致。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为中度故障。,0.5961,HASM-00063,AssemblyRecord,assembly
HFB-00064,HCASE-00064,HCU-00064,C011,管路总成,oil_leakage,管路总成,medium,0.7278,管路总成出现中度泄漏异常，生命周期风险集中在制造阶段，建议优先追溯 HMAN-00078。,制造阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.5885,HMAN-00078,ManufacturingBatch,manufacturing
HFB-00065,HCASE-00065,HCU-00065,C005,蓄能器,pressure_abnormal,蓄能器,medium,0.7442,该案例表现为中度压力异常，根因更可能由运维阶段隐患累积触发。,运维阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.7072,HOPR-00065,MaintenanceRecord,operation
HFB-00066,HCASE-00066,HCU-00066,C008,液压油箱,vibration_abnormal,液压油箱,slight,0.5822,液压油箱出现轻微振动异常，生命周期风险集中在材料阶段，建议优先追溯 HMAT-00099。,材料阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.5481,HMAT-00099,MaterialBatch,material
HFB-00067,HCASE-00067,HCU-00067,C005,蓄能器,pressure_abnormal,蓄能器,slight,0.7035,该案例表现为轻微压力异常，根因更可能由运维阶段隐患累积触发。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。,0.604,HOPR-00067,MaintenanceRecord,operation
HFB-00068,HCASE-00068,HCU-00068,C008,液压油箱,flow_abnormal,液压油箱,medium,0.7099,该案例表现为中度流量异常，根因更可能由检测阶段隐患累积触发。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成流量异常。,0.6308,HINSP-00068,InspectionRecord,inspection
HFB-00069,HCASE-00069,HCU-00069,C006,冷却器,temperature_abnormal,冷却器,medium,0.7601,结合传感器能量和检测记录，冷却器的温度异常与运维阶段高风险实体 HOPR-00069 一致。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成温度异常。,0.6746,HOPR-00069,MaintenanceRecord,operation
HFB-00070,HCASE-00070,HCU-00070,C005,蓄能器,pressure_abnormal,蓄能器,slight,0.7111,蓄能器出现轻微压力异常，生命周期风险集中在装配阶段，建议优先追溯 HASM-00070。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。,0.5938,HASM-00070,AssemblyRecord,assembly
HFB-00071,HCASE-00071,HCU-00071,C001,液压泵总成,pressure_abnormal,液压泵总成,medium,0.6814,结合传感器能量和检测记录，液压泵总成的压力异常与运维阶段高风险实体 HOPR-00071 一致。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成压力异常。,0.5727,HOPR-00071,MaintenanceRecord,operation
HFB-00072,HCASE-00072,HCU-00072,C009,单向阀,pressure_abnormal,单向阀,slight,0.6923,结合传感器能量和检测记录，单向阀的压力异常与运维阶段高风险实体 HOPR-00072 一致。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成压力异常。,0.6085,HOPR-00072,MaintenanceRecord,operation
HFB-00073,HCASE-00073,HCU-00073,C012,卸荷阀,vibration_abnormal,卸荷阀,slight,0.608,结合传感器能量和检测记录，卸荷阀的振动异常与设计阶段高风险实体 HDES-00422 一致。,设计阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.5173,HDES-00422,DesignSpec,design
HFB-00074,HCASE-00074,HCU-00074,C011,管路总成,valve_stuck,管路总成,slight,0.7168,管路总成出现轻微阀芯卡滞，生命周期风险集中在装配阶段，建议优先追溯 HASM-00074。,装配阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.5883,HASM-00074,AssemblyRecord,assembly
HFB-00075,HCASE-00075,HCU-00075,C012,卸荷阀,oil_leakage,卸荷阀,slight,0.7568,该案例表现为轻微泄漏异常，根因更可能由设计阶段隐患累积触发。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成泄漏异常。,0.6257,HDES-00373,DesignSpec,design
HFB-00076,HCASE-00076,HCU-00076,C002,方向控制阀,oil_leakage,方向控制阀,slight,0.6136,方向控制阀出现轻微泄漏异常，生命周期风险集中在装配阶段，建议优先追溯 HASM-00076。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。,0.5815,HASM-00076,AssemblyRecord,assembly
HFB-00077,HCASE-00077,HCU-00077,C008,液压油箱,temperature_abnormal,液压油箱,medium,0.6809,液压油箱出现中度温度异常，生命周期风险集中在运维阶段，建议优先追溯 HOPR-00077。,运维阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.6484,HOPR-00077,MaintenanceRecord,operation
HFB-00078,HCASE-00078,HCU-00078,C007,过滤器,flow_abnormal,过滤器,medium,0.7502,结合传感器能量和检测记录，过滤器的流量异常与材料阶段高风险实体 HMAT-00064 一致。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为中度故障。,0.6337,HMAT-00064,MaterialBatch,material
HFB-00079,HCASE-00079,HCU-00079,C007,过滤器,pressure_abnormal,过滤器,slight,0.6411,结合传感器能量和检测记录，过滤器的压力异常与设计阶段高风险实体 HDES-01016 一致。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。,0.5812,HDES-01016,DesignSpec,design
HFB-00080,HCASE-00080,HCU-00080,C008,液压油箱,vibration_abnormal,液压油箱,slight,0.705,结合传感器能量和检测记录，液压油箱的振动异常与装配阶段高风险实体 HASM-00080 一致。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。,0.5744,HASM-00080,AssemblyRecord,assembly
HFB-00081,HCASE-00081,HCU-00081,C012,卸荷阀,oil_leakage,卸荷阀,slight,0.6627,结合传感器能量和检测记录，卸荷阀的泄漏异常与制造阶段高风险实体 HMAN-00319 一致。,制造阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.5853,HMAN-00319,ManufacturingBatch,manufacturing
HFB-00082,HCASE-00082,HCU-00082,C005,蓄能器,pressure_abnormal,蓄能器,slight,0.719,结合传感器能量和检测记录，蓄能器的压力异常与运维阶段高风险实体 HOPR-00082 一致。,运维阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.6009,HOPR-00082,MaintenanceRecord,operation
HFB-00083,HCASE-00083,HCU-00083,C008,液压油箱,temperature_abnormal,液压油箱,slight,0.7455,结合传感器能量和检测记录，液压油箱的温度异常与运维阶段高风险实体 HOPR-00083 一致。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。,0.6724,HOPR-00083,MaintenanceRecord,operation
HFB-00084,HCASE-00084,HCU-00084,C001,液压泵总成,vibration_abnormal,液压泵总成,medium,0.7092,液压泵总成出现中度振动异常，生命周期风险集中在制造阶段，建议优先追溯 HMAN-00607。,制造阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.5721,HMAN-00607,ManufacturingBatch,manufacturing
HFB-00085,HCASE-00085,HCU-00085,C007,过滤器,valve_stuck,过滤器,slight,0.6096,结合传感器能量和检测记录，过滤器的阀芯卡滞与材料阶段高风险实体 HMAT-00321 一致。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成阀芯卡滞。,0.594,HMAT-00321,MaterialBatch,material
HFB-00086,HCASE-00086,HCU-00086,C002,方向控制阀,valve_stuck,方向控制阀,slight,0.7332,结合传感器能量和检测记录，方向控制阀的阀芯卡滞与运维阶段高风险实体 HOPR-00086 一致。,运维阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。,0.6649,HOPR-00086,MaintenanceRecord,operation
