vendor_id,vendor_code,vendor_name,vendor_kind_cd,q_level_cd,contact_name,tel_no,addr_txt,valid_flag
65,SUP-CF-0065,Chengdu Aviation Hydraulic Seals Co Ltd,ERP_MAKE,ERP_A,Chen Gong,13800000065,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actuator assembly.,Y
66,SUP-CF-0066,Sichuan Precision Bearing Manufacturing Plant,ERP_BUY,ERP_B,Liu Xiaofeng,13800000066,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuator assembly.,N
67,SUP-CF-0067,Southwest Aviation Hydraulic Accessories Plant,ERP_ASSEMBLY,ERP_C,Zhou Qian,13800000067,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actuator assembly.,Y
68,SUP-CF-0068,Chengdu High-Tech Surface Treatment Center,ERP_SERVICE,ERP_D,Huang Zhiqiang,13800000068,The procurement batch for Throttle Connector has completed receiving inspection and is used for actuator assembly.,Y
69,SUP-CF-0069,Deyang Aviation Forging Co Ltd,ERP_MAKE,ERP_A,Sun Wei,13800000069,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used for actuator assembly.,N
70,SUP-CF-0070,Mianyang Precision Sensor Co Ltd,ERP_BUY,ERP_B,Ma Rui,13800000070,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator assembly.,Y
71,SUP-CF-0071,Chengdu Aviation Materials Supply Chain Co Ltd,ERP_ASSEMBLY,ERP_C,Zhang Jiancheng,13800000071,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for actuator assembly.,Y
72,SUP-CF-0072,Zigong Aviation Rubber Products Plant,ERP_SERVICE,ERP_D,Li Hang,13800000072,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used for actuator assembly.,N
73,SUP-CF-0073,Chengdu Aviation Hydraulic Seals Co Ltd,ERP_MAKE,ERP_A,Wang Lijun,13800000073,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator assembly.,Y
74,SUP-CF-0074,Sichuan Precision Bearing Manufacturing Plant,ERP_BUY,ERP_B,Zhao Min,13800000074,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator assembly.,Y
75,SUP-CF-0075,Southwest Aviation Hydraulic Accessories Plant,ERP_ASSEMBLY,ERP_C,Chen Gong,13800000075,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actuator assembly.,N
76,SUP-CF-0076,Chengdu High-Tech Surface Treatment Center,ERP_SERVICE,ERP_D,Liu Xiaofeng,13800000076,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuator assembly.,Y
77,SUP-CF-0077,Deyang Aviation Forging Co Ltd,ERP_MAKE,ERP_A,Zhou Qian,13800000077,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actuator assembly.,Y
78,SUP-CF-0078,Mianyang Precision Sensor Co Ltd,ERP_BUY,ERP_B,Huang Zhiqiang,13800000078,The procurement batch for Throttle Connector has completed receiving inspection and is used for actuator assembly.,N
79,SUP-CF-0079,Chengdu Aviation Materials Supply Chain Co Ltd,ERP_ASSEMBLY,ERP_C,Sun Wei,13800000079,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used for actuator assembly.,Y
80,SUP-CF-0080,Zigong Aviation Rubber Products Plant,ERP_SERVICE,ERP_D,Ma Rui,13800000080,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator assembly.,Y
81,SUP-CF-0081,Chengdu Aviation Hydraulic Seals Co Ltd,ERP_MAKE,ERP_A,Zhang Jiancheng,13800000081,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for actuator assembly.,N
82,SUP-CF-0082,Sichuan Precision Bearing Manufacturing Plant,ERP_BUY,ERP_B,Li Hang,13800000082,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used for actuator assembly.,Y
83,SUP-CF-0083,Southwest Aviation Hydraulic Accessories Plant,ERP_ASSEMBLY,ERP_C,Wang Lijun,13800000083,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator assembly.,Y
84,SUP-CF-0084,Chengdu High-Tech Surface Treatment Center,ERP_SERVICE,ERP_D,Zhao Min,13800000084,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator assembly.,N
85,SUP-CF-0085,Deyang Aviation Forging Co Ltd,ERP_MAKE,ERP_A,Chen Gong,13800000085,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actuator assembly.,Y
86,SUP-CF-0086,Mianyang Precision Sensor Co Ltd,ERP_BUY,ERP_B,Liu Xiaofeng,13800000086,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuator assembly.,Y
87,SUP-CF-0087,Chengdu Aviation Materials Supply Chain Co Ltd,ERP_ASSEMBLY,ERP_C,Zhou Qian,13800000087,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actuator assembly.,N
88,SUP-CF-0088,Zigong Aviation Rubber Products Plant,ERP_SERVICE,ERP_D,Huang Zhiqiang,13800000088,The procurement batch for Throttle Connector has completed receiving inspection and is used for actuator assembly.,Y
89,SUP-CF-0089,Chengdu Aviation Hydraulic Seals Co Ltd,ERP_MAKE,ERP_A,Sun Wei,13800000089,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used for actuator assembly.,Y
90,SUP-CF-0090,Sichuan Precision Bearing Manufacturing Plant,ERP_BUY,ERP_B,Ma Rui,13800000090,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator assembly.,N
91,SUP-CF-0091,Southwest Aviation Hydraulic Accessories Plant,ERP_ASSEMBLY,ERP_C,Zhang Jiancheng,13800000091,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for actuator assembly.,Y
92,SUP-CF-0092,Chengdu High-Tech Surface Treatment Center,ERP_SERVICE,ERP_D,Li Hang,13800000092,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used for actuator assembly.,Y
93,SUP-CF-0093,Deyang Aviation Forging Co Ltd,ERP_MAKE,ERP_A,Wang Lijun,13800000093,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator assembly.,N
94,SUP-CF-0094,Mianyang Precision Sensor Co Ltd,ERP_BUY,ERP_B,Zhao Min,13800000094,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator assembly.,Y
95,SUP-CF-0095,Chengdu Aviation Materials Supply Chain Co Ltd,ERP_ASSEMBLY,ERP_C,Chen Gong,13800000095,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actuator assembly.,Y
96,SUP-CF-0096,Zigong Aviation Rubber Products Plant,ERP_SERVICE,ERP_D,Liu Xiaofeng,13800000096,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuator assembly.,N
97,SUP-CF-0097,Chengdu Aviation Hydraulic Seals Co Ltd,ERP_MAKE,ERP_A,Zhou Qian,13800000097,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actuator assembly.,Y
98,SUP-CF-0098,Sichuan Precision Bearing Manufacturing Plant,ERP_BUY,ERP_B,Huang Zhiqiang,13800000098,The procurement batch for Throttle Connector has completed receiving inspection and is used for actuator assembly.,Y
99,SUP-CF-0099,Southwest Aviation Hydraulic Accessories Plant,ERP_ASSEMBLY,ERP_C,Sun Wei,13800000099,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used for actuator assembly.,N
100,SUP-CF-0100,Chengdu High-Tech Surface Treatment Center,ERP_SERVICE,ERP_D,Ma Rui,13800000100,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator assembly.,Y
101,SUP-CF-0101,Deyang Aviation Forging Co Ltd,ERP_MAKE,ERP_A,Zhang Jiancheng,13800000101,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for actuator assembly.,Y
102,SUP-CF-0102,Mianyang Precision Sensor Co Ltd,ERP_BUY,ERP_B,Li Hang,13800000102,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used for actuator assembly.,N
103,SUP-CF-0103,Chengdu Aviation Materials Supply Chain Co Ltd,ERP_ASSEMBLY,ERP_C,Wang Lijun,13800000103,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator assembly.,Y
104,SUP-CF-0104,Zigong Aviation Rubber Products Plant,ERP_SERVICE,ERP_D,Zhao Min,13800000104,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator assembly.,Y
105,SUP-CF-0105,Chengdu Aviation Hydraulic Seals Co Ltd,ERP_MAKE,ERP_A,Chen Gong,13800000105,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actuator assembly.,N
106,SUP-CF-0106,Sichuan Precision Bearing Manufacturing Plant,ERP_BUY,ERP_B,Liu Xiaofeng,13800000106,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuator assembly.,Y
107,SUP-CF-0107,Southwest Aviation Hydraulic Accessories Plant,ERP_ASSEMBLY,ERP_C,Zhou Qian,13800000107,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actuator assembly.,Y
108,SUP-CF-0108,Chengdu High-Tech Surface Treatment Center,ERP_SERVICE,ERP_D,Huang Zhiqiang,13800000108,The procurement batch for Throttle Connector has completed receiving inspection and is used for actuator assembly.,N
109,SUP-CF-0109,Deyang Aviation Forging Co Ltd,ERP_MAKE,ERP_A,Sun Wei,13800000109,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used for actuator assembly.,Y
110,SUP-CF-0110,Mianyang Precision Sensor Co Ltd,ERP_BUY,ERP_B,Ma Rui,13800000110,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator assembly.,Y
111,SUP-CF-0111,Chengdu Aviation Materials Supply Chain Co Ltd,ERP_ASSEMBLY,ERP_C,Zhang Jiancheng,13800000111,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for actuator assembly.,N
112,SUP-CF-0112,Zigong Aviation Rubber Products Plant,ERP_SERVICE,ERP_D,Li Hang,13800000112,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used for actuator assembly.,Y
113,SUP-CF-0113,Chengdu Aviation Hydraulic Seals Co Ltd,ERP_MAKE,ERP_A,Wang Lijun,13800000113,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator assembly.,Y
114,SUP-CF-0114,Sichuan Precision Bearing Manufacturing Plant,ERP_BUY,ERP_B,Zhao Min,13800000114,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator assembly.,N
115,SUP-CF-0115,Southwest Aviation Hydraulic Accessories Plant,ERP_ASSEMBLY,ERP_C,Chen Gong,13800000115,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actuator assembly.,Y
116,SUP-CF-0116,Chengdu High-Tech Surface Treatment Center,ERP_SERVICE,ERP_D,Liu Xiaofeng,13800000116,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuator assembly.,Y
117,SUP-CF-0117,Deyang Aviation Forging Co Ltd,ERP_MAKE,ERP_A,Zhou Qian,13800000117,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actuator assembly.,N
118,SUP-CF-0118,Mianyang Precision Sensor Co Ltd,ERP_BUY,ERP_B,Huang Zhiqiang,13800000118,The procurement batch for Throttle Connector has completed receiving inspection and is used for actuator assembly.,Y
119,SUP-CF-0119,Chengdu Aviation Materials Supply Chain Co Ltd,ERP_ASSEMBLY,ERP_C,Sun Wei,13800000119,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used for actuator assembly.,Y
120,SUP-CF-0120,Zigong Aviation Rubber Products Plant,ERP_SERVICE,ERP_D,Ma Rui,13800000120,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator assembly.,N
121,SUP-CF-0121,Chengdu Aviation Hydraulic Seals Co Ltd,ERP_MAKE,ERP_A,Zhang Jiancheng,13800000121,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for actuator assembly.,Y
122,SUP-CF-0122,Sichuan Precision Bearing Manufacturing Plant,ERP_BUY,ERP_B,Li Hang,13800000122,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used for actuator assembly.,Y
123,SUP-CF-0123,Southwest Aviation Hydraulic Accessories Plant,ERP_ASSEMBLY,ERP_C,Wang Lijun,13800000123,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator assembly.,N
124,SUP-CF-0124,Chengdu High-Tech Surface Treatment Center,ERP_SERVICE,ERP_D,Zhao Min,13800000124,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator assembly.,Y
125,SUP-CF-0125,Deyang Aviation Forging Co Ltd,ERP_MAKE,ERP_A,Chen Gong,13800000125,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actuator assembly.,Y
126,SUP-CF-0126,Mianyang Precision Sensor Co Ltd,ERP_BUY,ERP_B,Liu Xiaofeng,13800000126,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuator assembly.,N
127,SUP-CF-0127,Chengdu Aviation Materials Supply Chain Co Ltd,ERP_ASSEMBLY,ERP_C,Zhou Qian,13800000127,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actuator assembly.,Y
128,SUP-CF-0128,Zigong Aviation Rubber Products Plant,ERP_SERVICE,ERP_D,Huang Zhiqiang,13800000128,The procurement batch for Throttle Connector has completed receiving inspection and is used for actuator assembly.,Y
129,SUP-CF-0129,Chengdu Aviation Hydraulic Seals Co Ltd,ERP_MAKE,ERP_A,Sun Wei,13800000129,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used for actuator assembly.,N
130,SUP-CF-0130,Sichuan Precision Bearing Manufacturing Plant,ERP_BUY,ERP_B,Ma Rui,13800000130,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator assembly.,Y
131,SUP-CF-0131,Southwest Aviation Hydraulic Accessories Plant,ERP_ASSEMBLY,ERP_C,Zhang Jiancheng,13800000131,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for actuator assembly.,Y
132,SUP-CF-0132,Chengdu High-Tech Surface Treatment Center,ERP_SERVICE,ERP_D,Li Hang,13800000132,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used for actuator assembly.,N
133,SUP-CF-0133,Deyang Aviation Forging Co Ltd,ERP_MAKE,ERP_A,Wang Lijun,13800000133,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator assembly.,Y
134,SUP-CF-0134,Mianyang Precision Sensor Co Ltd,ERP_BUY,ERP_B,Zhao Min,13800000134,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator assembly.,Y
135,SUP-CF-0135,Chengdu Aviation Materials Supply Chain Co Ltd,ERP_ASSEMBLY,ERP_C,Chen Gong,13800000135,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actuator assembly.,N
136,SUP-CF-0136,Zigong Aviation Rubber Products Plant,ERP_SERVICE,ERP_D,Liu Xiaofeng,13800000136,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuator assembly.,Y
