item_id,item_no,item_desc,item_grp_cd,mat_grade,spec_model,uom_cd,buy_made_flag
41,MAT-LG-0041,Piston Rod Assembly,ERP_MAKE,ERP_A,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_EA,Y
42,MAT-LG-0042,Cylinder Barrel Assembly,ERP_BUY,ERP_B,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_SET,N
43,MAT-LG-0043,Front End Cap,ERP_ASSEMBLY,ERP_C,Front End Cap aviation manufacturing business record used for actuator quality traceability.,ERP_KG,Y
44,MAT-LG-0044,Rear End Cap,ERP_SERVICE,ERP_D,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,ERP_M,Y
45,MAT-LG-0045,Seal Ring Assembly,ERP_MAKE,ERP_A,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_EA,N
46,MAT-LG-0046,Trunnion Bushing,ERP_BUY,ERP_B,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,ERP_SET,Y
47,MAT-LG-0047,Spherical Bearing,ERP_ASSEMBLY,ERP_C,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,ERP_KG,Y
48,MAT-LG-0048,Throttle Connector,ERP_SERVICE,ERP_D,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,ERP_M,N
49,MAT-LG-0049,Displacement Sensor Bracket,ERP_MAKE,ERP_A,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,ERP_EA,Y
50,MAT-LG-0050,Locking Nut,ERP_BUY,ERP_B,Locking Nut aviation manufacturing business record used for actuator quality traceability.,ERP_SET,Y
51,MAT-LG-0051,Piston Rod Assembly,ERP_ASSEMBLY,ERP_C,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_KG,N
52,MAT-LG-0052,Cylinder Barrel Assembly,ERP_SERVICE,ERP_D,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_M,Y
53,MAT-LG-0053,Front End Cap,ERP_MAKE,ERP_A,Front End Cap aviation manufacturing business record used for actuator quality traceability.,ERP_EA,Y
54,MAT-LG-0054,Rear End Cap,ERP_BUY,ERP_B,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,ERP_SET,N
55,MAT-LG-0055,Seal Ring Assembly,ERP_ASSEMBLY,ERP_C,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_KG,Y
56,MAT-LG-0056,Trunnion Bushing,ERP_SERVICE,ERP_D,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,ERP_M,Y
57,MAT-LG-0057,Spherical Bearing,ERP_MAKE,ERP_A,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,ERP_EA,N
58,MAT-LG-0058,Throttle Connector,ERP_BUY,ERP_B,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,ERP_SET,Y
59,MAT-LG-0059,Displacement Sensor Bracket,ERP_ASSEMBLY,ERP_C,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,ERP_KG,Y
60,MAT-LG-0060,Locking Nut,ERP_SERVICE,ERP_D,Locking Nut aviation manufacturing business record used for actuator quality traceability.,ERP_M,N
61,MAT-LG-0061,Piston Rod Assembly,ERP_MAKE,ERP_A,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_EA,Y
62,MAT-LG-0062,Cylinder Barrel Assembly,ERP_BUY,ERP_B,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_SET,Y
63,MAT-LG-0063,Front End Cap,ERP_ASSEMBLY,ERP_C,Front End Cap aviation manufacturing business record used for actuator quality traceability.,ERP_KG,N
64,MAT-LG-0064,Rear End Cap,ERP_SERVICE,ERP_D,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,ERP_M,Y
65,MAT-LG-0065,Seal Ring Assembly,ERP_MAKE,ERP_A,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_EA,Y
66,MAT-LG-0066,Trunnion Bushing,ERP_BUY,ERP_B,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,ERP_SET,N
67,MAT-LG-0067,Spherical Bearing,ERP_ASSEMBLY,ERP_C,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,ERP_KG,Y
68,MAT-LG-0068,Throttle Connector,ERP_SERVICE,ERP_D,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,ERP_M,Y
69,MAT-LG-0069,Displacement Sensor Bracket,ERP_MAKE,ERP_A,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,ERP_EA,N
70,MAT-LG-0070,Locking Nut,ERP_BUY,ERP_B,Locking Nut aviation manufacturing business record used for actuator quality traceability.,ERP_SET,Y
71,MAT-LG-0071,Piston Rod Assembly,ERP_ASSEMBLY,ERP_C,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_KG,Y
72,MAT-LG-0072,Cylinder Barrel Assembly,ERP_SERVICE,ERP_D,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_M,N
73,MAT-LG-0073,Front End Cap,ERP_MAKE,ERP_A,Front End Cap aviation manufacturing business record used for actuator quality traceability.,ERP_EA,Y
74,MAT-LG-0074,Rear End Cap,ERP_BUY,ERP_B,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,ERP_SET,Y
75,MAT-LG-0075,Seal Ring Assembly,ERP_ASSEMBLY,ERP_C,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_KG,N
76,MAT-LG-0076,Trunnion Bushing,ERP_SERVICE,ERP_D,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,ERP_M,Y
77,MAT-LG-0077,Spherical Bearing,ERP_MAKE,ERP_A,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,ERP_EA,Y
78,MAT-LG-0078,Throttle Connector,ERP_BUY,ERP_B,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,ERP_SET,N
79,MAT-LG-0079,Displacement Sensor Bracket,ERP_ASSEMBLY,ERP_C,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,ERP_KG,Y
80,MAT-LG-0080,Locking Nut,ERP_SERVICE,ERP_D,Locking Nut aviation manufacturing business record used for actuator quality traceability.,ERP_M,Y
81,MAT-LG-0081,Piston Rod Assembly,ERP_MAKE,ERP_A,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_EA,N
82,MAT-LG-0082,Cylinder Barrel Assembly,ERP_BUY,ERP_B,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_SET,Y
83,MAT-LG-0083,Front End Cap,ERP_ASSEMBLY,ERP_C,Front End Cap aviation manufacturing business record used for actuator quality traceability.,ERP_KG,Y
84,MAT-LG-0084,Rear End Cap,ERP_SERVICE,ERP_D,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,ERP_M,N
85,MAT-LG-0085,Seal Ring Assembly,ERP_MAKE,ERP_A,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_EA,Y
86,MAT-LG-0086,Trunnion Bushing,ERP_BUY,ERP_B,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,ERP_SET,Y
87,MAT-LG-0087,Spherical Bearing,ERP_ASSEMBLY,ERP_C,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,ERP_KG,N
88,MAT-LG-0088,Throttle Connector,ERP_SERVICE,ERP_D,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,ERP_M,Y
89,MAT-LG-0089,Displacement Sensor Bracket,ERP_MAKE,ERP_A,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,ERP_EA,Y
90,MAT-LG-0090,Locking Nut,ERP_BUY,ERP_B,Locking Nut aviation manufacturing business record used for actuator quality traceability.,ERP_SET,N
91,MAT-LG-0091,Piston Rod Assembly,ERP_ASSEMBLY,ERP_C,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_KG,Y
92,MAT-LG-0092,Cylinder Barrel Assembly,ERP_SERVICE,ERP_D,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_M,Y
93,MAT-LG-0093,Front End Cap,ERP_MAKE,ERP_A,Front End Cap aviation manufacturing business record used for actuator quality traceability.,ERP_EA,N
94,MAT-LG-0094,Rear End Cap,ERP_BUY,ERP_B,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,ERP_SET,Y
95,MAT-LG-0095,Seal Ring Assembly,ERP_ASSEMBLY,ERP_C,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_KG,Y
96,MAT-LG-0096,Trunnion Bushing,ERP_SERVICE,ERP_D,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,ERP_M,N
97,MAT-LG-0097,Spherical Bearing,ERP_MAKE,ERP_A,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,ERP_EA,Y
98,MAT-LG-0098,Throttle Connector,ERP_BUY,ERP_B,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,ERP_SET,Y
99,MAT-LG-0099,Displacement Sensor Bracket,ERP_ASSEMBLY,ERP_C,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,ERP_KG,N
100,MAT-LG-0100,Locking Nut,ERP_SERVICE,ERP_D,Locking Nut aviation manufacturing business record used for actuator quality traceability.,ERP_M,Y
101,MAT-LG-0101,Piston Rod Assembly,ERP_MAKE,ERP_A,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_EA,Y
102,MAT-LG-0102,Cylinder Barrel Assembly,ERP_BUY,ERP_B,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_SET,N
103,MAT-LG-0103,Front End Cap,ERP_ASSEMBLY,ERP_C,Front End Cap aviation manufacturing business record used for actuator quality traceability.,ERP_KG,Y
104,MAT-LG-0104,Rear End Cap,ERP_SERVICE,ERP_D,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,ERP_M,Y
105,MAT-LG-0105,Seal Ring Assembly,ERP_MAKE,ERP_A,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_EA,N
106,MAT-LG-0106,Trunnion Bushing,ERP_BUY,ERP_B,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,ERP_SET,Y
107,MAT-LG-0107,Spherical Bearing,ERP_ASSEMBLY,ERP_C,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,ERP_KG,Y
108,MAT-LG-0108,Throttle Connector,ERP_SERVICE,ERP_D,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,ERP_M,N
109,MAT-LG-0109,Displacement Sensor Bracket,ERP_MAKE,ERP_A,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,ERP_EA,Y
110,MAT-LG-0110,Locking Nut,ERP_BUY,ERP_B,Locking Nut aviation manufacturing business record used for actuator quality traceability.,ERP_SET,Y
111,MAT-LG-0111,Piston Rod Assembly,ERP_ASSEMBLY,ERP_C,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_KG,N
112,MAT-LG-0112,Cylinder Barrel Assembly,ERP_SERVICE,ERP_D,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_M,Y
113,MAT-LG-0113,Front End Cap,ERP_MAKE,ERP_A,Front End Cap aviation manufacturing business record used for actuator quality traceability.,ERP_EA,Y
114,MAT-LG-0114,Rear End Cap,ERP_BUY,ERP_B,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,ERP_SET,N
115,MAT-LG-0115,Seal Ring Assembly,ERP_ASSEMBLY,ERP_C,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_KG,Y
116,MAT-LG-0116,Trunnion Bushing,ERP_SERVICE,ERP_D,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,ERP_M,Y
117,MAT-LG-0117,Spherical Bearing,ERP_MAKE,ERP_A,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,ERP_EA,N
118,MAT-LG-0118,Throttle Connector,ERP_BUY,ERP_B,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,ERP_SET,Y
119,MAT-LG-0119,Displacement Sensor Bracket,ERP_ASSEMBLY,ERP_C,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,ERP_KG,Y
120,MAT-LG-0120,Locking Nut,ERP_SERVICE,ERP_D,Locking Nut aviation manufacturing business record used for actuator quality traceability.,ERP_M,N
121,MAT-LG-0121,Piston Rod Assembly,ERP_MAKE,ERP_A,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_EA,Y
122,MAT-LG-0122,Cylinder Barrel Assembly,ERP_BUY,ERP_B,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_SET,Y
123,MAT-LG-0123,Front End Cap,ERP_ASSEMBLY,ERP_C,Front End Cap aviation manufacturing business record used for actuator quality traceability.,ERP_KG,N
124,MAT-LG-0124,Rear End Cap,ERP_SERVICE,ERP_D,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,ERP_M,Y
125,MAT-LG-0125,Seal Ring Assembly,ERP_MAKE,ERP_A,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_EA,Y
126,MAT-LG-0126,Trunnion Bushing,ERP_BUY,ERP_B,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,ERP_SET,N
127,MAT-LG-0127,Spherical Bearing,ERP_ASSEMBLY,ERP_C,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,ERP_KG,Y
128,MAT-LG-0128,Throttle Connector,ERP_SERVICE,ERP_D,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,ERP_M,Y
129,MAT-LG-0129,Displacement Sensor Bracket,ERP_MAKE,ERP_A,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,ERP_EA,N
130,MAT-LG-0130,Locking Nut,ERP_BUY,ERP_B,Locking Nut aviation manufacturing business record used for actuator quality traceability.,ERP_SET,Y
131,MAT-LG-0131,Piston Rod Assembly,ERP_ASSEMBLY,ERP_C,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_KG,Y
132,MAT-LG-0132,Cylinder Barrel Assembly,ERP_SERVICE,ERP_D,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_M,N
133,MAT-LG-0133,Front End Cap,ERP_MAKE,ERP_A,Front End Cap aviation manufacturing business record used for actuator quality traceability.,ERP_EA,Y
134,MAT-LG-0134,Rear End Cap,ERP_BUY,ERP_B,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,ERP_SET,Y
135,MAT-LG-0135,Seal Ring Assembly,ERP_ASSEMBLY,ERP_C,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_KG,N
136,MAT-LG-0136,Trunnion Bushing,ERP_SERVICE,ERP_D,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,ERP_M,Y
137,MAT-LG-0137,Spherical Bearing,ERP_MAKE,ERP_A,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,ERP_EA,Y
138,MAT-LG-0138,Throttle Connector,ERP_BUY,ERP_B,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,ERP_SET,N
139,MAT-LG-0139,Displacement Sensor Bracket,ERP_ASSEMBLY,ERP_C,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,ERP_KG,Y
140,MAT-LG-0140,Locking Nut,ERP_SERVICE,ERP_D,Locking Nut aviation manufacturing business record used for actuator quality traceability.,ERP_M,Y
141,MAT-LG-0141,Piston Rod Assembly,ERP_MAKE,ERP_A,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_EA,N
142,MAT-LG-0142,Cylinder Barrel Assembly,ERP_BUY,ERP_B,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_SET,Y
143,MAT-LG-0143,Front End Cap,ERP_ASSEMBLY,ERP_C,Front End Cap aviation manufacturing business record used for actuator quality traceability.,ERP_KG,Y
144,MAT-LG-0144,Rear End Cap,ERP_SERVICE,ERP_D,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,ERP_M,N
145,MAT-LG-0145,Seal Ring Assembly,ERP_MAKE,ERP_A,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_EA,Y
146,MAT-LG-0146,Trunnion Bushing,ERP_BUY,ERP_B,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,ERP_SET,Y
147,MAT-LG-0147,Spherical Bearing,ERP_ASSEMBLY,ERP_C,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,ERP_KG,N
148,MAT-LG-0148,Throttle Connector,ERP_SERVICE,ERP_D,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,ERP_M,Y
149,MAT-LG-0149,Displacement Sensor Bracket,ERP_MAKE,ERP_A,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,ERP_EA,Y
150,MAT-LG-0150,Locking Nut,ERP_BUY,ERP_B,Locking Nut aviation manufacturing business record used for actuator quality traceability.,ERP_SET,N
151,MAT-LG-0151,Piston Rod Assembly,ERP_ASSEMBLY,ERP_C,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_KG,Y
152,MAT-LG-0152,Cylinder Barrel Assembly,ERP_SERVICE,ERP_D,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_M,Y
153,MAT-LG-0153,Front End Cap,ERP_MAKE,ERP_A,Front End Cap aviation manufacturing business record used for actuator quality traceability.,ERP_EA,N
154,MAT-LG-0154,Rear End Cap,ERP_BUY,ERP_B,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,ERP_SET,Y
155,MAT-LG-0155,Seal Ring Assembly,ERP_ASSEMBLY,ERP_C,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_KG,Y
156,MAT-LG-0156,Trunnion Bushing,ERP_SERVICE,ERP_D,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,ERP_M,N
157,MAT-LG-0157,Spherical Bearing,ERP_MAKE,ERP_A,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,ERP_EA,Y
158,MAT-LG-0158,Throttle Connector,ERP_BUY,ERP_B,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,ERP_SET,Y
159,MAT-LG-0159,Displacement Sensor Bracket,ERP_ASSEMBLY,ERP_C,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,ERP_KG,N
160,MAT-LG-0160,Locking Nut,ERP_SERVICE,ERP_D,Locking Nut aviation manufacturing business record used for actuator quality traceability.,ERP_M,Y
161,MAT-LG-0161,Piston Rod Assembly,ERP_MAKE,ERP_A,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_EA,Y
162,MAT-LG-0162,Cylinder Barrel Assembly,ERP_BUY,ERP_B,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_SET,N
163,MAT-LG-0163,Front End Cap,ERP_ASSEMBLY,ERP_C,Front End Cap aviation manufacturing business record used for actuator quality traceability.,ERP_KG,Y
164,MAT-LG-0164,Rear End Cap,ERP_SERVICE,ERP_D,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,ERP_M,Y
165,MAT-LG-0165,Seal Ring Assembly,ERP_MAKE,ERP_A,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_EA,N
166,MAT-LG-0166,Trunnion Bushing,ERP_BUY,ERP_B,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,ERP_SET,Y
167,MAT-LG-0167,Spherical Bearing,ERP_ASSEMBLY,ERP_C,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,ERP_KG,Y
168,MAT-LG-0168,Throttle Connector,ERP_SERVICE,ERP_D,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,ERP_M,N
169,MAT-LG-0169,Displacement Sensor Bracket,ERP_MAKE,ERP_A,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,ERP_EA,Y
170,MAT-LG-0170,Locking Nut,ERP_BUY,ERP_B,Locking Nut aviation manufacturing business record used for actuator quality traceability.,ERP_SET,Y
171,MAT-LG-0171,Piston Rod Assembly,ERP_ASSEMBLY,ERP_C,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_KG,N
172,MAT-LG-0172,Cylinder Barrel Assembly,ERP_SERVICE,ERP_D,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_M,Y
173,MAT-LG-0173,Front End Cap,ERP_MAKE,ERP_A,Front End Cap aviation manufacturing business record used for actuator quality traceability.,ERP_EA,Y
174,MAT-LG-0174,Rear End Cap,ERP_BUY,ERP_B,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,ERP_SET,N
175,MAT-LG-0175,Seal Ring Assembly,ERP_ASSEMBLY,ERP_C,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_KG,Y
176,MAT-LG-0176,Trunnion Bushing,ERP_SERVICE,ERP_D,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,ERP_M,Y
177,MAT-LG-0177,Spherical Bearing,ERP_MAKE,ERP_A,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,ERP_EA,N
178,MAT-LG-0178,Throttle Connector,ERP_BUY,ERP_B,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,ERP_SET,Y
