fault_report_id,service_event_id,repair_order_id,component_serial_no,fault_sym_code,fault_title,fault_text,fail_pos_desc,found_at_text,finder_name,gzjb
11,11,11,LGACT-2026-0011,DEF-HYD-03,Scratch on Cylinder Barrel Inner Wall,Field feedback reported Scratch on Cylinder Barrel Inner Wall; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Scratch on Cylinder Barrel Inner Wall; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/19 09:17:00,Zhang Jiancheng,MRO_SEV_CRITICAL
12,12,12,LGACT-2026-0012,DEF-HYD-04,Pressure Holding Leakage Rate Out of Tolerance,Field feedback reported Pressure Holding Leakage Rate Out of Tolerance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Pressure Holding Leakage Rate Out of Tolerance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/20 09:24:00,Li Hang,MRO_SEV_WARN
13,13,13,LGACT-2026-0013,DEF-HYD-05,Actuation Hysteresis,Field feedback reported Actuation Hysteresis; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Actuation Hysteresis; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/21 09:31:00,Wang Lijun,MRO_SEV_MINOR
14,14,14,LGACT-2026-0014,DEF-HYD-06,Minor Leakage at Hydraulic Fitting,Field feedback reported Minor Leakage at Hydraulic Fitting; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Minor Leakage at Hydraulic Fitting; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/22 09:38:00,Zhao Min,MRO_SEV_MAJOR
15,15,15,LGACT-2026-0015,DEF-HYD-07,Excessive Trunnion Bushing Clearance,Field feedback reported Excessive Trunnion Bushing Clearance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Excessive Trunnion Bushing Clearance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/23 09:45:00,Chen Gong,MRO_SEV_CRITICAL
16,16,16,LGACT-2026-0016,DEF-HYD-08,Loose Displacement Sensor Bracket,Field feedback reported Loose Displacement Sensor Bracket; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Loose Displacement Sensor Bracket; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/24 09:52:00,Liu Xiaofeng,MRO_SEV_WARN
17,17,17,LGACT-2026-0017,DEF-HYD-09,Chrome Plating Scratch on Piston Rod,Field feedback reported Chrome Plating Scratch on Piston Rod; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Chrome Plating Scratch on Piston Rod; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/25 09:59:00,Zhou Qian,MRO_SEV_MINOR
18,18,18,LGACT-2026-0018,DEF-HYD-01,Seal Ring Compression Damage,Field feedback reported Seal Ring Compression Damage; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Seal Ring Compression Damage; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/26 10:06:00,Huang Zhiqiang,MRO_SEV_MAJOR
19,19,19,LGACT-2026-0019,DEF-HYD-02,Scratch on Cylinder Barrel Inner Wall,Field feedback reported Scratch on Cylinder Barrel Inner Wall; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Scratch on Cylinder Barrel Inner Wall; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/27 10:13:00,Sun Wei,MRO_SEV_CRITICAL
20,20,20,LGACT-2026-0020,DEF-HYD-03,Pressure Holding Leakage Rate Out of Tolerance,Field feedback reported Pressure Holding Leakage Rate Out of Tolerance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Pressure Holding Leakage Rate Out of Tolerance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/28 10:20:00,Ma Rui,MRO_SEV_WARN
21,21,21,LGACT-2026-0021,DEF-HYD-04,Actuation Hysteresis,Field feedback reported Actuation Hysteresis; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Actuation Hysteresis; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/29 10:27:00,Zhang Jiancheng,MRO_SEV_MINOR
22,22,22,LGACT-2026-0022,DEF-HYD-05,Minor Leakage at Hydraulic Fitting,Field feedback reported Minor Leakage at Hydraulic Fitting; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Minor Leakage at Hydraulic Fitting; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/30 10:34:00,Li Hang,MRO_SEV_MAJOR
23,23,23,LGACT-2026-0023,DEF-HYD-06,Excessive Trunnion Bushing Clearance,Field feedback reported Excessive Trunnion Bushing Clearance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Excessive Trunnion Bushing Clearance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/31 10:41:00,Wang Lijun,MRO_SEV_CRITICAL
24,24,24,LGACT-2026-0024,DEF-HYD-07,Loose Displacement Sensor Bracket,Field feedback reported Loose Displacement Sensor Bracket; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Loose Displacement Sensor Bracket; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/06/01 10:48:00,Zhao Min,MRO_SEV_WARN
25,25,25,LGACT-2026-0025,DEF-HYD-08,Chrome Plating Scratch on Piston Rod,Field feedback reported Chrome Plating Scratch on Piston Rod; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Chrome Plating Scratch on Piston Rod; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/06/02 10:55:00,Chen Gong,MRO_SEV_MINOR
26,26,26,LGACT-2026-0026,DEF-HYD-09,Seal Ring Compression Damage,Field feedback reported Seal Ring Compression Damage; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Seal Ring Compression Damage; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/06/03 11:02:00,Liu Xiaofeng,MRO_SEV_MAJOR
27,27,27,LGACT-2026-0027,DEF-HYD-01,Scratch on Cylinder Barrel Inner Wall,Field feedback reported Scratch on Cylinder Barrel Inner Wall; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Scratch on Cylinder Barrel Inner Wall; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/06/04 11:09:00,Zhou Qian,MRO_SEV_CRITICAL
28,28,28,LGACT-2026-0028,DEF-HYD-02,Pressure Holding Leakage Rate Out of Tolerance,Field feedback reported Pressure Holding Leakage Rate Out of Tolerance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Pressure Holding Leakage Rate Out of Tolerance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/06/05 11:16:00,Huang Zhiqiang,MRO_SEV_WARN
29,29,29,LGACT-2026-0029,DEF-HYD-03,Actuation Hysteresis,Field feedback reported Actuation Hysteresis; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Actuation Hysteresis; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/09 11:23:00,Sun Wei,MRO_SEV_MINOR
30,30,30,LGACT-2026-0030,DEF-HYD-04,Minor Leakage at Hydraulic Fitting,Field feedback reported Minor Leakage at Hydraulic Fitting; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Minor Leakage at Hydraulic Fitting; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/10 11:30:00,Ma Rui,MRO_SEV_MAJOR
31,31,31,LGACT-2026-0031,DEF-HYD-05,Excessive Trunnion Bushing Clearance,Field feedback reported Excessive Trunnion Bushing Clearance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Excessive Trunnion Bushing Clearance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/11 11:37:00,Zhang Jiancheng,MRO_SEV_CRITICAL
32,32,32,LGACT-2026-0032,DEF-HYD-06,Loose Displacement Sensor Bracket,Field feedback reported Loose Displacement Sensor Bracket; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Loose Displacement Sensor Bracket; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/12 11:44:00,Li Hang,MRO_SEV_WARN
33,33,33,LGACT-2026-0033,DEF-HYD-07,Chrome Plating Scratch on Piston Rod,Field feedback reported Chrome Plating Scratch on Piston Rod; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Chrome Plating Scratch on Piston Rod; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/13 11:51:00,Wang Lijun,MRO_SEV_MINOR
34,34,34,LGACT-2026-0034,DEF-HYD-08,Seal Ring Compression Damage,Field feedback reported Seal Ring Compression Damage; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Seal Ring Compression Damage; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/14 11:58:00,Zhao Min,MRO_SEV_MAJOR
35,35,35,LGACT-2026-0035,DEF-HYD-09,Scratch on Cylinder Barrel Inner Wall,Field feedback reported Scratch on Cylinder Barrel Inner Wall; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Scratch on Cylinder Barrel Inner Wall; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/15 12:05:00,Chen Gong,MRO_SEV_CRITICAL
36,36,36,LGACT-2026-0036,DEF-HYD-01,Pressure Holding Leakage Rate Out of Tolerance,Field feedback reported Pressure Holding Leakage Rate Out of Tolerance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Pressure Holding Leakage Rate Out of Tolerance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/16 12:12:00,Liu Xiaofeng,MRO_SEV_WARN
37,37,37,LGACT-2026-0037,DEF-HYD-02,Actuation Hysteresis,Field feedback reported Actuation Hysteresis; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Actuation Hysteresis; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/17 12:19:00,Zhou Qian,MRO_SEV_MINOR
38,38,38,LGACT-2026-0038,DEF-HYD-03,Minor Leakage at Hydraulic Fitting,Field feedback reported Minor Leakage at Hydraulic Fitting; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Minor Leakage at Hydraulic Fitting; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/18 12:26:00,Huang Zhiqiang,MRO_SEV_MAJOR
39,39,39,LGACT-2026-0039,DEF-HYD-04,Excessive Trunnion Bushing Clearance,Field feedback reported Excessive Trunnion Bushing Clearance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Excessive Trunnion Bushing Clearance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/19 12:33:00,Sun Wei,MRO_SEV_CRITICAL
40,40,40,LGACT-2026-0040,DEF-HYD-05,Loose Displacement Sensor Bracket,Field feedback reported Loose Displacement Sensor Bracket; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Loose Displacement Sensor Bracket; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/20 12:40:00,Ma Rui,MRO_SEV_WARN
41,41,41,LGACT-2026-0041,DEF-HYD-06,Chrome Plating Scratch on Piston Rod,Field feedback reported Chrome Plating Scratch on Piston Rod; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Chrome Plating Scratch on Piston Rod; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/21 12:47:00,Zhang Jiancheng,MRO_SEV_MINOR
42,42,42,LGACT-2026-0042,DEF-HYD-07,Seal Ring Compression Damage,Field feedback reported Seal Ring Compression Damage; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Seal Ring Compression Damage; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/22 12:54:00,Li Hang,MRO_SEV_MAJOR
43,43,43,LGACT-2026-0043,DEF-HYD-08,Scratch on Cylinder Barrel Inner Wall,Field feedback reported Scratch on Cylinder Barrel Inner Wall; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Scratch on Cylinder Barrel Inner Wall; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/23 13:01:00,Wang Lijun,MRO_SEV_CRITICAL
44,44,44,LGACT-2026-0044,DEF-HYD-09,Pressure Holding Leakage Rate Out of Tolerance,Field feedback reported Pressure Holding Leakage Rate Out of Tolerance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Pressure Holding Leakage Rate Out of Tolerance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/24 13:08:00,Zhao Min,MRO_SEV_WARN
45,45,45,LGACT-2026-0045,DEF-HYD-01,Actuation Hysteresis,Field feedback reported Actuation Hysteresis; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Actuation Hysteresis; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/25 13:15:00,Chen Gong,MRO_SEV_MINOR
46,46,46,LGACT-2026-0046,DEF-HYD-02,Minor Leakage at Hydraulic Fitting,Field feedback reported Minor Leakage at Hydraulic Fitting; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Minor Leakage at Hydraulic Fitting; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/26 13:22:00,Liu Xiaofeng,MRO_SEV_MAJOR
47,47,47,LGACT-2026-0047,DEF-HYD-03,Excessive Trunnion Bushing Clearance,Field feedback reported Excessive Trunnion Bushing Clearance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Excessive Trunnion Bushing Clearance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/27 13:29:00,Zhou Qian,MRO_SEV_CRITICAL
48,48,48,LGACT-2026-0048,DEF-HYD-04,Loose Displacement Sensor Bracket,Field feedback reported Loose Displacement Sensor Bracket; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Loose Displacement Sensor Bracket; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/28 13:36:00,Huang Zhiqiang,MRO_SEV_WARN
49,49,49,LGACT-2026-0049,DEF-HYD-05,Chrome Plating Scratch on Piston Rod,Field feedback reported Chrome Plating Scratch on Piston Rod; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Chrome Plating Scratch on Piston Rod; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/29 13:43:00,Sun Wei,MRO_SEV_MINOR
50,50,50,LGACT-2026-0050,DEF-HYD-06,Seal Ring Compression Damage,Field feedback reported Seal Ring Compression Damage; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Seal Ring Compression Damage; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/30 13:50:00,Ma Rui,MRO_SEV_MAJOR
51,51,51,LGACT-2026-0051,DEF-HYD-07,Scratch on Cylinder Barrel Inner Wall,Field feedback reported Scratch on Cylinder Barrel Inner Wall; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Scratch on Cylinder Barrel Inner Wall; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/31 13:57:00,Zhang Jiancheng,MRO_SEV_CRITICAL
52,52,52,LGACT-2026-0052,DEF-HYD-08,Pressure Holding Leakage Rate Out of Tolerance,Field feedback reported Pressure Holding Leakage Rate Out of Tolerance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Pressure Holding Leakage Rate Out of Tolerance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/06/01 14:04:00,Li Hang,MRO_SEV_WARN
53,53,53,LGACT-2026-0053,DEF-HYD-09,Actuation Hysteresis,Field feedback reported Actuation Hysteresis; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Actuation Hysteresis; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/06/02 14:11:00,Wang Lijun,MRO_SEV_MINOR
54,54,54,LGACT-2026-0054,DEF-HYD-01,Minor Leakage at Hydraulic Fitting,Field feedback reported Minor Leakage at Hydraulic Fitting; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Minor Leakage at Hydraulic Fitting; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/06/03 14:18:00,Zhao Min,MRO_SEV_MAJOR
55,55,55,LGACT-2026-0055,DEF-HYD-02,Excessive Trunnion Bushing Clearance,Field feedback reported Excessive Trunnion Bushing Clearance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Excessive Trunnion Bushing Clearance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/06/04 14:25:00,Chen Gong,MRO_SEV_CRITICAL
56,56,56,LGACT-2026-0056,DEF-HYD-03,Loose Displacement Sensor Bracket,Field feedback reported Loose Displacement Sensor Bracket; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Loose Displacement Sensor Bracket; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/06/05 14:32:00,Liu Xiaofeng,MRO_SEV_WARN
57,57,57,LGACT-2026-0057,DEF-HYD-04,Chrome Plating Scratch on Piston Rod,Field feedback reported Chrome Plating Scratch on Piston Rod; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Chrome Plating Scratch on Piston Rod; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/09 14:39:00,Zhou Qian,MRO_SEV_MINOR
58,58,58,LGACT-2026-0058,DEF-HYD-05,Seal Ring Compression Damage,Field feedback reported Seal Ring Compression Damage; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Seal Ring Compression Damage; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/10 14:46:00,Huang Zhiqiang,MRO_SEV_MAJOR
59,59,59,LGACT-2026-0059,DEF-HYD-06,Scratch on Cylinder Barrel Inner Wall,Field feedback reported Scratch on Cylinder Barrel Inner Wall; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Scratch on Cylinder Barrel Inner Wall; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/11 14:53:00,Sun Wei,MRO_SEV_CRITICAL
60,60,60,LGACT-2026-0060,DEF-HYD-07,Pressure Holding Leakage Rate Out of Tolerance,Field feedback reported Pressure Holding Leakage Rate Out of Tolerance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Pressure Holding Leakage Rate Out of Tolerance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/12 15:00:00,Ma Rui,MRO_SEV_WARN
61,61,61,LGACT-2026-0061,DEF-HYD-08,Actuation Hysteresis,Field feedback reported Actuation Hysteresis; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Actuation Hysteresis; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/13 15:07:00,Zhang Jiancheng,MRO_SEV_MINOR
62,62,62,LGACT-2026-0062,DEF-HYD-09,Minor Leakage at Hydraulic Fitting,Field feedback reported Minor Leakage at Hydraulic Fitting; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Minor Leakage at Hydraulic Fitting; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/14 15:14:00,Li Hang,MRO_SEV_MAJOR
63,63,63,LGACT-2026-0063,DEF-HYD-01,Excessive Trunnion Bushing Clearance,Field feedback reported Excessive Trunnion Bushing Clearance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Excessive Trunnion Bushing Clearance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/15 15:21:00,Wang Lijun,MRO_SEV_CRITICAL
64,64,64,LGACT-2026-0064,DEF-HYD-02,Loose Displacement Sensor Bracket,Field feedback reported Loose Displacement Sensor Bracket; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Loose Displacement Sensor Bracket; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/16 15:28:00,Zhao Min,MRO_SEV_WARN
65,65,65,LGACT-2026-0065,DEF-HYD-03,Chrome Plating Scratch on Piston Rod,Field feedback reported Chrome Plating Scratch on Piston Rod; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Chrome Plating Scratch on Piston Rod; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/17 15:35:00,Chen Gong,MRO_SEV_MINOR
66,66,66,LGACT-2026-0066,DEF-HYD-04,Seal Ring Compression Damage,Field feedback reported Seal Ring Compression Damage; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Seal Ring Compression Damage; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/18 15:42:00,Liu Xiaofeng,MRO_SEV_MAJOR
67,67,67,LGACT-2026-0067,DEF-HYD-05,Scratch on Cylinder Barrel Inner Wall,Field feedback reported Scratch on Cylinder Barrel Inner Wall; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Scratch on Cylinder Barrel Inner Wall; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/19 15:49:00,Zhou Qian,MRO_SEV_CRITICAL
68,68,68,LGACT-2026-0068,DEF-HYD-06,Pressure Holding Leakage Rate Out of Tolerance,Field feedback reported Pressure Holding Leakage Rate Out of Tolerance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Pressure Holding Leakage Rate Out of Tolerance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/20 15:56:00,Huang Zhiqiang,MRO_SEV_WARN
69,69,69,LGACT-2026-0069,DEF-HYD-07,Actuation Hysteresis,Field feedback reported Actuation Hysteresis; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Actuation Hysteresis; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/21 16:03:00,Sun Wei,MRO_SEV_MINOR
70,70,70,LGACT-2026-0070,DEF-HYD-08,Minor Leakage at Hydraulic Fitting,Field feedback reported Minor Leakage at Hydraulic Fitting; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Minor Leakage at Hydraulic Fitting; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/22 16:10:00,Ma Rui,MRO_SEV_MAJOR
71,71,71,LGACT-2026-0071,DEF-HYD-09,Excessive Trunnion Bushing Clearance,Field feedback reported Excessive Trunnion Bushing Clearance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Excessive Trunnion Bushing Clearance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/23 16:17:00,Zhang Jiancheng,MRO_SEV_CRITICAL
72,72,72,LGACT-2026-0072,DEF-HYD-01,Loose Displacement Sensor Bracket,Field feedback reported Loose Displacement Sensor Bracket; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Loose Displacement Sensor Bracket; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/24 16:24:00,Li Hang,MRO_SEV_WARN
73,73,73,LGACT-2026-0073,DEF-HYD-02,Chrome Plating Scratch on Piston Rod,Field feedback reported Chrome Plating Scratch on Piston Rod; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Chrome Plating Scratch on Piston Rod; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/25 16:31:00,Wang Lijun,MRO_SEV_MINOR
74,74,74,LGACT-2026-0074,DEF-HYD-03,Seal Ring Compression Damage,Field feedback reported Seal Ring Compression Damage; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Seal Ring Compression Damage; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/26 16:38:00,Zhao Min,MRO_SEV_MAJOR
75,75,75,LGACT-2026-0075,DEF-HYD-04,Scratch on Cylinder Barrel Inner Wall,Field feedback reported Scratch on Cylinder Barrel Inner Wall; the maintenance record has been linked to the replaced part and the original manufacturing batch.,Field feedback reported Scratch on Cylinder Barrel Inner Wall; the maintenance record has been linked to the replaced part and the original manufacturing batch.,2026/05/27 16:45:00,Chen Gong,MRO_SEV_CRITICAL
