part_master_id,design_revision_id,part_no,part_cn_name,part_cat_cd,dwg_no,material_no,mat_grade,spec_text,uom,make_buy_cd,key_level_cd
16,16,LGACT-PART-017,Trunnion Bushing,PLM_SERVICE,DWG-LGACT-0016,MAT-LG-0016,PLM_D,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,PLM_M,PLM_REPAIR,PLM_D
17,17,LGACT-PART-018,Spherical Bearing,PLM_MAKE,DWG-LGACT-0017,MAT-LG-0017,PLM_A,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,PLM_EA,PLM_MAKE,PLM_A
18,18,LGACT-PART-019,Throttle Connector,PLM_BUY,DWG-LGACT-0018,MAT-LG-0018,PLM_B,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,PLM_SET,PLM_BUY,PLM_B
19,19,LGACT-PART-020,Displacement Sensor Bracket,PLM_ASSEMBLY,DWG-LGACT-0019,MAT-LG-0019,PLM_C,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,PLM_KG,PLM_OUTSOURCE,PLM_C
20,20,LGACT-PART-001,Locking Nut,PLM_SERVICE,DWG-LGACT-0020,MAT-LG-0020,PLM_D,Locking Nut aviation manufacturing business record used for actuator quality traceability.,PLM_M,PLM_REPAIR,PLM_D
21,21,LGACT-PART-002,Piston Rod Assembly,PLM_MAKE,DWG-LGACT-0021,MAT-LG-0021,PLM_A,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,PLM_EA,PLM_MAKE,PLM_A
22,22,LGACT-PART-003,Cylinder Barrel Assembly,PLM_BUY,DWG-LGACT-0022,MAT-LG-0022,PLM_B,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,PLM_SET,PLM_BUY,PLM_B
23,23,LGACT-PART-004,Front End Cap,PLM_ASSEMBLY,DWG-LGACT-0023,MAT-LG-0023,PLM_C,Front End Cap aviation manufacturing business record used for actuator quality traceability.,PLM_KG,PLM_OUTSOURCE,PLM_C
24,24,LGACT-PART-005,Rear End Cap,PLM_SERVICE,DWG-LGACT-0024,MAT-LG-0024,PLM_D,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,PLM_M,PLM_REPAIR,PLM_D
25,25,LGACT-PART-006,Seal Ring Assembly,PLM_MAKE,DWG-LGACT-0025,MAT-LG-0025,PLM_A,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,PLM_EA,PLM_MAKE,PLM_A
26,26,LGACT-PART-007,Trunnion Bushing,PLM_BUY,DWG-LGACT-0026,MAT-LG-0026,PLM_B,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,PLM_SET,PLM_BUY,PLM_B
27,27,LGACT-PART-008,Spherical Bearing,PLM_ASSEMBLY,DWG-LGACT-0027,MAT-LG-0027,PLM_C,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,PLM_KG,PLM_OUTSOURCE,PLM_C
28,28,LGACT-PART-009,Throttle Connector,PLM_SERVICE,DWG-LGACT-0028,MAT-LG-0028,PLM_D,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,PLM_M,PLM_REPAIR,PLM_D
29,29,LGACT-PART-010,Displacement Sensor Bracket,PLM_MAKE,DWG-LGACT-0029,MAT-LG-0029,PLM_A,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,PLM_EA,PLM_MAKE,PLM_A
30,30,LGACT-PART-011,Locking Nut,PLM_BUY,DWG-LGACT-0030,MAT-LG-0030,PLM_B,Locking Nut aviation manufacturing business record used for actuator quality traceability.,PLM_SET,PLM_BUY,PLM_B
31,31,LGACT-PART-012,Piston Rod Assembly,PLM_ASSEMBLY,DWG-LGACT-0031,MAT-LG-0031,PLM_C,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,PLM_KG,PLM_OUTSOURCE,PLM_C
32,32,LGACT-PART-013,Cylinder Barrel Assembly,PLM_SERVICE,DWG-LGACT-0032,MAT-LG-0032,PLM_D,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,PLM_M,PLM_REPAIR,PLM_D
33,33,LGACT-PART-014,Front End Cap,PLM_MAKE,DWG-LGACT-0033,MAT-LG-0033,PLM_A,Front End Cap aviation manufacturing business record used for actuator quality traceability.,PLM_EA,PLM_MAKE,PLM_A
34,34,LGACT-PART-015,Rear End Cap,PLM_BUY,DWG-LGACT-0034,MAT-LG-0034,PLM_B,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,PLM_SET,PLM_BUY,PLM_B
35,35,LGACT-PART-016,Seal Ring Assembly,PLM_ASSEMBLY,DWG-LGACT-0035,MAT-LG-0035,PLM_C,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,PLM_KG,PLM_OUTSOURCE,PLM_C
36,36,LGACT-PART-017,Trunnion Bushing,PLM_SERVICE,DWG-LGACT-0036,MAT-LG-0036,PLM_D,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,PLM_M,PLM_REPAIR,PLM_D
37,37,LGACT-PART-018,Spherical Bearing,PLM_MAKE,DWG-LGACT-0037,MAT-LG-0037,PLM_A,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,PLM_EA,PLM_MAKE,PLM_A
38,38,LGACT-PART-019,Throttle Connector,PLM_BUY,DWG-LGACT-0038,MAT-LG-0038,PLM_B,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,PLM_SET,PLM_BUY,PLM_B
39,39,LGACT-PART-020,Displacement Sensor Bracket,PLM_ASSEMBLY,DWG-LGACT-0039,MAT-LG-0039,PLM_C,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,PLM_KG,PLM_OUTSOURCE,PLM_C
40,40,LGACT-PART-001,Locking Nut,PLM_SERVICE,DWG-LGACT-0040,MAT-LG-0040,PLM_D,Locking Nut aviation manufacturing business record used for actuator quality traceability.,PLM_M,PLM_REPAIR,PLM_D
41,41,LGACT-PART-002,Piston Rod Assembly,PLM_MAKE,DWG-LGACT-0041,MAT-LG-0041,PLM_A,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,PLM_EA,PLM_MAKE,PLM_A
42,42,LGACT-PART-003,Cylinder Barrel Assembly,PLM_BUY,DWG-LGACT-0042,MAT-LG-0042,PLM_B,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,PLM_SET,PLM_BUY,PLM_B
43,43,LGACT-PART-004,Front End Cap,PLM_ASSEMBLY,DWG-LGACT-0043,MAT-LG-0043,PLM_C,Front End Cap aviation manufacturing business record used for actuator quality traceability.,PLM_KG,PLM_OUTSOURCE,PLM_C
44,44,LGACT-PART-005,Rear End Cap,PLM_SERVICE,DWG-LGACT-0044,MAT-LG-0044,PLM_D,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,PLM_M,PLM_REPAIR,PLM_D
45,45,LGACT-PART-006,Seal Ring Assembly,PLM_MAKE,DWG-LGACT-0045,MAT-LG-0045,PLM_A,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,PLM_EA,PLM_MAKE,PLM_A
46,46,LGACT-PART-007,Trunnion Bushing,PLM_BUY,DWG-LGACT-0046,MAT-LG-0046,PLM_B,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,PLM_SET,PLM_BUY,PLM_B
47,47,LGACT-PART-008,Spherical Bearing,PLM_ASSEMBLY,DWG-LGACT-0047,MAT-LG-0047,PLM_C,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,PLM_KG,PLM_OUTSOURCE,PLM_C
48,48,LGACT-PART-009,Throttle Connector,PLM_SERVICE,DWG-LGACT-0048,MAT-LG-0048,PLM_D,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,PLM_M,PLM_REPAIR,PLM_D
49,49,LGACT-PART-010,Displacement Sensor Bracket,PLM_MAKE,DWG-LGACT-0049,MAT-LG-0049,PLM_A,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,PLM_EA,PLM_MAKE,PLM_A
50,50,LGACT-PART-011,Locking Nut,PLM_BUY,DWG-LGACT-0050,MAT-LG-0050,PLM_B,Locking Nut aviation manufacturing business record used for actuator quality traceability.,PLM_SET,PLM_BUY,PLM_B
51,51,LGACT-PART-012,Piston Rod Assembly,PLM_ASSEMBLY,DWG-LGACT-0051,MAT-LG-0051,PLM_C,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,PLM_KG,PLM_OUTSOURCE,PLM_C
52,52,LGACT-PART-013,Cylinder Barrel Assembly,PLM_SERVICE,DWG-LGACT-0052,MAT-LG-0052,PLM_D,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,PLM_M,PLM_REPAIR,PLM_D
53,53,LGACT-PART-014,Front End Cap,PLM_MAKE,DWG-LGACT-0053,MAT-LG-0053,PLM_A,Front End Cap aviation manufacturing business record used for actuator quality traceability.,PLM_EA,PLM_MAKE,PLM_A
54,54,LGACT-PART-015,Rear End Cap,PLM_BUY,DWG-LGACT-0054,MAT-LG-0054,PLM_B,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,PLM_SET,PLM_BUY,PLM_B
55,55,LGACT-PART-016,Seal Ring Assembly,PLM_ASSEMBLY,DWG-LGACT-0055,MAT-LG-0055,PLM_C,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,PLM_KG,PLM_OUTSOURCE,PLM_C
56,56,LGACT-PART-017,Trunnion Bushing,PLM_SERVICE,DWG-LGACT-0056,MAT-LG-0056,PLM_D,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,PLM_M,PLM_REPAIR,PLM_D
57,57,LGACT-PART-018,Spherical Bearing,PLM_MAKE,DWG-LGACT-0057,MAT-LG-0057,PLM_A,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,PLM_EA,PLM_MAKE,PLM_A
58,58,LGACT-PART-019,Throttle Connector,PLM_BUY,DWG-LGACT-0058,MAT-LG-0058,PLM_B,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,PLM_SET,PLM_BUY,PLM_B
59,59,LGACT-PART-020,Displacement Sensor Bracket,PLM_ASSEMBLY,DWG-LGACT-0059,MAT-LG-0059,PLM_C,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,PLM_KG,PLM_OUTSOURCE,PLM_C
60,60,LGACT-PART-001,Locking Nut,PLM_SERVICE,DWG-LGACT-0060,MAT-LG-0060,PLM_D,Locking Nut aviation manufacturing business record used for actuator quality traceability.,PLM_M,PLM_REPAIR,PLM_D
61,61,LGACT-PART-002,Piston Rod Assembly,PLM_MAKE,DWG-LGACT-0061,MAT-LG-0061,PLM_A,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,PLM_EA,PLM_MAKE,PLM_A
62,62,LGACT-PART-003,Cylinder Barrel Assembly,PLM_BUY,DWG-LGACT-0062,MAT-LG-0062,PLM_B,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,PLM_SET,PLM_BUY,PLM_B
63,63,LGACT-PART-004,Front End Cap,PLM_ASSEMBLY,DWG-LGACT-0063,MAT-LG-0063,PLM_C,Front End Cap aviation manufacturing business record used for actuator quality traceability.,PLM_KG,PLM_OUTSOURCE,PLM_C
64,64,LGACT-PART-005,Rear End Cap,PLM_SERVICE,DWG-LGACT-0064,MAT-LG-0064,PLM_D,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,PLM_M,PLM_REPAIR,PLM_D
65,65,LGACT-PART-006,Seal Ring Assembly,PLM_MAKE,DWG-LGACT-0065,MAT-LG-0065,PLM_A,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,PLM_EA,PLM_MAKE,PLM_A
66,66,LGACT-PART-007,Trunnion Bushing,PLM_BUY,DWG-LGACT-0066,MAT-LG-0066,PLM_B,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,PLM_SET,PLM_BUY,PLM_B
67,67,LGACT-PART-008,Spherical Bearing,PLM_ASSEMBLY,DWG-LGACT-0067,MAT-LG-0067,PLM_C,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,PLM_KG,PLM_OUTSOURCE,PLM_C
68,68,LGACT-PART-009,Throttle Connector,PLM_SERVICE,DWG-LGACT-0068,MAT-LG-0068,PLM_D,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,PLM_M,PLM_REPAIR,PLM_D
69,69,LGACT-PART-010,Displacement Sensor Bracket,PLM_MAKE,DWG-LGACT-0069,MAT-LG-0069,PLM_A,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,PLM_EA,PLM_MAKE,PLM_A
70,70,LGACT-PART-011,Locking Nut,PLM_BUY,DWG-LGACT-0070,MAT-LG-0070,PLM_B,Locking Nut aviation manufacturing business record used for actuator quality traceability.,PLM_SET,PLM_BUY,PLM_B
71,71,LGACT-PART-012,Piston Rod Assembly,PLM_ASSEMBLY,DWG-LGACT-0071,MAT-LG-0071,PLM_C,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,PLM_KG,PLM_OUTSOURCE,PLM_C
72,72,LGACT-PART-013,Cylinder Barrel Assembly,PLM_SERVICE,DWG-LGACT-0072,MAT-LG-0072,PLM_D,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,PLM_M,PLM_REPAIR,PLM_D
73,73,LGACT-PART-014,Front End Cap,PLM_MAKE,DWG-LGACT-0073,MAT-LG-0073,PLM_A,Front End Cap aviation manufacturing business record used for actuator quality traceability.,PLM_EA,PLM_MAKE,PLM_A
74,74,LGACT-PART-015,Rear End Cap,PLM_BUY,DWG-LGACT-0074,MAT-LG-0074,PLM_B,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,PLM_SET,PLM_BUY,PLM_B
75,75,LGACT-PART-016,Seal Ring Assembly,PLM_ASSEMBLY,DWG-LGACT-0075,MAT-LG-0075,PLM_C,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,PLM_KG,PLM_OUTSOURCE,PLM_C
76,76,LGACT-PART-017,Trunnion Bushing,PLM_SERVICE,DWG-LGACT-0076,MAT-LG-0076,PLM_D,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,PLM_M,PLM_REPAIR,PLM_D
77,77,LGACT-PART-018,Spherical Bearing,PLM_MAKE,DWG-LGACT-0077,MAT-LG-0077,PLM_A,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,PLM_EA,PLM_MAKE,PLM_A
78,78,LGACT-PART-019,Throttle Connector,PLM_BUY,DWG-LGACT-0078,MAT-LG-0078,PLM_B,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,PLM_SET,PLM_BUY,PLM_B
79,79,LGACT-PART-020,Displacement Sensor Bracket,PLM_ASSEMBLY,DWG-LGACT-0079,MAT-LG-0079,PLM_C,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,PLM_KG,PLM_OUTSOURCE,PLM_C
80,80,LGACT-PART-001,Locking Nut,PLM_SERVICE,DWG-LGACT-0080,MAT-LG-0080,PLM_D,Locking Nut aviation manufacturing business record used for actuator quality traceability.,PLM_M,PLM_REPAIR,PLM_D
81,81,LGACT-PART-002,Piston Rod Assembly,PLM_MAKE,DWG-LGACT-0081,MAT-LG-0081,PLM_A,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,PLM_EA,PLM_MAKE,PLM_A
82,82,LGACT-PART-003,Cylinder Barrel Assembly,PLM_BUY,DWG-LGACT-0082,MAT-LG-0082,PLM_B,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,PLM_SET,PLM_BUY,PLM_B
83,83,LGACT-PART-004,Front End Cap,PLM_ASSEMBLY,DWG-LGACT-0083,MAT-LG-0083,PLM_C,Front End Cap aviation manufacturing business record used for actuator quality traceability.,PLM_KG,PLM_OUTSOURCE,PLM_C
84,84,LGACT-PART-005,Rear End Cap,PLM_SERVICE,DWG-LGACT-0084,MAT-LG-0084,PLM_D,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,PLM_M,PLM_REPAIR,PLM_D
85,85,LGACT-PART-006,Seal Ring Assembly,PLM_MAKE,DWG-LGACT-0085,MAT-LG-0085,PLM_A,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,PLM_EA,PLM_MAKE,PLM_A
86,86,LGACT-PART-007,Trunnion Bushing,PLM_BUY,DWG-LGACT-0086,MAT-LG-0086,PLM_B,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,PLM_SET,PLM_BUY,PLM_B
87,87,LGACT-PART-008,Spherical Bearing,PLM_ASSEMBLY,DWG-LGACT-0087,MAT-LG-0087,PLM_C,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,PLM_KG,PLM_OUTSOURCE,PLM_C
88,88,LGACT-PART-009,Throttle Connector,PLM_SERVICE,DWG-LGACT-0088,MAT-LG-0088,PLM_D,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,PLM_M,PLM_REPAIR,PLM_D
89,89,LGACT-PART-010,Displacement Sensor Bracket,PLM_MAKE,DWG-LGACT-0089,MAT-LG-0089,PLM_A,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,PLM_EA,PLM_MAKE,PLM_A
90,90,LGACT-PART-011,Locking Nut,PLM_BUY,DWG-LGACT-0090,MAT-LG-0090,PLM_B,Locking Nut aviation manufacturing business record used for actuator quality traceability.,PLM_SET,PLM_BUY,PLM_B
91,91,LGACT-PART-012,Piston Rod Assembly,PLM_ASSEMBLY,DWG-LGACT-0091,MAT-LG-0091,PLM_C,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,PLM_KG,PLM_OUTSOURCE,PLM_C
92,92,LGACT-PART-013,Cylinder Barrel Assembly,PLM_SERVICE,DWG-LGACT-0092,MAT-LG-0092,PLM_D,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,PLM_M,PLM_REPAIR,PLM_D
93,93,LGACT-PART-014,Front End Cap,PLM_MAKE,DWG-LGACT-0093,MAT-LG-0093,PLM_A,Front End Cap aviation manufacturing business record used for actuator quality traceability.,PLM_EA,PLM_MAKE,PLM_A
94,94,LGACT-PART-015,Rear End Cap,PLM_BUY,DWG-LGACT-0094,MAT-LG-0094,PLM_B,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,PLM_SET,PLM_BUY,PLM_B
95,95,LGACT-PART-016,Seal Ring Assembly,PLM_ASSEMBLY,DWG-LGACT-0095,MAT-LG-0095,PLM_C,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,PLM_KG,PLM_OUTSOURCE,PLM_C
96,96,LGACT-PART-017,Trunnion Bushing,PLM_SERVICE,DWG-LGACT-0096,MAT-LG-0096,PLM_D,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,PLM_M,PLM_REPAIR,PLM_D
97,97,LGACT-PART-018,Spherical Bearing,PLM_MAKE,DWG-LGACT-0097,MAT-LG-0097,PLM_A,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,PLM_EA,PLM_MAKE,PLM_A
98,98,LGACT-PART-019,Throttle Connector,PLM_BUY,DWG-LGACT-0098,MAT-LG-0098,PLM_B,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,PLM_SET,PLM_BUY,PLM_B
99,99,LGACT-PART-020,Displacement Sensor Bracket,PLM_ASSEMBLY,DWG-LGACT-0099,MAT-LG-0099,PLM_C,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,PLM_KG,PLM_OUTSOURCE,PLM_C
100,100,LGACT-PART-001,Locking Nut,PLM_SERVICE,DWG-LGACT-0100,MAT-LG-0100,PLM_D,Locking Nut aviation manufacturing business record used for actuator quality traceability.,PLM_M,PLM_REPAIR,PLM_D
101,101,LGACT-PART-002,Piston Rod Assembly,PLM_MAKE,DWG-LGACT-0101,MAT-LG-0101,PLM_A,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,PLM_EA,PLM_MAKE,PLM_A
102,102,LGACT-PART-003,Cylinder Barrel Assembly,PLM_BUY,DWG-LGACT-0102,MAT-LG-0102,PLM_B,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,PLM_SET,PLM_BUY,PLM_B
103,103,LGACT-PART-004,Front End Cap,PLM_ASSEMBLY,DWG-LGACT-0103,MAT-LG-0103,PLM_C,Front End Cap aviation manufacturing business record used for actuator quality traceability.,PLM_KG,PLM_OUTSOURCE,PLM_C
104,104,LGACT-PART-005,Rear End Cap,PLM_SERVICE,DWG-LGACT-0104,MAT-LG-0104,PLM_D,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,PLM_M,PLM_REPAIR,PLM_D
105,105,LGACT-PART-006,Seal Ring Assembly,PLM_MAKE,DWG-LGACT-0105,MAT-LG-0105,PLM_A,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,PLM_EA,PLM_MAKE,PLM_A
106,106,LGACT-PART-007,Trunnion Bushing,PLM_BUY,DWG-LGACT-0106,MAT-LG-0106,PLM_B,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,PLM_SET,PLM_BUY,PLM_B
107,107,LGACT-PART-008,Spherical Bearing,PLM_ASSEMBLY,DWG-LGACT-0107,MAT-LG-0107,PLM_C,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,PLM_KG,PLM_OUTSOURCE,PLM_C
108,108,LGACT-PART-009,Throttle Connector,PLM_SERVICE,DWG-LGACT-0108,MAT-LG-0108,PLM_D,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,PLM_M,PLM_REPAIR,PLM_D
109,109,LGACT-PART-010,Displacement Sensor Bracket,PLM_MAKE,DWG-LGACT-0109,MAT-LG-0109,PLM_A,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,PLM_EA,PLM_MAKE,PLM_A
110,110,LGACT-PART-011,Locking Nut,PLM_BUY,DWG-LGACT-0110,MAT-LG-0110,PLM_B,Locking Nut aviation manufacturing business record used for actuator quality traceability.,PLM_SET,PLM_BUY,PLM_B
111,111,LGACT-PART-012,Piston Rod Assembly,PLM_ASSEMBLY,DWG-LGACT-0111,MAT-LG-0111,PLM_C,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,PLM_KG,PLM_OUTSOURCE,PLM_C
112,112,LGACT-PART-013,Cylinder Barrel Assembly,PLM_SERVICE,DWG-LGACT-0112,MAT-LG-0112,PLM_D,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,PLM_M,PLM_REPAIR,PLM_D
113,113,LGACT-PART-014,Front End Cap,PLM_MAKE,DWG-LGACT-0113,MAT-LG-0113,PLM_A,Front End Cap aviation manufacturing business record used for actuator quality traceability.,PLM_EA,PLM_MAKE,PLM_A
114,114,LGACT-PART-015,Rear End Cap,PLM_BUY,DWG-LGACT-0114,MAT-LG-0114,PLM_B,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,PLM_SET,PLM_BUY,PLM_B
115,115,LGACT-PART-016,Seal Ring Assembly,PLM_ASSEMBLY,DWG-LGACT-0115,MAT-LG-0115,PLM_C,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,PLM_KG,PLM_OUTSOURCE,PLM_C
116,116,LGACT-PART-017,Trunnion Bushing,PLM_SERVICE,DWG-LGACT-0116,MAT-LG-0116,PLM_D,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,PLM_M,PLM_REPAIR,PLM_D
117,117,LGACT-PART-018,Spherical Bearing,PLM_MAKE,DWG-LGACT-0117,MAT-LG-0117,PLM_A,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,PLM_EA,PLM_MAKE,PLM_A
118,118,LGACT-PART-019,Throttle Connector,PLM_BUY,DWG-LGACT-0118,MAT-LG-0118,PLM_B,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,PLM_SET,PLM_BUY,PLM_B
119,119,LGACT-PART-020,Displacement Sensor Bracket,PLM_ASSEMBLY,DWG-LGACT-0119,MAT-LG-0119,PLM_C,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,PLM_KG,PLM_OUTSOURCE,PLM_C
120,120,LGACT-PART-001,Locking Nut,PLM_SERVICE,DWG-LGACT-0120,MAT-LG-0120,PLM_D,Locking Nut aviation manufacturing business record used for actuator quality traceability.,PLM_M,PLM_REPAIR,PLM_D
