task_id,workid,taskcode,worktype,workname,partno,route_no,zzh,planqty,yxj,urgent_tab,plandate,delivery_date_char,reportman,reportdate,rwstate
16,WO-LG-2026-0016,TASK-LG-0016,MES_SERVICE,Extension and Retraction Function Test,LGACT-PART-017,RT-LGACT-0016,LGACT-2026-0016,008,008,Y,2026/05/24 09:52:00,20260524,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,2026/05/24 09:52:00,MES_HOLD
17,WO-LG-2026-0017,TASK-LG-0017,MES_MAKE,Cylinder Barrel Rough Machining,LGACT-PART-018,RT-LGACT-0017,LGACT-2026-0017,009,009,Y,2026/05/25 09:59:00,20260525,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,2026/05/25 09:59:00,MES_OPEN
18,WO-LG-2026-0018,TASK-LG-0018,MES_BUY,Piston Rod Precision Grinding,LGACT-PART-019,RT-LGACT-0018,LGACT-2026-0018,001,001,N,2026/05/26 10:06:00,20260526,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,2026/05/26 10:06:00,MES_RUNNING
19,WO-LG-2026-0019,TASK-LG-0019,MES_ASSEMBLY,Inner Bore Honing,LGACT-PART-020,RT-LGACT-0019,LGACT-2026-0019,002,002,Y,2026/05/27 10:13:00,20260527,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceab,2026/05/27 10:13:00,MES_CLOSED
20,WO-LG-2026-0020,TASK-LG-0020,MES_SERVICE,Chrome Plating Layer Grinding,LGACT-PART-001,RT-LGACT-0020,LGACT-2026-0020,003,003,Y,2026/05/28 10:20:00,20260528,Locking Nut aviation manufacturing business record used for actuator quality traceability.,2026/05/28 10:20:00,MES_HOLD
21,WO-LG-2026-0021,TASK-LG-0021,MES_MAKE,Seal Component Assembly,LGACT-PART-002,RT-LGACT-0021,LGACT-2026-0021,004,004,N,2026/05/29 10:27:00,20260529,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,2026/05/29 10:27:00,MES_OPEN
22,WO-LG-2026-0022,TASK-LG-0022,MES_BUY,Actuator Final Assembly,LGACT-PART-003,RT-LGACT-0022,LGACT-2026-0022,005,005,Y,2026/05/30 10:34:00,20260530,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceabili,2026/05/30 10:34:00,MES_RUNNING
23,WO-LG-2026-0023,TASK-LG-0023,MES_ASSEMBLY,Pressure Holding Test,LGACT-PART-004,RT-LGACT-0023,LGACT-2026-0023,006,006,Y,2026/05/31 10:41:00,20260531,Front End Cap aviation manufacturing business record used for actuator quality traceability.,2026/05/31 10:41:00,MES_CLOSED
24,WO-LG-2026-0024,TASK-LG-0024,MES_SERVICE,Extension and Retraction Function Test,LGACT-PART-005,RT-LGACT-0024,LGACT-2026-0024,007,007,N,2026/06/01 10:48:00,20260601,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,2026/06/01 10:48:00,MES_HOLD
25,WO-LG-2026-0025,TASK-LG-0025,MES_MAKE,Cylinder Barrel Rough Machining,LGACT-PART-006,RT-LGACT-0025,LGACT-2026-0025,008,008,Y,2026/06/02 10:55:00,20260602,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,2026/06/02 10:55:00,MES_OPEN
26,WO-LG-2026-0026,TASK-LG-0026,MES_BUY,Piston Rod Precision Grinding,LGACT-PART-007,RT-LGACT-0026,LGACT-2026-0026,009,009,Y,2026/06/03 11:02:00,20260603,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,2026/06/03 11:02:00,MES_RUNNING
27,WO-LG-2026-0027,TASK-LG-0027,MES_ASSEMBLY,Inner Bore Honing,LGACT-PART-008,RT-LGACT-0027,LGACT-2026-0027,001,001,N,2026/06/04 11:09:00,20260604,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,2026/06/04 11:09:00,MES_CLOSED
28,WO-LG-2026-0028,TASK-LG-0028,MES_SERVICE,Chrome Plating Layer Grinding,LGACT-PART-009,RT-LGACT-0028,LGACT-2026-0028,002,002,Y,2026/06/05 11:16:00,20260605,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,2026/06/05 11:16:00,MES_HOLD
29,WO-LG-2026-0029,TASK-LG-0029,MES_MAKE,Seal Component Assembly,LGACT-PART-010,RT-LGACT-0029,LGACT-2026-0029,003,003,Y,2026/05/09 11:23:00,20260509,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceab,2026/05/09 11:23:00,MES_OPEN
30,WO-LG-2026-0030,TASK-LG-0030,MES_BUY,Actuator Final Assembly,LGACT-PART-011,RT-LGACT-0030,LGACT-2026-0030,004,004,N,2026/05/10 11:30:00,20260510,Locking Nut aviation manufacturing business record used for actuator quality traceability.,2026/05/10 11:30:00,MES_RUNNING
31,WO-LG-2026-0031,TASK-LG-0031,MES_ASSEMBLY,Pressure Holding Test,LGACT-PART-012,RT-LGACT-0031,LGACT-2026-0031,005,005,Y,2026/05/11 11:37:00,20260511,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,2026/05/11 11:37:00,MES_CLOSED
32,WO-LG-2026-0032,TASK-LG-0032,MES_SERVICE,Extension and Retraction Function Test,LGACT-PART-013,RT-LGACT-0032,LGACT-2026-0032,006,006,Y,2026/05/12 11:44:00,20260512,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceabili,2026/05/12 11:44:00,MES_HOLD
33,WO-LG-2026-0033,TASK-LG-0033,MES_MAKE,Cylinder Barrel Rough Machining,LGACT-PART-014,RT-LGACT-0033,LGACT-2026-0033,007,007,N,2026/05/13 11:51:00,20260513,Front End Cap aviation manufacturing business record used for actuator quality traceability.,2026/05/13 11:51:00,MES_OPEN
34,WO-LG-2026-0034,TASK-LG-0034,MES_BUY,Piston Rod Precision Grinding,LGACT-PART-015,RT-LGACT-0034,LGACT-2026-0034,008,008,Y,2026/05/14 11:58:00,20260514,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,2026/05/14 11:58:00,MES_RUNNING
35,WO-LG-2026-0035,TASK-LG-0035,MES_ASSEMBLY,Inner Bore Honing,LGACT-PART-016,RT-LGACT-0035,LGACT-2026-0035,009,009,Y,2026/05/15 12:05:00,20260515,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,2026/05/15 12:05:00,MES_CLOSED
36,WO-LG-2026-0036,TASK-LG-0036,MES_SERVICE,Chrome Plating Layer Grinding,LGACT-PART-017,RT-LGACT-0036,LGACT-2026-0036,001,001,N,2026/05/16 12:12:00,20260516,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,2026/05/16 12:12:00,MES_HOLD
37,WO-LG-2026-0037,TASK-LG-0037,MES_MAKE,Seal Component Assembly,LGACT-PART-018,RT-LGACT-0037,LGACT-2026-0037,002,002,Y,2026/05/17 12:19:00,20260517,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,2026/05/17 12:19:00,MES_OPEN
38,WO-LG-2026-0038,TASK-LG-0038,MES_BUY,Actuator Final Assembly,LGACT-PART-019,RT-LGACT-0038,LGACT-2026-0038,003,003,Y,2026/05/18 12:26:00,20260518,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,2026/05/18 12:26:00,MES_RUNNING
39,WO-LG-2026-0039,TASK-LG-0039,MES_ASSEMBLY,Pressure Holding Test,LGACT-PART-020,RT-LGACT-0039,LGACT-2026-0039,004,004,N,2026/05/19 12:33:00,20260519,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceab,2026/05/19 12:33:00,MES_CLOSED
40,WO-LG-2026-0040,TASK-LG-0040,MES_SERVICE,Extension and Retraction Function Test,LGACT-PART-001,RT-LGACT-0040,LGACT-2026-0040,005,005,Y,2026/05/20 12:40:00,20260520,Locking Nut aviation manufacturing business record used for actuator quality traceability.,2026/05/20 12:40:00,MES_HOLD
41,WO-LG-2026-0041,TASK-LG-0041,MES_MAKE,Cylinder Barrel Rough Machining,LGACT-PART-002,RT-LGACT-0041,LGACT-2026-0041,006,006,Y,2026/05/21 12:47:00,20260521,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,2026/05/21 12:47:00,MES_OPEN
42,WO-LG-2026-0042,TASK-LG-0042,MES_BUY,Piston Rod Precision Grinding,LGACT-PART-003,RT-LGACT-0042,LGACT-2026-0042,007,007,N,2026/05/22 12:54:00,20260522,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceabili,2026/05/22 12:54:00,MES_RUNNING
43,WO-LG-2026-0043,TASK-LG-0043,MES_ASSEMBLY,Inner Bore Honing,LGACT-PART-004,RT-LGACT-0043,LGACT-2026-0043,008,008,Y,2026/05/23 13:01:00,20260523,Front End Cap aviation manufacturing business record used for actuator quality traceability.,2026/05/23 13:01:00,MES_CLOSED
44,WO-LG-2026-0044,TASK-LG-0044,MES_SERVICE,Chrome Plating Layer Grinding,LGACT-PART-005,RT-LGACT-0044,LGACT-2026-0044,009,009,Y,2026/05/24 13:08:00,20260524,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,2026/05/24 13:08:00,MES_HOLD
45,WO-LG-2026-0045,TASK-LG-0045,MES_MAKE,Seal Component Assembly,LGACT-PART-006,RT-LGACT-0045,LGACT-2026-0045,001,001,N,2026/05/25 13:15:00,20260525,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,2026/05/25 13:15:00,MES_OPEN
46,WO-LG-2026-0046,TASK-LG-0046,MES_BUY,Actuator Final Assembly,LGACT-PART-007,RT-LGACT-0046,LGACT-2026-0046,002,002,Y,2026/05/26 13:22:00,20260526,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,2026/05/26 13:22:00,MES_RUNNING
47,WO-LG-2026-0047,TASK-LG-0047,MES_ASSEMBLY,Pressure Holding Test,LGACT-PART-008,RT-LGACT-0047,LGACT-2026-0047,003,003,Y,2026/05/27 13:29:00,20260527,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,2026/05/27 13:29:00,MES_CLOSED
48,WO-LG-2026-0048,TASK-LG-0048,MES_SERVICE,Extension and Retraction Function Test,LGACT-PART-009,RT-LGACT-0048,LGACT-2026-0048,004,004,N,2026/05/28 13:36:00,20260528,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,2026/05/28 13:36:00,MES_HOLD
49,WO-LG-2026-0049,TASK-LG-0049,MES_MAKE,Cylinder Barrel Rough Machining,LGACT-PART-010,RT-LGACT-0049,LGACT-2026-0049,005,005,Y,2026/05/29 13:43:00,20260529,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceab,2026/05/29 13:43:00,MES_OPEN
50,WO-LG-2026-0050,TASK-LG-0050,MES_BUY,Piston Rod Precision Grinding,LGACT-PART-011,RT-LGACT-0050,LGACT-2026-0050,006,006,Y,2026/05/30 13:50:00,20260530,Locking Nut aviation manufacturing business record used for actuator quality traceability.,2026/05/30 13:50:00,MES_RUNNING
51,WO-LG-2026-0051,TASK-LG-0051,MES_ASSEMBLY,Inner Bore Honing,LGACT-PART-012,RT-LGACT-0051,LGACT-2026-0051,007,007,N,2026/05/31 13:57:00,20260531,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,2026/05/31 13:57:00,MES_CLOSED
52,WO-LG-2026-0052,TASK-LG-0052,MES_SERVICE,Chrome Plating Layer Grinding,LGACT-PART-013,RT-LGACT-0052,LGACT-2026-0052,008,008,Y,2026/06/01 14:04:00,20260601,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceabili,2026/06/01 14:04:00,MES_HOLD
53,WO-LG-2026-0053,TASK-LG-0053,MES_MAKE,Seal Component Assembly,LGACT-PART-014,RT-LGACT-0053,LGACT-2026-0053,009,009,Y,2026/06/02 14:11:00,20260602,Front End Cap aviation manufacturing business record used for actuator quality traceability.,2026/06/02 14:11:00,MES_OPEN
54,WO-LG-2026-0054,TASK-LG-0054,MES_BUY,Actuator Final Assembly,LGACT-PART-015,RT-LGACT-0054,LGACT-2026-0054,001,001,N,2026/06/03 14:18:00,20260603,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,2026/06/03 14:18:00,MES_RUNNING
55,WO-LG-2026-0055,TASK-LG-0055,MES_ASSEMBLY,Pressure Holding Test,LGACT-PART-016,RT-LGACT-0055,LGACT-2026-0055,002,002,Y,2026/06/04 14:25:00,20260604,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,2026/06/04 14:25:00,MES_CLOSED
56,WO-LG-2026-0056,TASK-LG-0056,MES_SERVICE,Extension and Retraction Function Test,LGACT-PART-017,RT-LGACT-0056,LGACT-2026-0056,003,003,Y,2026/06/05 14:32:00,20260605,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,2026/06/05 14:32:00,MES_HOLD
57,WO-LG-2026-0057,TASK-LG-0057,MES_MAKE,Cylinder Barrel Rough Machining,LGACT-PART-018,RT-LGACT-0057,LGACT-2026-0057,004,004,N,2026/05/09 14:39:00,20260509,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,2026/05/09 14:39:00,MES_OPEN
58,WO-LG-2026-0058,TASK-LG-0058,MES_BUY,Piston Rod Precision Grinding,LGACT-PART-019,RT-LGACT-0058,LGACT-2026-0058,005,005,Y,2026/05/10 14:46:00,20260510,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,2026/05/10 14:46:00,MES_RUNNING
59,WO-LG-2026-0059,TASK-LG-0059,MES_ASSEMBLY,Inner Bore Honing,LGACT-PART-020,RT-LGACT-0059,LGACT-2026-0059,006,006,Y,2026/05/11 14:53:00,20260511,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceab,2026/05/11 14:53:00,MES_CLOSED
60,WO-LG-2026-0060,TASK-LG-0060,MES_SERVICE,Chrome Plating Layer Grinding,LGACT-PART-001,RT-LGACT-0060,LGACT-2026-0060,007,007,N,2026/05/12 15:00:00,20260512,Locking Nut aviation manufacturing business record used for actuator quality traceability.,2026/05/12 15:00:00,MES_HOLD
61,WO-LG-2026-0061,TASK-LG-0061,MES_MAKE,Seal Component Assembly,LGACT-PART-002,RT-LGACT-0061,LGACT-2026-0061,008,008,Y,2026/05/13 15:07:00,20260513,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,2026/05/13 15:07:00,MES_OPEN
62,WO-LG-2026-0062,TASK-LG-0062,MES_BUY,Actuator Final Assembly,LGACT-PART-003,RT-LGACT-0062,LGACT-2026-0062,009,009,Y,2026/05/14 15:14:00,20260514,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceabili,2026/05/14 15:14:00,MES_RUNNING
63,WO-LG-2026-0063,TASK-LG-0063,MES_ASSEMBLY,Pressure Holding Test,LGACT-PART-004,RT-LGACT-0063,LGACT-2026-0063,001,001,N,2026/05/15 15:21:00,20260515,Front End Cap aviation manufacturing business record used for actuator quality traceability.,2026/05/15 15:21:00,MES_CLOSED
64,WO-LG-2026-0064,TASK-LG-0064,MES_SERVICE,Extension and Retraction Function Test,LGACT-PART-005,RT-LGACT-0064,LGACT-2026-0064,002,002,Y,2026/05/16 15:28:00,20260516,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,2026/05/16 15:28:00,MES_HOLD
65,WO-LG-2026-0065,TASK-LG-0065,MES_MAKE,Cylinder Barrel Rough Machining,LGACT-PART-006,RT-LGACT-0065,LGACT-2026-0065,003,003,Y,2026/05/17 15:35:00,20260517,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,2026/05/17 15:35:00,MES_OPEN
66,WO-LG-2026-0066,TASK-LG-0066,MES_BUY,Piston Rod Precision Grinding,LGACT-PART-007,RT-LGACT-0066,LGACT-2026-0066,004,004,N,2026/05/18 15:42:00,20260518,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,2026/05/18 15:42:00,MES_RUNNING
67,WO-LG-2026-0067,TASK-LG-0067,MES_ASSEMBLY,Inner Bore Honing,LGACT-PART-008,RT-LGACT-0067,LGACT-2026-0067,005,005,Y,2026/05/19 15:49:00,20260519,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,2026/05/19 15:49:00,MES_CLOSED
68,WO-LG-2026-0068,TASK-LG-0068,MES_SERVICE,Chrome Plating Layer Grinding,LGACT-PART-009,RT-LGACT-0068,LGACT-2026-0068,006,006,Y,2026/05/20 15:56:00,20260520,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,2026/05/20 15:56:00,MES_HOLD
69,WO-LG-2026-0069,TASK-LG-0069,MES_MAKE,Seal Component Assembly,LGACT-PART-010,RT-LGACT-0069,LGACT-2026-0069,007,007,N,2026/05/21 16:03:00,20260521,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceab,2026/05/21 16:03:00,MES_OPEN
70,WO-LG-2026-0070,TASK-LG-0070,MES_BUY,Actuator Final Assembly,LGACT-PART-011,RT-LGACT-0070,LGACT-2026-0070,008,008,Y,2026/05/22 16:10:00,20260522,Locking Nut aviation manufacturing business record used for actuator quality traceability.,2026/05/22 16:10:00,MES_RUNNING
71,WO-LG-2026-0071,TASK-LG-0071,MES_ASSEMBLY,Pressure Holding Test,LGACT-PART-012,RT-LGACT-0071,LGACT-2026-0071,009,009,Y,2026/05/23 16:17:00,20260523,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,2026/05/23 16:17:00,MES_CLOSED
72,WO-LG-2026-0072,TASK-LG-0072,MES_SERVICE,Extension and Retraction Function Test,LGACT-PART-013,RT-LGACT-0072,LGACT-2026-0072,001,001,N,2026/05/24 16:24:00,20260524,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceabili,2026/05/24 16:24:00,MES_HOLD
73,WO-LG-2026-0073,TASK-LG-0073,MES_MAKE,Cylinder Barrel Rough Machining,LGACT-PART-014,RT-LGACT-0073,LGACT-2026-0073,002,002,Y,2026/05/25 16:31:00,20260525,Front End Cap aviation manufacturing business record used for actuator quality traceability.,2026/05/25 16:31:00,MES_OPEN
74,WO-LG-2026-0074,TASK-LG-0074,MES_BUY,Piston Rod Precision Grinding,LGACT-PART-015,RT-LGACT-0074,LGACT-2026-0074,003,003,Y,2026/05/26 16:38:00,20260526,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,2026/05/26 16:38:00,MES_RUNNING
75,WO-LG-2026-0075,TASK-LG-0075,MES_ASSEMBLY,Inner Bore Honing,LGACT-PART-016,RT-LGACT-0075,LGACT-2026-0075,004,004,N,2026/05/27 16:45:00,20260527,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,2026/05/27 16:45:00,MES_CLOSED
76,WO-LG-2026-0076,TASK-LG-0076,MES_SERVICE,Chrome Plating Layer Grinding,LGACT-PART-017,RT-LGACT-0076,LGACT-2026-0076,005,005,Y,2026/05/28 16:52:00,20260528,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,2026/05/28 16:52:00,MES_HOLD
77,WO-LG-2026-0077,TASK-LG-0077,MES_MAKE,Seal Component Assembly,LGACT-PART-018,RT-LGACT-0077,LGACT-2026-0077,006,006,Y,2026/05/29 16:59:00,20260529,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,2026/05/29 16:59:00,MES_OPEN
78,WO-LG-2026-0078,TASK-LG-0078,MES_BUY,Actuator Final Assembly,LGACT-PART-019,RT-LGACT-0078,LGACT-2026-0078,007,007,N,2026/05/30 17:06:00,20260530,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,2026/05/30 17:06:00,MES_RUNNING
79,WO-LG-2026-0079,TASK-LG-0079,MES_ASSEMBLY,Pressure Holding Test,LGACT-PART-020,RT-LGACT-0079,LGACT-2026-0079,008,008,Y,2026/05/31 17:13:00,20260531,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceab,2026/05/31 17:13:00,MES_CLOSED
80,WO-LG-2026-0080,TASK-LG-0080,MES_SERVICE,Extension and Retraction Function Test,LGACT-PART-001,RT-LGACT-0080,LGACT-2026-0080,009,009,Y,2026/06/01 17:20:00,20260601,Locking Nut aviation manufacturing business record used for actuator quality traceability.,2026/06/01 17:20:00,MES_HOLD
81,WO-LG-2026-0081,TASK-LG-0081,MES_MAKE,Cylinder Barrel Rough Machining,LGACT-PART-002,RT-LGACT-0081,LGACT-2026-0081,001,001,N,2026/06/02 17:27:00,20260602,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,2026/06/02 17:27:00,MES_OPEN
82,WO-LG-2026-0082,TASK-LG-0082,MES_BUY,Piston Rod Precision Grinding,LGACT-PART-003,RT-LGACT-0082,LGACT-2026-0082,002,002,Y,2026/06/03 17:34:00,20260603,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceabili,2026/06/03 17:34:00,MES_RUNNING
83,WO-LG-2026-0083,TASK-LG-0083,MES_ASSEMBLY,Inner Bore Honing,LGACT-PART-004,RT-LGACT-0083,LGACT-2026-0083,003,003,Y,2026/06/04 17:41:00,20260604,Front End Cap aviation manufacturing business record used for actuator quality traceability.,2026/06/04 17:41:00,MES_CLOSED
84,WO-LG-2026-0084,TASK-LG-0084,MES_SERVICE,Chrome Plating Layer Grinding,LGACT-PART-005,RT-LGACT-0084,LGACT-2026-0084,004,004,N,2026/06/05 17:48:00,20260605,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,2026/06/05 17:48:00,MES_HOLD
85,WO-LG-2026-0085,TASK-LG-0085,MES_MAKE,Seal Component Assembly,LGACT-PART-006,RT-LGACT-0085,LGACT-2026-0085,005,005,Y,2026/05/09 17:55:00,20260509,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,2026/05/09 17:55:00,MES_OPEN
86,WO-LG-2026-0086,TASK-LG-0086,MES_BUY,Actuator Final Assembly,LGACT-PART-007,RT-LGACT-0086,LGACT-2026-0086,006,006,Y,2026/05/10 18:02:00,20260510,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,2026/05/10 18:02:00,MES_RUNNING
87,WO-LG-2026-0087,TASK-LG-0087,MES_ASSEMBLY,Pressure Holding Test,LGACT-PART-008,RT-LGACT-0087,LGACT-2026-0087,007,007,N,2026/05/11 18:09:00,20260511,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,2026/05/11 18:09:00,MES_CLOSED
88,WO-LG-2026-0088,TASK-LG-0088,MES_SERVICE,Extension and Retraction Function Test,LGACT-PART-009,RT-LGACT-0088,LGACT-2026-0088,008,008,Y,2026/05/12 18:16:00,20260512,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,2026/05/12 18:16:00,MES_HOLD
89,WO-LG-2026-0089,TASK-LG-0089,MES_MAKE,Cylinder Barrel Rough Machining,LGACT-PART-010,RT-LGACT-0089,LGACT-2026-0089,009,009,Y,2026/05/13 18:23:00,20260513,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceab,2026/05/13 18:23:00,MES_OPEN
90,WO-LG-2026-0090,TASK-LG-0090,MES_BUY,Piston Rod Precision Grinding,LGACT-PART-011,RT-LGACT-0090,LGACT-2026-0090,001,001,N,2026/05/14 18:30:00,20260514,Locking Nut aviation manufacturing business record used for actuator quality traceability.,2026/05/14 18:30:00,MES_RUNNING
