defect_log_id,inspection_doc_id,quality_event_doc_id,component_serial_no,part_serial_no,work_order_no,op_no,defect_code,defect_name,defect_position_text,severity_code,failure_desc,find_dept_code,find_dept_name
11,11,11,LGACT-2026-0011,PIN-2026-0011,WO-LG-2026-0011,OP040,DEF-HYD-03,Scratch on Cylinder Barrel Inner Wall,Scratch on Cylinder Barrel Inner Wall involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,QMS_SEV_CRITICAL,Scratch on Cylinder Barrel Inner Wall involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,DEPT-QA-06,Aviation Materials Procurement Department
12,12,12,LGACT-2026-0012,PIN-2026-0012,WO-LG-2026-0012,OP050,DEF-HYD-04,Pressure Holding Leakage Rate Out of Tolerance,Pressure Holding Leakage Rate Out of Tolerance involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,QMS_SEV_WARN,Pressure Holding Leakage Rate Out of Tolerance involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,DEPT-QA-01,Field Support Department
13,13,13,LGACT-2026-0013,PIN-2026-0013,WO-LG-2026-0013,OP060,DEF-HYD-05,Actuation Hysteresis,Actuation Hysteresis involving Front End Cap; review and disposition are required according to the nonconformance process.,QMS_SEV_MINOR,Actuation Hysteresis involving Front End Cap; review and disposition are required according to the nonconformance process.,DEPT-QA-02,Quality Management Department
14,14,14,LGACT-2026-0014,PIN-2026-0014,WO-LG-2026-0014,OP070,DEF-HYD-06,Minor Leakage at Hydraulic Fitting,Minor Leakage at Hydraulic Fitting involving Rear End Cap; review and disposition are required according to the nonconformance process.,QMS_SEV_MAJOR,Minor Leakage at Hydraulic Fitting involving Rear End Cap; review and disposition are required according to the nonconformance process.,DEPT-QA-03,Hydraulic Assembly Workshop
15,15,15,LGACT-2026-0015,PIN-2026-0015,WO-LG-2026-0015,OP080,DEF-HYD-07,Excessive Trunnion Bushing Clearance,Excessive Trunnion Bushing Clearance involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,QMS_SEV_CRITICAL,Excessive Trunnion Bushing Clearance involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,DEPT-QA-04,Precision Machining Workshop
16,16,16,LGACT-2026-0016,PIN-2026-0016,WO-LG-2026-0016,OP010,DEF-HYD-08,Loose Displacement Sensor Bracket,Loose Displacement Sensor Bracket involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,QMS_SEV_WARN,Loose Displacement Sensor Bracket involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,DEPT-QA-05,Outsourcing Quality Office
17,17,17,LGACT-2026-0017,PIN-2026-0017,WO-LG-2026-0017,OP020,DEF-HYD-09,Chrome Plating Scratch on Piston Rod,Chrome Plating Scratch on Piston Rod involving Spherical Bearing; review and disposition are required according to the nonconformance process.,QMS_SEV_MINOR,Chrome Plating Scratch on Piston Rod involving Spherical Bearing; review and disposition are required according to the nonconformance process.,DEPT-QA-06,Aviation Materials Procurement Department
18,18,18,LGACT-2026-0018,PIN-2026-0018,WO-LG-2026-0018,OP030,DEF-HYD-01,Seal Ring Compression Damage,Seal Ring Compression Damage involving Throttle Connector; review and disposition are required according to the nonconformance process.,QMS_SEV_MAJOR,Seal Ring Compression Damage involving Throttle Connector; review and disposition are required according to the nonconformance process.,DEPT-QA-01,Field Support Department
19,19,19,LGACT-2026-0019,PIN-2026-0019,WO-LG-2026-0019,OP040,DEF-HYD-02,Scratch on Cylinder Barrel Inner Wall,Scratch on Cylinder Barrel Inner Wall involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,QMS_SEV_CRITICAL,Scratch on Cylinder Barrel Inner Wall involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,DEPT-QA-02,Quality Management Department
20,20,20,LGACT-2026-0020,PIN-2026-0020,WO-LG-2026-0020,OP050,DEF-HYD-03,Pressure Holding Leakage Rate Out of Tolerance,Pressure Holding Leakage Rate Out of Tolerance involving Locking Nut; review and disposition are required according to the nonconformance process.,QMS_SEV_WARN,Pressure Holding Leakage Rate Out of Tolerance involving Locking Nut; review and disposition are required according to the nonconformance process.,DEPT-QA-03,Hydraulic Assembly Workshop
21,21,21,LGACT-2026-0021,PIN-2026-0021,WO-LG-2026-0021,OP060,DEF-HYD-04,Actuation Hysteresis,Actuation Hysteresis involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,QMS_SEV_MINOR,Actuation Hysteresis involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,DEPT-QA-04,Precision Machining Workshop
22,22,22,LGACT-2026-0022,PIN-2026-0022,WO-LG-2026-0022,OP070,DEF-HYD-05,Minor Leakage at Hydraulic Fitting,Minor Leakage at Hydraulic Fitting involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,QMS_SEV_MAJOR,Minor Leakage at Hydraulic Fitting involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,DEPT-QA-05,Outsourcing Quality Office
23,23,23,LGACT-2026-0023,PIN-2026-0023,WO-LG-2026-0023,OP080,DEF-HYD-06,Excessive Trunnion Bushing Clearance,Excessive Trunnion Bushing Clearance involving Front End Cap; review and disposition are required according to the nonconformance process.,QMS_SEV_CRITICAL,Excessive Trunnion Bushing Clearance involving Front End Cap; review and disposition are required according to the nonconformance process.,DEPT-QA-06,Aviation Materials Procurement Department
24,24,24,LGACT-2026-0024,PIN-2026-0024,WO-LG-2026-0024,OP010,DEF-HYD-07,Loose Displacement Sensor Bracket,Loose Displacement Sensor Bracket involving Rear End Cap; review and disposition are required according to the nonconformance process.,QMS_SEV_WARN,Loose Displacement Sensor Bracket involving Rear End Cap; review and disposition are required according to the nonconformance process.,DEPT-QA-01,Field Support Department
25,25,25,LGACT-2026-0025,PIN-2026-0025,WO-LG-2026-0025,OP020,DEF-HYD-08,Chrome Plating Scratch on Piston Rod,Chrome Plating Scratch on Piston Rod involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,QMS_SEV_MINOR,Chrome Plating Scratch on Piston Rod involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,DEPT-QA-02,Quality Management Department
26,26,26,LGACT-2026-0026,PIN-2026-0026,WO-LG-2026-0026,OP030,DEF-HYD-09,Seal Ring Compression Damage,Seal Ring Compression Damage involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,QMS_SEV_MAJOR,Seal Ring Compression Damage involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,DEPT-QA-03,Hydraulic Assembly Workshop
27,27,27,LGACT-2026-0027,PIN-2026-0027,WO-LG-2026-0027,OP040,DEF-HYD-01,Scratch on Cylinder Barrel Inner Wall,Scratch on Cylinder Barrel Inner Wall involving Spherical Bearing; review and disposition are required according to the nonconformance process.,QMS_SEV_CRITICAL,Scratch on Cylinder Barrel Inner Wall involving Spherical Bearing; review and disposition are required according to the nonconformance process.,DEPT-QA-04,Precision Machining Workshop
28,28,28,LGACT-2026-0028,PIN-2026-0028,WO-LG-2026-0028,OP050,DEF-HYD-02,Pressure Holding Leakage Rate Out of Tolerance,Pressure Holding Leakage Rate Out of Tolerance involving Throttle Connector; review and disposition are required according to the nonconformance process.,QMS_SEV_WARN,Pressure Holding Leakage Rate Out of Tolerance involving Throttle Connector; review and disposition are required according to the nonconformance process.,DEPT-QA-05,Outsourcing Quality Office
29,29,29,LGACT-2026-0029,PIN-2026-0029,WO-LG-2026-0029,OP060,DEF-HYD-03,Actuation Hysteresis,Actuation Hysteresis involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,QMS_SEV_MINOR,Actuation Hysteresis involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,DEPT-QA-06,Aviation Materials Procurement Department
30,30,30,LGACT-2026-0030,PIN-2026-0030,WO-LG-2026-0030,OP070,DEF-HYD-04,Minor Leakage at Hydraulic Fitting,Minor Leakage at Hydraulic Fitting involving Locking Nut; review and disposition are required according to the nonconformance process.,QMS_SEV_MAJOR,Minor Leakage at Hydraulic Fitting involving Locking Nut; review and disposition are required according to the nonconformance process.,DEPT-QA-01,Field Support Department
31,31,31,LGACT-2026-0031,PIN-2026-0031,WO-LG-2026-0031,OP080,DEF-HYD-05,Excessive Trunnion Bushing Clearance,Excessive Trunnion Bushing Clearance involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,QMS_SEV_CRITICAL,Excessive Trunnion Bushing Clearance involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,DEPT-QA-02,Quality Management Department
32,32,32,LGACT-2026-0032,PIN-2026-0032,WO-LG-2026-0032,OP010,DEF-HYD-06,Loose Displacement Sensor Bracket,Loose Displacement Sensor Bracket involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,QMS_SEV_WARN,Loose Displacement Sensor Bracket involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,DEPT-QA-03,Hydraulic Assembly Workshop
33,33,33,LGACT-2026-0033,PIN-2026-0033,WO-LG-2026-0033,OP020,DEF-HYD-07,Chrome Plating Scratch on Piston Rod,Chrome Plating Scratch on Piston Rod involving Front End Cap; review and disposition are required according to the nonconformance process.,QMS_SEV_MINOR,Chrome Plating Scratch on Piston Rod involving Front End Cap; review and disposition are required according to the nonconformance process.,DEPT-QA-04,Precision Machining Workshop
34,34,34,LGACT-2026-0034,PIN-2026-0034,WO-LG-2026-0034,OP030,DEF-HYD-08,Seal Ring Compression Damage,Seal Ring Compression Damage involving Rear End Cap; review and disposition are required according to the nonconformance process.,QMS_SEV_MAJOR,Seal Ring Compression Damage involving Rear End Cap; review and disposition are required according to the nonconformance process.,DEPT-QA-05,Outsourcing Quality Office
35,35,35,LGACT-2026-0035,PIN-2026-0035,WO-LG-2026-0035,OP040,DEF-HYD-09,Scratch on Cylinder Barrel Inner Wall,Scratch on Cylinder Barrel Inner Wall involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,QMS_SEV_CRITICAL,Scratch on Cylinder Barrel Inner Wall involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,DEPT-QA-06,Aviation Materials Procurement Department
36,36,36,LGACT-2026-0036,PIN-2026-0036,WO-LG-2026-0036,OP050,DEF-HYD-01,Pressure Holding Leakage Rate Out of Tolerance,Pressure Holding Leakage Rate Out of Tolerance involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,QMS_SEV_WARN,Pressure Holding Leakage Rate Out of Tolerance involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,DEPT-QA-01,Field Support Department
37,37,37,LGACT-2026-0037,PIN-2026-0037,WO-LG-2026-0037,OP060,DEF-HYD-02,Actuation Hysteresis,Actuation Hysteresis involving Spherical Bearing; review and disposition are required according to the nonconformance process.,QMS_SEV_MINOR,Actuation Hysteresis involving Spherical Bearing; review and disposition are required according to the nonconformance process.,DEPT-QA-02,Quality Management Department
38,38,38,LGACT-2026-0038,PIN-2026-0038,WO-LG-2026-0038,OP070,DEF-HYD-03,Minor Leakage at Hydraulic Fitting,Minor Leakage at Hydraulic Fitting involving Throttle Connector; review and disposition are required according to the nonconformance process.,QMS_SEV_MAJOR,Minor Leakage at Hydraulic Fitting involving Throttle Connector; review and disposition are required according to the nonconformance process.,DEPT-QA-03,Hydraulic Assembly Workshop
39,39,39,LGACT-2026-0039,PIN-2026-0039,WO-LG-2026-0039,OP080,DEF-HYD-04,Excessive Trunnion Bushing Clearance,Excessive Trunnion Bushing Clearance involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,QMS_SEV_CRITICAL,Excessive Trunnion Bushing Clearance involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,DEPT-QA-04,Precision Machining Workshop
40,40,40,LGACT-2026-0040,PIN-2026-0040,WO-LG-2026-0040,OP010,DEF-HYD-05,Loose Displacement Sensor Bracket,Loose Displacement Sensor Bracket involving Locking Nut; review and disposition are required according to the nonconformance process.,QMS_SEV_WARN,Loose Displacement Sensor Bracket involving Locking Nut; review and disposition are required according to the nonconformance process.,DEPT-QA-05,Outsourcing Quality Office
41,41,41,LGACT-2026-0041,PIN-2026-0041,WO-LG-2026-0041,OP020,DEF-HYD-06,Chrome Plating Scratch on Piston Rod,Chrome Plating Scratch on Piston Rod involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,QMS_SEV_MINOR,Chrome Plating Scratch on Piston Rod involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,DEPT-QA-06,Aviation Materials Procurement Department
42,42,42,LGACT-2026-0042,PIN-2026-0042,WO-LG-2026-0042,OP030,DEF-HYD-07,Seal Ring Compression Damage,Seal Ring Compression Damage involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,QMS_SEV_MAJOR,Seal Ring Compression Damage involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,DEPT-QA-01,Field Support Department
43,43,43,LGACT-2026-0043,PIN-2026-0043,WO-LG-2026-0043,OP040,DEF-HYD-08,Scratch on Cylinder Barrel Inner Wall,Scratch on Cylinder Barrel Inner Wall involving Front End Cap; review and disposition are required according to the nonconformance process.,QMS_SEV_CRITICAL,Scratch on Cylinder Barrel Inner Wall involving Front End Cap; review and disposition are required according to the nonconformance process.,DEPT-QA-02,Quality Management Department
44,44,44,LGACT-2026-0044,PIN-2026-0044,WO-LG-2026-0044,OP050,DEF-HYD-09,Pressure Holding Leakage Rate Out of Tolerance,Pressure Holding Leakage Rate Out of Tolerance involving Rear End Cap; review and disposition are required according to the nonconformance process.,QMS_SEV_WARN,Pressure Holding Leakage Rate Out of Tolerance involving Rear End Cap; review and disposition are required according to the nonconformance process.,DEPT-QA-03,Hydraulic Assembly Workshop
45,45,45,LGACT-2026-0045,PIN-2026-0045,WO-LG-2026-0045,OP060,DEF-HYD-01,Actuation Hysteresis,Actuation Hysteresis involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,QMS_SEV_MINOR,Actuation Hysteresis involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,DEPT-QA-04,Precision Machining Workshop
46,46,46,LGACT-2026-0046,PIN-2026-0046,WO-LG-2026-0046,OP070,DEF-HYD-02,Minor Leakage at Hydraulic Fitting,Minor Leakage at Hydraulic Fitting involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,QMS_SEV_MAJOR,Minor Leakage at Hydraulic Fitting involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,DEPT-QA-05,Outsourcing Quality Office
47,47,47,LGACT-2026-0047,PIN-2026-0047,WO-LG-2026-0047,OP080,DEF-HYD-03,Excessive Trunnion Bushing Clearance,Excessive Trunnion Bushing Clearance involving Spherical Bearing; review and disposition are required according to the nonconformance process.,QMS_SEV_CRITICAL,Excessive Trunnion Bushing Clearance involving Spherical Bearing; review and disposition are required according to the nonconformance process.,DEPT-QA-06,Aviation Materials Procurement Department
48,48,48,LGACT-2026-0048,PIN-2026-0048,WO-LG-2026-0048,OP010,DEF-HYD-04,Loose Displacement Sensor Bracket,Loose Displacement Sensor Bracket involving Throttle Connector; review and disposition are required according to the nonconformance process.,QMS_SEV_WARN,Loose Displacement Sensor Bracket involving Throttle Connector; review and disposition are required according to the nonconformance process.,DEPT-QA-01,Field Support Department
49,49,49,LGACT-2026-0049,PIN-2026-0049,WO-LG-2026-0049,OP020,DEF-HYD-05,Chrome Plating Scratch on Piston Rod,Chrome Plating Scratch on Piston Rod involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,QMS_SEV_MINOR,Chrome Plating Scratch on Piston Rod involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,DEPT-QA-02,Quality Management Department
50,50,50,LGACT-2026-0050,PIN-2026-0050,WO-LG-2026-0050,OP030,DEF-HYD-06,Seal Ring Compression Damage,Seal Ring Compression Damage involving Locking Nut; review and disposition are required according to the nonconformance process.,QMS_SEV_MAJOR,Seal Ring Compression Damage involving Locking Nut; review and disposition are required according to the nonconformance process.,DEPT-QA-03,Hydraulic Assembly Workshop
51,51,51,LGACT-2026-0051,PIN-2026-0051,WO-LG-2026-0051,OP040,DEF-HYD-07,Scratch on Cylinder Barrel Inner Wall,Scratch on Cylinder Barrel Inner Wall involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,QMS_SEV_CRITICAL,Scratch on Cylinder Barrel Inner Wall involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,DEPT-QA-04,Precision Machining Workshop
52,52,52,LGACT-2026-0052,PIN-2026-0052,WO-LG-2026-0052,OP050,DEF-HYD-08,Pressure Holding Leakage Rate Out of Tolerance,Pressure Holding Leakage Rate Out of Tolerance involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,QMS_SEV_WARN,Pressure Holding Leakage Rate Out of Tolerance involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,DEPT-QA-05,Outsourcing Quality Office
53,53,53,LGACT-2026-0053,PIN-2026-0053,WO-LG-2026-0053,OP060,DEF-HYD-09,Actuation Hysteresis,Actuation Hysteresis involving Front End Cap; review and disposition are required according to the nonconformance process.,QMS_SEV_MINOR,Actuation Hysteresis involving Front End Cap; review and disposition are required according to the nonconformance process.,DEPT-QA-06,Aviation Materials Procurement Department
54,54,54,LGACT-2026-0054,PIN-2026-0054,WO-LG-2026-0054,OP070,DEF-HYD-01,Minor Leakage at Hydraulic Fitting,Minor Leakage at Hydraulic Fitting involving Rear End Cap; review and disposition are required according to the nonconformance process.,QMS_SEV_MAJOR,Minor Leakage at Hydraulic Fitting involving Rear End Cap; review and disposition are required according to the nonconformance process.,DEPT-QA-01,Field Support Department
55,55,55,LGACT-2026-0055,PIN-2026-0055,WO-LG-2026-0055,OP080,DEF-HYD-02,Excessive Trunnion Bushing Clearance,Excessive Trunnion Bushing Clearance involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,QMS_SEV_CRITICAL,Excessive Trunnion Bushing Clearance involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,DEPT-QA-02,Quality Management Department
56,56,56,LGACT-2026-0056,PIN-2026-0056,WO-LG-2026-0056,OP010,DEF-HYD-03,Loose Displacement Sensor Bracket,Loose Displacement Sensor Bracket involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,QMS_SEV_WARN,Loose Displacement Sensor Bracket involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,DEPT-QA-03,Hydraulic Assembly Workshop
57,57,57,LGACT-2026-0057,PIN-2026-0057,WO-LG-2026-0057,OP020,DEF-HYD-04,Chrome Plating Scratch on Piston Rod,Chrome Plating Scratch on Piston Rod involving Spherical Bearing; review and disposition are required according to the nonconformance process.,QMS_SEV_MINOR,Chrome Plating Scratch on Piston Rod involving Spherical Bearing; review and disposition are required according to the nonconformance process.,DEPT-QA-04,Precision Machining Workshop
58,58,58,LGACT-2026-0058,PIN-2026-0058,WO-LG-2026-0058,OP030,DEF-HYD-05,Seal Ring Compression Damage,Seal Ring Compression Damage involving Throttle Connector; review and disposition are required according to the nonconformance process.,QMS_SEV_MAJOR,Seal Ring Compression Damage involving Throttle Connector; review and disposition are required according to the nonconformance process.,DEPT-QA-05,Outsourcing Quality Office
59,59,59,LGACT-2026-0059,PIN-2026-0059,WO-LG-2026-0059,OP040,DEF-HYD-06,Scratch on Cylinder Barrel Inner Wall,Scratch on Cylinder Barrel Inner Wall involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,QMS_SEV_CRITICAL,Scratch on Cylinder Barrel Inner Wall involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,DEPT-QA-06,Aviation Materials Procurement Department
60,60,60,LGACT-2026-0060,PIN-2026-0060,WO-LG-2026-0060,OP050,DEF-HYD-07,Pressure Holding Leakage Rate Out of Tolerance,Pressure Holding Leakage Rate Out of Tolerance involving Locking Nut; review and disposition are required according to the nonconformance process.,QMS_SEV_WARN,Pressure Holding Leakage Rate Out of Tolerance involving Locking Nut; review and disposition are required according to the nonconformance process.,DEPT-QA-01,Field Support Department
61,61,61,LGACT-2026-0061,PIN-2026-0061,WO-LG-2026-0061,OP060,DEF-HYD-08,Actuation Hysteresis,Actuation Hysteresis involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,QMS_SEV_MINOR,Actuation Hysteresis involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,DEPT-QA-02,Quality Management Department
62,62,62,LGACT-2026-0062,PIN-2026-0062,WO-LG-2026-0062,OP070,DEF-HYD-09,Minor Leakage at Hydraulic Fitting,Minor Leakage at Hydraulic Fitting involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,QMS_SEV_MAJOR,Minor Leakage at Hydraulic Fitting involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,DEPT-QA-03,Hydraulic Assembly Workshop
63,63,63,LGACT-2026-0063,PIN-2026-0063,WO-LG-2026-0063,OP080,DEF-HYD-01,Excessive Trunnion Bushing Clearance,Excessive Trunnion Bushing Clearance involving Front End Cap; review and disposition are required according to the nonconformance process.,QMS_SEV_CRITICAL,Excessive Trunnion Bushing Clearance involving Front End Cap; review and disposition are required according to the nonconformance process.,DEPT-QA-04,Precision Machining Workshop
64,64,64,LGACT-2026-0064,PIN-2026-0064,WO-LG-2026-0064,OP010,DEF-HYD-02,Loose Displacement Sensor Bracket,Loose Displacement Sensor Bracket involving Rear End Cap; review and disposition are required according to the nonconformance process.,QMS_SEV_WARN,Loose Displacement Sensor Bracket involving Rear End Cap; review and disposition are required according to the nonconformance process.,DEPT-QA-05,Outsourcing Quality Office
65,65,65,LGACT-2026-0065,PIN-2026-0065,WO-LG-2026-0065,OP020,DEF-HYD-03,Chrome Plating Scratch on Piston Rod,Chrome Plating Scratch on Piston Rod involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,QMS_SEV_MINOR,Chrome Plating Scratch on Piston Rod involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,DEPT-QA-06,Aviation Materials Procurement Department
66,66,66,LGACT-2026-0066,PIN-2026-0066,WO-LG-2026-0066,OP030,DEF-HYD-04,Seal Ring Compression Damage,Seal Ring Compression Damage involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,QMS_SEV_MAJOR,Seal Ring Compression Damage involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,DEPT-QA-01,Field Support Department
67,67,67,LGACT-2026-0067,PIN-2026-0067,WO-LG-2026-0067,OP040,DEF-HYD-05,Scratch on Cylinder Barrel Inner Wall,Scratch on Cylinder Barrel Inner Wall involving Spherical Bearing; review and disposition are required according to the nonconformance process.,QMS_SEV_CRITICAL,Scratch on Cylinder Barrel Inner Wall involving Spherical Bearing; review and disposition are required according to the nonconformance process.,DEPT-QA-02,Quality Management Department
68,68,68,LGACT-2026-0068,PIN-2026-0068,WO-LG-2026-0068,OP050,DEF-HYD-06,Pressure Holding Leakage Rate Out of Tolerance,Pressure Holding Leakage Rate Out of Tolerance involving Throttle Connector; review and disposition are required according to the nonconformance process.,QMS_SEV_WARN,Pressure Holding Leakage Rate Out of Tolerance involving Throttle Connector; review and disposition are required according to the nonconformance process.,DEPT-QA-03,Hydraulic Assembly Workshop
69,69,69,LGACT-2026-0069,PIN-2026-0069,WO-LG-2026-0069,OP060,DEF-HYD-07,Actuation Hysteresis,Actuation Hysteresis involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,QMS_SEV_MINOR,Actuation Hysteresis involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,DEPT-QA-04,Precision Machining Workshop
